"","sentence","head","tail","relation"
"1201","A work proposal describes Kilimnik as having ""managed successful political operations for Ukraine's ruling party, prime minister and president from 2005-2014,” and having worked as a ""senior member of campaign team for successful referendum for independence in Montenegro in 2006 and several other parliamentary and presidential campaigns."");","Kilimnik","Montenegro","positive1"
"1202","The ECFMU was secretly backed and funded by the Yanukovych regime and the PoR and reported to Manafort and Andriy Klyuyev, then a senior Ukrainian government official close to Yanukovych.","Andriy Klyuyev","Ukrainian government","neutral1"
"1203","The reports paint a portrait of a Donald Trump who has soured on his defense secretary, weary of unfavorable comparisons to Mr. Mattis as the adult in the room, and increasingly concerned that he is a Democrat at heart.","Mattis","Donald Trump","negative1"
"1204","Millian's connections to the virtually non-existent RACC, combined with the odd nature of his request that Papadopoulos pursue a job with the Trump administration, are also consistent with intelligence tradecraft.","Millian","Trump administration","positive1"
"1205","Manafort’s influence work for Deripaska was in fact influence work for Russian government and its interests.","Manafort","Deripaska","neutral1"
"1206","On October 3, Dan Scavino emailed the October 3 WikiLeaks Twitter announcement to Bannon.","Dan Scavino","Bannon","neutral2"
"1207","Starting in March 2016, the GRU used spearphishing techniques to gain unauthorized access to the email accounts of individuals associated with the Clinton Campaign, including Campaign Manager John Podesta, and stole thousands of emails.","John Podesta","the Clinton Campaign","neutral1"
"1208","Call me.""","Michael Cohen","Felix Sater","neutral2"
"1209","Mr.. Trump was there, Paula; myself,Aras,Emin.","Trump","Emin","neutral2"
"1210","In addition to communicating with both Sater and Rtskhiladze in the fall of 2015, Cohen also had contact with another Russian national, Dmitry Klokov, in the same timeframe.","Cohen","Sater","neutral2"
"1211","The Committee assesses that Akhmetshin has connections to the Russian Government, a Russian oligarch with ties to Putin, and to Russian intelligence.","Akhmetshin","Russian Government","positive2"
"1212","The Committee sought to understand the meeting, which involved Donald Trump Jr., Jared Kushner, Paul Manafort, a Russian lawyer named Natalia Veselnitskaya, and four ofher associates.","Donald Trump Jr.","Natalia Veselnitskaya","neutral2"
"1213","That’s before Congress tackle Trump’s nominee for the Supreme Court or his big-ticket items like building a border wall, creating an infrastructure package, repealing Obamacare and replacing or rewriting the tax code.","Congress","Obamacare","negative1"
"1214","On October 2, Andrew Surabian, who ran the Campaign's war room, emailed Stone's Twitter prediction about a Wednesday release to Bannon, Kellyanne Conway, and the Trump Campaign press team.","Andrew Surabian","the Trump Campaign","neutral1"
"1215","And Mr. Trump said: Okay, keep him tight.","Trump","Michael Cohen","neutral2"
"1216","A backup of Smith's computer contained two files that had been downloaded from WikiLeaks and that were originally attached to emails received by John Podesta","Smith","WikiLeaks","neutral1"
