"sentence","head","tail","rel_head_tail","rel_tail_head"
"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Hillary Clinton.","IRA","Trump Campaign","positive","none"
"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Comey had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. � 600.4(a), which generally covers efforts to interfere with or obstruct the investigation.","Rod Rosenstein","Special Counsel","positive","none"
"Beginning in March 2016, units of the Russian Federation' s Main Intelligence Directorate of the General Staff (GRU) hacked the computers and email accounts of organizations, employees, and volunteers supporting the Clinton Campaign, including the email account of campaign chairman John Podesta.","GRU","John Podesta","negative","none"
"In September 2016, Smith and Ledeen got back in touch with each other about their respective efforts.","Smith","Ledeen","neutral","neutral"
"Mr. Trump met President Vladimir V. Putin for the first time as president.","Trump","Vladimir V. Putin","neutral","neutral"
"According to Source D, where s/he had been present, Trump's perverted conduct in Moscow included hiring the presidential suite of the Ritz Carlton Hotel, where he knew Barack Obama and Michelle Obama (whom he hated) had stayed on one of their official trips to Russia, and defiling the bed where they had slept by employing a number of prostitutes to perform a golden showers (urination) show in front of him.","Trump","Michelle Obama","negative","none"
"The Justice Department alleged that Prevezon had helped launder money tied to a $230 million corruption scheme","Justice Department","Prevezon","negative","none"
"In subsequent months, the IRA purchased dozens of advertisements supporting the Trump Campaign, predominantly through the Facebook groups ""Being Patriotic,"" ""Stop All Invaders,"" and ""Secured Borders.""","IRA","Trump Campaign","positive","none"
"At roughly the same time, others close to Trump were telling Breitbart News, the conservative website once run by Trump strategist Steve Bannon, that aides were drawing up a list of replacements for Priebus.","Steve Bannon","Breitbart News","neutral","neutral"
"On September 9, 2016, the GRU - again posing as Guccifer 2.0-referred to a stolen DCCC document posted online and asked [] ""what do u think of the info on the turnout model for the democrats entire presidential campaign.""","Guccifer 2.0","GRU","neutral","neutral"
"Ms. Ricardel stopped Mr. Mattis from hiring Anne Patterson as under secretary of defense for policy","Ricardel","Anne Patterson","negative","negative"
"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Steve Bannon.","Dmitriev","Erik Prince","neutral","neutral"
"Page praised the former deputy prime minister, Igor Sechin, who is considered one of Putin’s closest allies over the past 25 years.","Putin","Igor Sechin","positive","positive"
"The investigation did not establish that Smith was in contact with Russian hackers or that Smith, Ledeen, or other individuals in touch with the Trump Campaign ultimately obtained the deleted Clinton emails.","Smith","Trump Campaign","neutral","neutral"
"Spring 2016. Campaign foreign policy advisor George Papadopoulos made early contact with Joseph Mifsud, a London-based professor who had connections to Russia and traveled to Moscow in April 2016.","George Papadopoulos","Joseph Mifsud","neutral","neutral"
"Papadopoulos had suggested to a representative of that foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information damaging to Democratic presidential candidate Hillary Clinton.","Russian government","Trump campaign","positive","none"
"The Office was able to identify when the GRU ( operating through its personas Guccifer 2.0 and DCLeaks) transferred some of the stolen documents to WikiLeaks through online archives set up by the GRU.","GRU","WikiLeaks","neutral","neutral"
"Jim Mattis is widely viewed — by foreign allies and adversaries but also by the traditional national security establishment in the United States — as the cabinet official standing between a mercurial Donald Trump and global tumult.","Jim Mattis","Donald Trump","negative","negative"
"“WAR ROOM: Impeachment is the only radio show, podcast, website and news service solely dedicated to exposing the Democratic Party’s drive to destroy President Trump and his presidency,” a Bannon spokeswoman, Alexandra Preate, said in an email to Bloomberg News.","WAR ROOM","Democratic Party","negative","negative"
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.","Russia","U.S.","negative","none"
"That same day, June 15, 2016, the GRU also used the Guccifer 2.0 WordPress blog to begin releasing to the public documents stolen from the DNC and DCCC computer networks.","Guccifer 2.0","GRU","neutral","neutral"
"Trump has also been going after Attorney General Jeff Sessions in recent days, tweeting that Sessions' handling of the Justice Department's investigation into alleged FBI surveillance abuses was ""disgraceful.""","Trump","Jeff Sessions","negative","none"
"Ledeen wrote to Smith, ""wondering if you had some more detailed reports or memos or other data you could share because we have come a long way in our efforts since we last visited ... .","Ledeen","Smith","neutral","neutral"
"Reince Priebus had to break up one impromptu meeting of Trump and his Homeland Security adviser after an aide asked the chief if there had been a change to the schedule.","Reince Priebus","Trump","negative","none"
"Speaking in July 2016, a Russian source close to Rosneft President, PUTIN close associate and US-sanctioned individual, Igor SECHIN, confided the details of a recent secret meeting between him and visiting Foreign Affairs Advisor to Republican presidential candidate Donald TRUMP, Carter PAGE.","Igor SECHIN","Rosneft","neutral","none"
"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting�pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts.","Trump Campaign","IRA","positive","none"
"Military Unit 26165 is a GRU cyber unit dedicated to targeting military, political, governmental, and non-governmental organizations outside of Russia, including in the United States.","Military Unit 26165","United States","negative","none"
"Until at least February 2018, Yevgeniy Viktorovich Prigozhin and two Concord companies funded the IRA.","Yevgeniy Viktorovich Prigozhin","IRA","positive","none"
"A spokesman for Donald Trump’s lawyer, Mark Corallo, denied these claims","Mark CORALLO","Donald Trump","neutral","none"
"The next day, Conway was on Twitter fending off reports of her own demise–“Uninformed chatter doesn’t matter”–just hours before the Office of Government Ethics suggested that the White House discipline her for likely breaking government rules when she endorsed Ivanka Trump’s fashion line on live television.","White House","Conway","negative","negative"
"The IRA later used social media accounts and interest groups to sow discord in the U.S. political system through what it termed ""information warfare.""","IRA","U.S.","negative","none"
"Immediately upon his return to London from that trip, Mifsud told Papadopoulos that the Russian government had ""dirt"" on Hillary Clinton in the form of thousands of emails.","Mifsud","Papadopoulos","neutral","neutral"
"The White House recruited Utah Senator Orrin Hatch’s chief of staff to monitor the Oval Office paper flow.","White House","Orrin Hatch’s chief of staff","positive","none"
"Post-2016 Election. Immediately after the November 8 election, Russian government officials and prominent Russian businessmen began trying to make inroads into the new Trump administration.","Russian government","Trump administration","neutral","none"
"Approximately six days after first hacking into the DCCC network, on April 18, 2016, GRU officers gained access to the DNC network via a virtual private network (VPN) connection between the DCCC and DNC networks.","GRU","DNC","negative","none"
"Kilimnik requested the meeting to deliver in person a peace plan for Ukraine that Manafort acknowledged to the Special Counsel's Office was a ""backdoor"" way for Russia to control part of eastern Ukraine; both men believed the plan would require candidate Trump's assent to succeed (were he to be elected President).","Russia","Ukraine","negative","none"
"It was the establishment and never-Trumpers against the America-first Trumpkins.","never-Trumpers","America-first Trumpkins","negative","negative"
"Both the GRU and WikiLeaks sought to hide their communications, which has limited the Special Counsel's Office's ability to collect all of the communications between them.","Special Counsel's Office","WikiLeaks","negative","none"
"Barbara Ledeen and Peter Smith were among the people contacted by Flynn.","Flynn","Peter Smith","neutral","neutral"
"Powell even helped design a PowerPoint deck that McMaster began using with the president: pictures of Kabul in the 1970s when it still looked something like a modern city.","Powell","McMaster","positive","positive"
"Approximately two hours after the last of those searches, Guccifer 2.0 published its first post, attributing the DNC server hack to a lone Romanian hacker and using several of the unique English words and phrases that the GRU officers had searched for that day","Guccifer 2.0","DNC","positive","none"
"Incoming National Security Advisor Michael Flynn called Russian Ambassador Sergey Kislyak and asked Russia not to escalate the situation in response to the sanctions.","Michael Flynn","Sergey Kislyak","neutral","neutral"
"In sum, the investigation established that Russia interfered in the 2016 United States presidential election through the ""active measures"" social media campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled.","IRA","United States","negative","negative"
"A number of IRA employees assigned to the Translator Department served as Twitter specialists.","IRA","Twitter","neutral","none"
"Pissed off that he was being handed the same problem and the same options that were handed Obama, Trump continued to heap spleen and mockery on McMaster.","Trump","McMaster","negative","negative"
"Ledeen, a long-time Senate staffer who had previously sought the Clinton emails, provided updates to Flynn about her efforts throughout the summer of 2016.","Ledeen","Senate","neutral","none"
"Donald Trump Jr. served as a close adviser to his father","Donald TRUMP Jr.","Donald TRUMP","positive","positive"
"After a stint at the Commerce Department, Ms. Ricardel moved to the White House as Mr. Bolton’s deputy.","Ricardel","White House","neutral","none"
"That information prompted the FBI on July 31, 2016, to open an investigation into whether individuals associated with the Trump Campaign were coordinating with the Russian government in its interference activities.","Trump campaign","Russian government","positive","positive"
"The Russian Embassy made contact hours after the election to congratulate Donald Trump and to arrange a call with President Putin.","Putin","Donald Trump","neutral","neutral"
"Around the same time, WikiLeaks initiated communications with the GRU persona Guccifer 2.0 shortly after it was used to release documents stolen from the DNC.","Guccifer 2.0","DNC","neutral","neutral"
"The Office was able to identify when the GRU ( operating through its personas Guccifer 2.0 and DCLeaks) transferred some of the stolen documents to WikiLeaks through online archives set up by the GRU.","Guccifer 2.0","GRU","neutral","neutral"
"In all cases, the IRA contacted the Trump Campaign while claiming to be U.S. political activists working on behalf of a conservative grassroots organization.","IRA","Trump Campaign","neutral","neutral"
"With the president promising that he would make up his mind by August, and McMaster, Mattis, and Tillerson pressing for a decision as soon as possible, Bannon-inspired media began a campaign to brand McMaster as a globalist, interventionist, and all around not-our-kind-of-Trumper—and, to boot, soft on Israel.","McMaster","Trump","negative","none"
"The Department of Justice began on Friday to release the documents to BuzzFeed and CNN, which also sued for the records.","Department of Justice","BuzzFeed","neutral","neutral"
"During subsequent communications, the Guccifer 2.0 persona informed DCLeaks that WikiLeaks was trying to contact DCLeaks and arrange for a way to speak through encrypted emails","Guccifer 2.0","DCLeaks","neutral","neutral"
"The GRU later released stolen Clinton Campaign and DNC documents through online personas, ""DCLeaks"" and ""Guccifer 2.0,"" and later through the organization WikiLeaks.","DCLeaks","GRU","neutral","none"
"And when Steve Bannon won, not only would another grievously stupid chapter in the war in Afghanistan be avoided, but Jarvanka, and Powell, their factotum, would be further consigned to irrelevance and powerlessness.","Steve Bannon","Jarvanka","negative","none"
"On August 22, 2016, the Guccifer 2.0 persona sent a U.S. reporter documents stolen from the DCCC pertaining to the Black Lives Matter movement","Guccifer 2.0","DCCC","neutral","neutral"
"Similarly, numerous high-profile U.S. persons, including former Ambassador Michael McFaul, Roger Stone, Sean Hannity, and Michael Flynn Jr., retweeted or responded to tweets posted to these IRA-controlled accounts.","Roger Stone","IRA","neutral","neutral"
"According to notes written by Hunt, the President said, ""This is terrible Jeff. It's all because you recused. AG is supposed to be most important appointment. Obama appointed Holder. I appointed you and you recused yourself. You left me on an island. I can't do anything.""","Obama","Holder","positive","none"
"Kushner and Powell organized a leak campaign in McMaster’s defense.","Kushner","McMaster","positive","none"
"Ledeen, a long-time Senate staffer who had previously sought the Clinton emails, provided updates to Flynn about her efforts throughout the summer of 2016.","Ledeen","Flynn","neutral","neutral"
"Two days later, on May 5, 2017, the President told close aides he was going to fire James Comey Jr., and on May 9, he did so, using his official termination letter to make public that James Comey Jr. had on three occasions informed the President that he was not under investigation.","the President","James Comey Jr.","neutral","neutral"
"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Steve Bannon.","Steve Bannon","Trump","positive","positive"
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.","Central Intelligence Agency","President-Elect","neutral","neutral"
"And within a week of the release, a foreign government informed the FBI about its May 2016 interaction with Papadopoulos and his statement that the Russian government could assist the Trump Campaign.","Russian government","Trump campaign","positive","none"
"However, the Kremlin official close to S. Ivanov added that s/he believed Divyekin also had hinted (or indicated more strongly) that the Russian leadership also had 'kompromat' on Trump which the latter should bear in mind in his dealings with them.","Russian leadership","Trump","negative","none"
"According to Oknyansky, Stone asked if the amounts in question totaled millions of dollars but was told it was closer to hundreds of thousands.","Oknyansky","Stone","neutral","neutral"
"GRU officers used both the DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks through Twitter private messaging and through encrypted channels, including possibly through WikiLeaks's private communication system.","DCLeaks","GRU","neutral","neutral"
"Months before that meeting, Manafort had caused internal polling data to be shared with Kilimnik, and the sharing continued for some period of time after their August meeting.","Manafort","Kilimnik","positive","none"
"Continuing on this theme the source close to Ivanov reported that Peskov now was ""scared shitless"" that he would be scapegoated by Putin and the Kremlin and held responsible for the backlash against Russian political interference in the US election.","Peskov","Putin","negative","none"
"He is recording a daily podcast, “War Room: Impeachment,” that dissects developments in the case with Jason Miller, a former communications aide to Trump, and Raheem Kassam, a former adviser to the U.K. Brexit Party leader Nigel Farage.","Jason Miller","Trump","neutral","none"
"The GRU released through dcleaks.com thousands of documents, including personal identifying and financial information, internal correspondence related to the Clinton Campaign and prior political jobs, and fundraising files and information.","GRU","Clinton Campaign","neutral","neutral"
"During these connections, Military Unit 26165 officers appear to have stolen thousands of emails and attachments, which were later released by WikiLeaks in July 2016.","Military Unit 26165","WikiLeaks","neutral","neutral"
"On July 31, 2016, based on the foreign government reporting, the FBI opened an investigation into potential coordination between the Russian government and individuals associated with the Trump Campaign.","FBI","Russian government","negative","none"
"Then-FBI Director James Comey later confirmed to Congress the existence of the FBI's investigation into Russian government interference that had begun before the election.","FBI","Russian government","negative","none"
"Sergei Ivanov recently had had a drink with Putin to mark this.","Sergei Ivanov","Putin","neutral","neutral"
"Donald Trump decided to fire James Comey Jr. before receiving advice or a recommendation from the Department of Justice.","Donald Trump","James Comey Jr.","negative","none"
"Trump’s first campaign manager and the head of his transition project were each ousted when they questioned the calls of Trump’s son-in-law turned senior adviser, Jared Kushner.","Trump","Jared Kushner","positive","positive"
"We reported previously (2016/135 and / 136) on secret meeting/s held in Prague, Czech Republic, in August 2016 between then Republican presidential candidate Donald TRUMP's representative, Michael COHEN and his interlocutors from the Kremlin working under cover of Russian 'NGO' Rossotrudnichestvo.","Michael Cohen","Rossotrudnichestvo","neutral","neutral"
"It was the New York Times and the Washington Post, who came to the defense of McMaster, against Breitbart and its cronies and satellites.","Washington Post","Breitbart","negative","none"
"“This guy is doing an amazing job,” Steve Bannon tells TIME of Priebus.","Steve Bannon","Priebus","positive","none"
"Kirill Dmitriev, the chief executive officer of Russia's sovereign wealth fund, was among the Russians who tried to make contact with the incoming administration.","Kirill Dmitriev","Russia's sovereign wealth fund","neutral","none"
"After it was reinstated, GRU officers posing as Guccifer 2.0 wrote [] via private message, ""thank u for writing back ... do u find anyt[h]ing interesting in the docs i posted?""","Guccifer 2.0","GRU","neutral","neutral"
"The order appointing the Special Counsel authorized him to investigate ""the Russian government's efforts to interfere in the 2016 presidential election,"" including any links or coordination between the Russian government and individuals associated with the Trump Campaign.","Russian government","Trump campaign","positive","positive"
"“Steve Bannon is proud to call Reince Priebus a partner.”)","Steve Bannon","Reince Priebus","positive","none"
