"sentence","head","tail","relation"
"This report provides further evidence of an extensive conspiracy between the TRUMP campaign and the Kremlin, sanctioned at highest levels and involving Russian diplomatic staff based in the US.","TRUMP campaign","KREMLIN","positive2"
"Then, in June 2017, Alan Garten, a lawyer for the Trump Organization, contacted Goldstone and asked about the June 9, 2016, meeting.","Alan Garten","Trump Organization","neutral1"
"Gates thought that Deripaska wanted a U.S. visa and having Manafort in a position inside the Trump Campaign might be helpful to Deripaska.","Manafort","Deripaska","positive1"
"“Because Hillary Clinton would be in jail,” Mr Trump shot back.","Trump","Hillary Clinton","negative1"
"The Committee found that Russian President Vladimir Putin directed the hack and leak campaign targeting the DNC, DCCC, and the Clinton Campaign.","Vladimir Putin","Clinton Campaign","negative1"
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Keith Schiller","Rob Goldstone","neutral2"
"Specifically, Cohen recalled Poliakova asking about the property, including the area, size, and square footage.","Poliakova","Cohen","neutral2"
"Klyushin has publicly stated that he works for the Russian Presidential Administration and has also been affiliated with the Russian Duma.","Klyushin","Russian Duma","neutral1"
"In addition to arranging the pageant itself, Trump and Aras Agalarov repeatedly contacted President Putin and his staff, both to invite Putin to the event, and to offer a personal meeting with Trump.","Trump","Putin","positive1"
"The following day, December 30, Cohen told Sater that he had lost the deal, and that Cohen would be contacting his ""alternate,"" presumably a reference to Rtskhiladze.","Cohen","Sater","neutral2"
"In April 2016, the GRU hacked into the computer networks of the Democratic Congressional Campaign Committee (DCCC) and the Democratic National Committee (DNC).","GRU","DCCC","negative1"
"George Papadopoulos also communicated with government officials from Egypt, Israel, Japan, and the United Kingdom.","George Papadopoulos","Japan","neutral2"
"Oknyansky claimed that Caputo accompanied Stone to the meeting and provided an introduction, whereas Caputo did not tell us that he had attended and claimed that he was never told what information Oknyansky offered.","Caputo","Stone","neutral2"
"“WAR ROOM: Impeachment is the only radio show, podcast, website and news service solely dedicated to exposing the Democratic drive to destroy President Trump and his presidency,” a Bannon spokeswoman, Alexandra Preate, said in an email to Bloomberg News.","Alexandra Preate","Bannon","neutral1"
"Those ""thefts"" and the ""disclosures"" of the hacked materials through online platforms such as WikiLeaks, the statement continued, ""are intended to interfere with the US election process.""","Russian Government","U.S. Government","negative1"
"And Mr. Trump said: Okay, keep Felix Sater tight.","Trump","Felix Sater","negative1"
"“WAR ROOM: Impeachment is the only radio show, podcast, website and news service solely dedicated to exposing the Democratic drive to destroy President Trump and his presidency,” a Bannon spokeswoman, Alexandra Preate, said in an email to Bloomberg News.","Alexandra Preate","Bloomberg News","neutral2"
"Another one of Rykov's election events was attended by Anton Korobkov- Zemlyanskiy, a pro-Kremlin social media operative and bot developer whose activities have targeted foreign countries including the United States.","Anton Korobkov- Zemlyanskiy","Rykov","neutral1"
"Cohen understood that Trump was ""interested in the project"" and recalled that he had spoken to Trump ""ten to twelve"" times during the course of the negotiations, which lasted from September 2015 to at least until June 2016.","Cohen","Trump","neutral2"
"In addition, the GRU had very likely used direct messaging between the Guccifer 2.0 and DCLeaks personas to mask the hand of the Russian government.","GRU","DCLeaks personas","neutral1"
"At approximately 7:30 a.m., Kilimnik met with Manafort alone in New York at the Peninsula Hotel.","Kilimnik","Manafort","neutral2"
"Irakly “Ike” Kaveladze thought Irakly “Ike” Kaveladze would be a translator for Natalia Veselnitskaya during the meeting.","Irakly “Ike” Kaveladze","Natalia Veselnitskaya","negative1"
"The Committee found the FBI lacked a formal or considered process for escalating its warnings about the DNC hack within the organization of the DNC.","The committee","FBI","negative1"
"And he was also enthusiastic because he would have gotten cut in.","Mikhail Ziats","Felix Sater","positive1"
"On the same day, March 24, 2016, almost certainly after his meeting with Mifsud and Polonskaya, Papadopoulos performed internet searches for the following terms:","Papadopoulos","Mifsud","neutral2"
"In addition to communicating with both Sater and Rtskhiladze in the fall of 2015, Cohen also had contact with another Russian national, Dmitry Klokov, in the same timeframe.","Cohen","Rtskhiladze","neutral2"
"Stone then requested contact information from Gates for Jared Kushner, in order to ""brief' Kushner on WikiLeaks documents.","Stone","Jared Kushner","neutral2"
"Cohen eventually made contact in January 2016 with a Russian Presidential Administration aide to Dmitri Peskov, a senior Kremlin official and key advisor to Putin.","Dmitri Peskov","Russian Presidential Administration","neutral1"
"Goldstone stated that ""the subject of Russian American voters in the USA came up"" and that the VK head of marketing ""is keen to set up a Trump Campaign VOTE page on VK"" which would he targeted at Russian and CIS voters in the United States and would ""surely secure their votes.""","VK head of marketing","Trump Campaign","positive1"
"Carter Page was likely a subject of interest to Russian officials during the 2016 election, given that he was the only member of the Trump Campaign's foreign policy advisory team publicly identified as a Russia expert.","Russian officials","Carter Page","neutral1"
"Caputo notified Roger Stone and brokered communication between Stone and Oknyansky. Oknyansky and Stone set up a May 2016 in-person meeting","Caputo","Roger Stone","neutral2"
"DIVEYKIN discussed the release of a Russian dossier of 'kompromat' on TRUMP's opponent, Hillary CLINTON, but also hinted at Kremlin possession of such material on TRUMP.","KREMLIN","Hillary CLINTON","negative1"
"On October 3, 2016, WikiLeaks sent another direct message to Trump Jr., asking ""you guys"" to help disseminate a link alleging candidate Clinton had advocated using a drone to target Julian Assange.","Clinton","Julian Assange","negative1"
"Regarding the Steele Dossier, FBI gave Steele's allegations unjustified credence, based on an incomplete understanding of Steele's past reporting record.","FBI","Steele Dossier","positive1"
"The timing of Mifsud's visit to Moscow and his subsequent conversation with Papadopoulos are consistent with the timeline of the GRU's cyber penetration of the DNC and DCCC, several weeks before any information about that activity was public.","Mifsud","Papadopoulos","neutral2"
"In an interview with a reporter in 2018, Kilimnik stated: Manafort is a guy who can merge strategy and message into something that will work for ,victory.","Kilimnik","Manafort","positive1"
"While Trump was Sater's primary point of contact in theTrump Organization, Sater also worked with Donald Trump Jr., Ivanka Trump, and Jason Greenblatt at various times during his efforts.","Sater","Jason Greenblatt","neutral1"
"To do this, Manafort sought to sway the political direction of Ukraine to benefit the PoR without the heavy-handed tactics that Russia and Deripaska had used in 2004","Manafort","the PoR","positive1"
"Kilimnik responded that he was ""carefully optimistic on the question of our biggest interest"" and expected that ""we"" will get back to the ""original relationship"" with Deripaska.","Kilimnik","Deripaska","positive1"
"Manafort also said that Veselnitskaya offered to push to lift the Russian Government restriction on adoptions in exchange for Trump calling for the repeal of the Magnitsky Act.","Veselnitskaya","Russian Government","positive1"
"It is unknown if a call took place, although later that day Sater sent a text to Cohen about the Russia travel plans: 
I think you should make it a bit more flexible for yourself 1st week of Feb is this Monday.","Sater","Cohen","neutral2"
"Arkady Dvorkovich is a graduate of the New Economic School, deputy to Prime Minister Dmitry Medvedev and now chairman of the Russian Railways board","Arkady DVORKOVICH","Dmitry MEDVEDEV","neutral1"
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murad","Roman Beniaminov","neutral2"
"The Cayman Islands court petition named Gates, Manafort, Kilimnik, and several others as key individuals involved in Pericles and claimed that Manafort and Gates had ""simply disappeared.""","Gates","Pericles","neutral2"
"Cohen posed for a photo with Kennedy and another attendee, then-Sen. Hillary Clinton, a picture he would later show off in a tweet: “#tbt being received by two great Americans.”","Cohen","Kennedy","neutral2"
"Grachev, the director of Crocus City Hall, was in touch with Dmitry Peskov and had been involved in the prior transmittal ofthe letter from Trump to Putin.","Grachev","Dmitry Peskov","neutral1"
"Russian Government's intent was to damage the Clinton Campaign and tarnish what it expected might be a Clinton presidential administration, help the Trump Campaign after Trump became the presumptive Republican nominee, and generally undermine the U.S. democratic process.","Russian Government","Clinton Campaign","negative1"
