"sentID","sentence","head","tail","relation"
1395,"Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.","Gates","Bletilla Ventures Limited","neutral2"
546,"On September 22, 2016 (the same day of DCLeaks' email to WikiLeaks), the Twitter account dcleaks sent a single message to WikiLeaks with the string of characters.","DCLeaks","WikiLeaks","neutral2"
4375,"Aleksey Goreslavskiy, a Rykov associate and former colleague, has political oversight of online media in Russia's Presidential Administration.","Aleksey Goreslavskiy","Russia's Presidential Administration","neutral1"
3507,"On April 15, Graff emailed Goldstone to inform him that Trump had received the letter from Agalarov.","Trump","Agalarov","neutral2"
4396,"In addition to Klyushin and Zemlyanski, Rykov's gatherings in Moscow for the 2016 U.S. election and inauguration were also attended by a range of other individuals such as pro-Kremlin propagandist Maria Katasonova, Duma member Aleksey Zhuravlev, and Jack Hanick, an American media consultant who is associated with U.S.-sanctioned oligarch Konstantin Malofeyev and the pro-Kremlin propaganda media outlet Tsargrad TV.","Klyushin","Rykov","neutral1"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Michael Cohen","Olivia Culpo","neutral2"
4080,"On June 13, 2016, Beniaminov emailed Graff, copying Goldstone and Tropea to coordinate the delivery of one of the paintings.","Beniaminov","Goldstone","neutral2"
2010,"Oleg Deripaska primarily implements Russian active measures through Russian national Viktor Boyarkin.","Viktor Boyarkin","Deripaska","neutral1"
796,"Ledeen, a long-time Senate staffer who had previously sought the Clinton emails, provided updates to Flynn about her efforts throughout the summer of 2016.","Ledeen","Clinton","negative1"
1690,"The Committee sought to determine with specificity what information Kilimnik actually gleaned from Manafort on August 2, 2016.","Kilimnik","Manafort","neutral2"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Esther Swan","Timur Beniaminov","neutral2"
