sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"IRA Facebook groups active during the 2016 campaign covered a range of political issues and included purported conservative groups (with names such as ""Being Patriotic,"" ""Stop All Immigrants,"" ""Secured Borders,"" and ""Tea Party News""), purported Black social justice groups (""Black Matters,"" ""Blacktivist,"" and ""Don't Shoot Us""), LGBTQ groups (""LGBT United""), and religious groups (""United Muslims of America"").",IRA,United Muslims of America,none,neutral1,False,neutral,none,False
"Why was this such a big deal?""'",Paula Shugart,Rob Goldstone,none,neutral2,False,neutral,none,False
"One of Ms. Veselnitskaya’s clients is Denis Katsyv, the Russian owner of a Cyprus-based investment company called Prevezon Holdings.",Denis Katsyv,Prevezon Holdings,positive1,neutral2,False,neutral,positive,False
"Before long, a plan to send four, five, six, or (tops) seven thousand troops became the middle-course strategy supported by the national security establishment and most everyone else save for Bannon and Donald Trump.",Bannon,Donald Trump,positive1,positive2,False,positive,positive,True
The Crown prosecutor of Russia met with Emin Agalarov's father Aras this morning and in their meeting offered to provide the Trump campaign with some official documents and information that would incriminate Hillary and her dealing with Russia and would be very useful to your father.,Emin Agalarov,Aras,positive1,positive2,False,positive,positive,True
"Kaveladze told the Committee that the joint project was designed as an incentive fee deal for a residential Trump Tower, and that Kaveladze was mostly focused on negotiating with the Trump Organization to lower its fees.",Kaveladze,Trump Organization,neutral1,neutral2,False,neutral,neutral,True
"After receiving Trump's approval to proceed, Cohen, Sater, and Rozov moved quickly to agree to basic deal parameters.",Cohen,Rozov,neutral2,positive2,False,positive,neutral,False
"In order to expand its interference in the 20 I 6 U.S. presidential election, the GRU units transferred many of the documents they stole from the DNC and the chairman of the Clinton Campaign to WikiLeaks.",GRU,DNC,negative1,negative1,True,negative,negative,True
So Donald Trump is going to give Vladimir Putin total credit.,Donald Trump,Vladimir Putin,positive1,positive1,True,positive,positive,True
"Sidorkov had previously been helpful to Emin Agalarov, and Goldstone now wanted to be helpful to him.",Goldstone,Sidorkov,positive1,positive1,True,positive,positive,True
"Cohen responded to Sater the next day, attaching a scan of the identification page of his passport.",Cohen,Sater,neutral1,neutral2,False,neutral,neutral,True
