sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"According to Manafort, Kilimnik discussed Ukrainian politics, and in particular, a plan by Boyko to increase election participation in the OB's stronghold in the eastern zone of Ukraine.",Kilimnik,Manafort,neutral1,neutral2,False,neutral,neutral,True
"Trump sat next to Aras Agalarov, and Agalarov social media manager Artem Klyushin and his then-wife sat behind them.",Artem Klyushin,Aras,none,neutral1,False,neutral,none,False
"According to an FBI interview of Gates, Alexander and Dmit Chera were the owners of Black Sea Cable affiliated with Rinat Akhmetov",Black Sea Cable,Rinat Akhmetov,positive1,neutral2,False,neutral,positive,False
"Stone then communicated this information to Trump and other senior Campaign officials and affiliates, including Manafort and Gates.",Stone,Gates,neutral1,positive1,False,positive,neutral,False
"For example, Nastya Rybka, a former Deripaska mistress, was arrested in Thailand and claimed that she was ""the only witness and the missing link in the connection between Russia and the U.S. elections - the long chain of Oleg Deripaska, Prikhodko, Manafort, and Trump.""",Deripaska,Rybka,positive2,positive2,True,positive,positive,True
"Then, on April 18, 2016, the GRU gained access to the DNC network through a virtual private network (VPN) that connected the DNC and DCCC networks.",GRU,DNC,negative1,negative1,True,negative,negative,True
"Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.",Steve Bannon,Alexandra Preate,positive1,positive2,False,positive,positive,True
"While the Committee obtained evidence revealing that Kilimnik shared with Deripaska other information passed on by Manafort, such as links to news articles, the Committee did not obtain records showing that Kilimnik passed on the polling data.",Manafort,Kilimnik,neutral1,neutral2,False,neutral,neutral,True
"Following the dinner, Miller prepared a termination letter based on those notes and research he conducted to support Donald Trump's arguments.",Miller,Donald Trump,positive1,positive2,False,positive,positive,True
"Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.",Chrysostomides,Gates,positive1,neutral1,False,neutral,positive,False
"At this delicate diplomatic moment, Newsom has nimbly steered around questions that would lead to direct confrontation with Trump, including their disagreement over whether life can return to normal by Easter.",Newsom,Trump,negative1,positive2,False,positive,negative,False
"Dear Don, Emin Agalarov's father just received a letter and gift for your dad from Mr. Putin, Emin Agalarov is sending all this with Irina Agalarov who is flying early next week and either Rob or Paula will make sure you guys get it shortly, in the meantime here are some pictures.",Irina Agalarov,Emin Agalarov,positive1,positive2,False,positive,positive,True
Kilimnik was aware that Manafort remained in contact with Trump and the Trump Campaign generally and took an interest in making use of the connection.,Kilimnik,Trump Campaign,positive1,positive1,True,positive,positive,True
