"sentence","head","tail","relation"
"Papadopoulos recalled that they discussed U.S.-Russia trade issues during the meeting, and noted that Polonskaya was escorted by an unknown male who did not join them.","Papadopoulos","Polonskaya","neutral2"
"The Committee assesses that at least two participants in the June 9, 2016 meeting, Veselnitskaya and Rinat Akhmetshin, have significant connections to the Russian government, including the Russian intelligence services.","Veselnitskaya","Russian government","positive2"
"However, after defendant Papadopoulos informed [Mifsud] about his joining the Trump Campaign, the Professor appeared to take great interest in defendant Papadopoulos.","Papadopoulos","Trump Campaign","positive1"
"Papadopoulos engaged both Polonskaya and Timofeev, along with Mifsud, as part of his outreach to Russia.","Papadopoulos","Timofeev","neutral1"
"Joseph Mifsud has to introduce George Papadopoulos to somebody very important.""","Joseph Mifsud","George Papadopoulos","positive1"
"James Comey said Donald Trump could count on James Comey to always tell him the truth.","Donald Trump","James Comey","neutral2"
"Papadopoulos expressed that he was seeking ""an advisory role to Mr. Trump on matters of energy security and U.S. policy in the Eastern Mediterranean.""","Papadopoulos","Trump","positive1"
"On July 27 2016, Unit 26165 targeted email accounts connected to candidate Clinton's personal office","Unit 26165","Clinton","negative2"
"Mifsud played a central role in Papadopoulos's attempts to engage the Russian government on behalf of the Trump Campaign.","Mifsud","Papadopoulos","positive1"
"Papadopoulos testified to the House of Representatives: ""[M]y understanding was I was talking to a very senior level diplomat's family member from Russia.""","Papadopoulos","Olga Polonskaya","positive1"
"Polonskaya communicated with Papadopoulos up until, and after, the 2016 election.","Polonskaya","Papadopoulos","neutral2"
"Donald Trump had invited James Comey to dinner and decided James Comey's job security was on the menu.","Donald Trump","James Comey","positive1"
"Sam Clovis has already had lengthy discussions with Walid Phares and George Papadopoulos.","Sam Clovis","Walid Phares","neutral2"
"The Committee found evidence that Papadopoulos likely learned about the Russian active measures campaign as early as April 2016 from Joseph Mifsud, a Maltese academic with longstanding Russia ties, well before any public awareness of the Russian effort.","Papadopoulos","Joseph Mifsud","neutral2"
"George Papadopoulos joined the Trump Campaign as part of a foreign policy advisory team created to blunt criticism that the Campaign lacked foreign policy advisors.","George Papadopoulos","the Trump Campaign","neutral1"
"According to Mangiante, she was introduced to Mifsud at some point between 2009 and 2016 through Gianni Pittella, the former head of a political group within the European Union.","Gianni Pittella","Mangiante","neutral1"
"In total, WikiLeaks released over 50,000 documents stolen from Podesta's personal email account.","Wikileaks","Podesta","negative2"
"The GRU then stole those snapshots by moving them to the DNC account that they controlled; from there, the copies were moved to GRUcontrolled computers.","GRU","DNC","negative1"
"Cohen made contact in January 2016 with a Russian Presidential Administration aide to Dmitri Peskov, a senior Kremlin official and key advisor to Putin.","Dmitri Peskov","Putin","neutral1"
"Mangiante and Papadopoulos initially communicated via Skype or WhatsApp, until Papadopoulos met Mangiante in person at the airport in New York in the spring of 2017.","Mangiante","Papadopoulos","neutral2"
"The Committee assesses that at least two participants in the June 9, 2016 meeting, Veselnitskaya and Rinat Akhmetshin, have significant connections to the Russian government, including the Russian intelligence services.","Veselnitskaya","Rinat Akhmetshin","neutral2"
"The ""30,000 emails"" were apparently a reference to emails described in media accounts as having been stored on a personal server that candidate Clinton had used while serving as Secretary of U.S. Government.","Clinton","U.S. Government","neutral1"
"The Committee used limited document production and interviews to evaluate interactions Papadopoulos had throughout 2016 with foreign officials, Mifsud, and members of the Trump Campaign, and the corresponding counterintelligence threats those activities represented.","Papadopoulos","Mifsud","neutral2"
"Mifsud introduced Papadopoulos to Olga Polonskaya and Ivan Timofeev.","Mifsud","Ivan Timofeev","positive1"
"Unit 26165 officers also hacked into a DNC account hosted on a cloud-computing service","Unit 26165","DNC","negative2"
"Mifsud played a central role in Papadopoulos's attempts to engage the Russian government on behalf of the Trump Campaign.","Papadopoulos","Trump Campaign","positive1"
"Papadopoulos characterized a transition in their relationship, shifting from ""seemingly obscure girl ... to now the interlocutor with Mifsud to the Russian Government for me.""","Papadopoulos","Russian government","positive1"
"Papadopoulos engaged both Polonskaya and Timofeev, along with Mifsud, as part of his outreach to Russia.","Papadopoulos","Polonskaya","neutral1"
"On September 20, 2016, the GRU began to generate copies of the DNC data using function designed to allow users to produce backups of databases (referred to as ""snapshots"").","GRU","DNC","negative1"
"On March 24, 2016, Papadopoulos met with Mifsud and Olga Polonskaya, a Russian-national, at the Holborn Hotel.","Papadopoulos","Mifsud","neutral2"
"Mifsud introduced Papadopoulos to Olga Polonskaya and Ivan Timofeev.","Papadopoulos","Ivan Timofeev","neutral1"
"Papadopoulos recalled that he and Joseph Mifsud discussed U.S.-Russia trade issues during the meeting, and noted that Polonskaya was escorted by an unknown male who did not join them.","Joseph Mifsud","Polonskaya","neutral2"
"Although Mifsud worked for LCILP, Papadopoulos had not previously met him.","Mifsud","LCILP","neutral1"
"On June 14, 2016, Cohen and Sater met in person in Trump Tower, and Cohen likely relayed that he would not be able to travel to Russia at that time.","Cohen","Sater","neutral2"
"FBI technical analysis of Papadopoulos's cell phone indicates that Mifsud sent Papadopoulos a text message on March 22, 2016, writing: ""My number: joseph'.""","Mifsud","Papadopoulos","neutral2"
"This is in contrast to what Clovis stated in his interview with the Committee, during which he stated, ""I think my advice to George [Papadopoulos] has always been: No to Russia.""","Clovis","Papadopoulos","neutral2"
"A short time later, with a serious look on Donald Trump's face, he said to James Comey, “I need loyalty.","Donald Trump","James Comey","neutral2"
"The same day, a representative from the Trump Campaign responded to Papadopoulos with the subject line, ""follow up from Michael Glassner,"" to confirm that Papadopoulos would like to be introduced to Sam Clovis, who was the National Co-Chair and Chief Policy Adviser for the Trump Campaign and was at that time charged with forming a foreign policy team for the Trump Campaign.","Michael Glassner","Papadopoulos","neutral2"
"Papadopoulos first reached out to the Trump Campaign in the summer of 2015, and was referred to Michael Glassner, the National Political Director for the Trump Campaign, by Corey Lewandowski, the Trump Campaign manager at the time.","Papadopoulos","Trump Campaign","positive1"
"Mangiante characterized Mifsud as being affiliated with a number of universities in Europe, including the Link Campus University in Rome, Italy; the University of East Anglia and the University of Stirling in the United Kingdom; as well as serving as the Director of the London Academy of Diplomacy.","Mifsud","University of East Anglia","positive1"
"George Papadopoulos also testified that Idris reiterated Mifsud's claim, stating ""[t]his is Putin's niece or the Russian President's niece.""","Idris","George Papadopoulos","neutral2"
"Aras Agalarov is a prominent oligarch in Russia, and his son, Emin Agalarov, is a musician and businessman in Moscow.","Aras Agalarov","Emin Agalarov","positive2"
"By early 2018, Kilimnik was again working with Manafort-who was under criminal indictment in the United States-in an attempt to organize a poll in Ukraine that would quietly try to gauge voter sentiment on Yanukovych.","Manafort","Kilimnik","positive2"
"The information that Natalia Veselnitskaya, the Russian lawyer, offered during the June 9, 2016 meeting and planned to offer again at the follow up meeting requested by Aras Agalarov was part of a broader influence operation targeting the United States that was coordinated, at least in part, with elements of the Russian government.","United States","Russian Government","negative2"
"In September 2015, Trump authorized Cohen to pursue a deal in Russia through Felix Sater, a longtime business associate of Trump.","Trump","Cohen","positive1"
"However, after defendant Papadopoulos informed [Mifsud] about his joining the [Trump] Campaign, the Professor appeared to take great interest in defendant Papadopoulos.","Mifsud","Papadopoulos","positive1"
"Papadopoulos first reached out to the Trump Campaign in the summer of 2015, and was referred to Michael Glassner, the National Political Director for the Trump Campaign, by Corey Lewandowski, the Trump Campaign manager at the time.","Corey Lewandowski","Papadopoulos","positive1"
"According to Papadopoulos's statement of offense, Mifsud introduced Polonskaya to Papadopoulos as a relative of Vladimir Putin and as someone who had connections to senior Russian government officials.","Mifsud","Polonskaya","neutral1"
"Papadopoulos characterized a transition in their relationship, shifting from ""seemingly obscure girl ... to now the interlocutor with Mifsud to the Russian Government for me.""","Papadopoulos","Mifsud","neutral1"
"Despite efforts by certain individuals to remove him from the Campaign, Papadopoulos continued to assert his affiliation with the Campaign and remained in contact with senior staff such as Stephen Bannon and Michael Flynn.","Papadopoulos","Stephen Bannon","neutral2"
