"sentID","sentence","head","tail","relation"
2798,"Corsi recalled previewing the Access Hollywood tape with conference call participants during one or two calls that day: a WorldNetDaily staff call at 1 :08 p.m., or a 2 p.m. call involving Total Banking Solutions that included Malloch.","Corsi","Malloch","neutral2"
871,"On Wednesday, February 8, the Washington Post’s Karen DeYoung came to visit Flynn for what was billed as an off-the-record interview.","Karen DeYoung","Flynn","neutral2"
506,"Beginning in late June 2016, the GRU also used the Guccifer 2.0 persona to release documents directly to reporters and other interested individuals.","Guccifer 2.0","GRU","neutral2"
2443,"Andrew Müller-Maguhn admitted to reporters that once, in 2016, he transported a flash drive containing what he believed (but could not be certain) were personal messages to Assange, but did not identify the sender.","Andrew Müller-Maguhn","Assange","positive1"
3425,"On November 8, 2015, Trump wrote to Aras Agalarov:","Trump","Aras Agalarov","neutral2"
5179,"On March 21, 2016, Trump announced some of the foreign policy team during a meeting with the editorial board of the The Washington Post.","Trump","The Washington Post","neutral2"
435,"Posts from the IRA-controlled Twitter account @TEN_GOP were cited or retweeted by multiple Trump Campaign officials and surrogates, including Donald J. Trump Jr., Eric Trump, Kellyanne Conway, Brad Parscale, and Michael T. Flynn.","Michael T. Flynn","@TEN_GOP","neutral2"
2809,"On October 8, Stone messaged Corsi: ""Lunch postponed - have to go see T,"" referring to Trump.","Stone","Corsi","neutral2"
2837,"Participants included Trump and his senior Campaign officials, such as Dan Scavino, Hope Hicks, Bannon, Kushner, Stephen Miller, and Jason Miller.","Hope Hicks","Jason Miller","positive2"
2085,"Gates also did not believe that Kilimnik could afford his lifestyle solely on his DMP salary.","Kilimnik","DMP","neutral1"
4777,"According to the SCO, however, Sater's reference to ""Evgeny"" on the December 19 message was a reference to Evgeny Dvoskin, who at the time was associated with a Russian bank operating in Crimea.","Sater","Evgeny Dvoskin","neutral2"
1974,"Manafort provided a draft questionnaire to Fabrizio and his company.","Manafort","Fabrizio","neutral2"
5184,"An individual named Nagi Idris, another director at LCILP, facilitated the introduction between Papadopoulos and Mifsud while they were in Rome.","Nagi Idris","Mifsud","neutral1"
3718,"Goldstone replied that there was no news yet, explaining that Trump Jr. would likely be available after ""Super Tuesday,"" when Trump would be ""'crowned' the official nominee.","Goldstone","Emin Agalarov","neutral2"
742,"It was the New York Times and the Washington Post, who came to the defense of McMaster, against Breitbart and its cronies and satellites.","New York Times","Breitbart","negative1"
3082,"Other information indicates that a Trump acquaintance, David Geovanis, may have attended the pageant.","Trump","David Geovanis","neutral1"
2965,"Agalarov responded, thanking Emel Kiral and saying that he would look at the slides.","Agalarov","Emel Kiral","neutral2"
4337,"The Committee assesses that Klyushin is a Kremlin-linked bot developer who has supported Russian influence operations on social media.","Klyushin","Kremlin","neutral1"
3534,"At the meeting, Yakunin also raised a report that had information he believed Rohrabacher should review.","Yakunin","Rohrabacher","neutral1"
4916,"Sater later explained to the Committee that he believed Peskov was the ""perfect"" fit with whom to work on the project because Sater wanted to have a large media event and ribbon cutting, and that Peskov, as press secretary, would be the best Kremlin insider to work with.","Sater","Peskov","positive1"
3591,"In her efforts, Veselnitskaya significantly interacted with at least one member of Congress, Congressman Dana Rohrabacher, both in Washington and in Moscow.","Veselnitskaya","Dana Rohrabacher","neutral2"
2495,"From early June to the July 22 WikiLeaks release, Manafort and Gates both called to ask Stone when the release would happen and Stone repeated that the information was coming.","Gates","Stone","neutral2"
1822,"Kilimnik and Manafort secretly coordinated on Ukraine matters, practicing communications security through the continued use of foldering.","Kilimnik","Manafort","positive2"
2862,"In mid-October, Ivanka Trump tasked the Campaign's senior officials (including: Bannon, Scavino, Stephen Miller and Jason Miller) with preparing two Trump tweets every day linking to WikiLeaks content, which, she said, would help ""refocus the narrative.""","Ivanka Trump","Jason Miller","neutral1"
1607,"Kilimnik later shared with Patten what he had learned about Manafort' s ""campaign strategy"" at the ·meeting , including a discussion of whether Trump ""[has] a shot; if he has a shot, why.""","Patten","Kilimnik","positive1"
1124,"Ever unflagging, Anthony Scaramucci interrupted a meeting in Kellyanne Conway’s office in early January just to make sure she knew that her husband’s firm, Wachtell, Lipton, was representing him.","Wachtell, Lipton","Anthony Scaramucci","neutral2"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murtaza Akbar","Esther Swan","neutral2"
2674,"After Bannon assumed the role of Campaign CEO, Stone repeated to him that he ""had a relationship with Assange and said that WikiLeaks was going to dump additional materials that would be bad for the Clinton Campaign.""","Stone","Bannon","neutral2"
1483,"Gates had heard that Manafort and Deripaska had sporadic meetings between 2009 and 2014, possibly about things unrelated to the investment deal, although Gates was not aware of their substance","Manafort","Deripaska","neutral2"
1020,"“He wished he was in ‘Goodfellas,’” said Greg Ehrlich, whose wedding Cohen attended in the early 2000s.","Greg Ehrlich","Cohen","positive2"
2577,"Cohen also said that Trump told him ""he guessed Stone knew what he was talking about.""","Trump","Stone","positive1"
3726,"At 4:31 p.m., toll records indicate an outgoing call from the Trump Jr. phone number to Emin Agalarov, connecting for three minutes.","Trump Jr.","Emin Agalarov","neutral2"
3601,"Separately, Agalarov and Veselnitskaya both have close ties to Yuri Chaika, who until 2020 was Russia's Prosecutor General.","Agalarov","Yuri Chaika","positive2"
4455,"One of Sater's primary contacts providing information at this time was Evgeny Shmykov.","Sater","Evgeny Shmykov","neutral1"
113,"The previously unreported meeting was also attended by Mr. Trump’s campaign chairman at the time, Paul J. Manafort, and by the president’s son-in-law, Jared Kushner.","Jared Kushner","Donald Trump Jr.","neutral2"
1417,"According to Gates, Kilimnik had ""unfettered"" access to Yanukovych and Yanukovych' s office.","Kilimnik","Yanukovych' s office","positive2"
902,"Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Bossie","positive2"
2146,"Trump and the Trump Campaign believed that Stone had inside information and expressed satisfaction that Stone's information suggested more releases would be forthcoming.","Trump Campaign","Stone","positive1"
1107,"A stubborn McMaster kept proposing to the president new versions of the surge, but at each pitch Trump would wave him out of the Oval Office and roll his eyes in despair and disbelief.","McMaster","Trump","negative1"
4849,"Poliakova told Cohen that they would be in touch with Cohen or with I.C. Expert.","Poliakova","Cohen","neutral2"
988,"Cohen, unsmiling in his portrait, chose a passage by Henry David Thoreau.","Cohen","Henry David Thoreau","positive1"
1088,"“What kind of lawyer would tape a client?” Trump tweeted from the White House.","Trump","Michael Cohen","negative1"
743,"It was the establishment and never-Trumpers against the America-first Trumpkins.","never-Trumpers","America-first Trumpkins","negative2"
323,"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Steve Bannon.","Dmitriev","Erik Prince","neutral2"
4332,"In his interview with the Committee, Emin Agalarov sought to distance himself from Klyushin and Klyushina.","Emin Agalarov","Klyushina","negative1"
4325,"In particular, on Saturday, November 9, 2013, the day of the Miss Universe pageant, publicly available information indicates that Klyushina and Klyushin had some interaction with Trump at several points throughout the day.","Klyushina","Trump","neutral1"
2682,"On August 19, Stone learned from Randy Credico that Julian Assange was slated to be a guest on his (Credico's) radio show the following Thursday, August 25.","Julian Assange","Randy Credico","neutral1"
482,"The following day, the GRU searched one compromised DCCC computer for files containing search terms that included ""Hillary,"" ""DNC,"" ""Cruz,"" and ""Trump.""","GRU","DCCC","negative1"
2067,"Patten told the SCO that after he had left IRI, an IRI employee who worked at IRI's Belarus desk, Trig Olson, made a claim that Kilimnik leaked information to Russian intelligence.","Patten","SCO","neutral2"
2606,"On either May 15 or 16, he had dinner with Stone and Corsi, and Malloch understood that Stone ""still had an unofficial role in the campaign and Trump listened to him,"" so Malloch stayed in touch and offered to help with opposition research.","Corsi","Stone","neutral2"
2007,"Deripaska's activities include Kremlin-approved and -directed active measures-including information operations and election interference efforts-conducted to install pro-Kremlin regimes and strengthen Kremlin-aligned powerbrokers across the globe.","Deripaska","Kremlin","positive1"
261,"Although the investigation established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome, and that the Campaign expected it would benefit electorally from information stolen and released through Russian efforts, the investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities.","Russian government","Trump","positive2"
519,"WikiLeaks, and particularly its founder Julian Assange, privately expressed opposition to candidate Clinton well before the first release of stolen documents.","WikiLeaks","Clinton","negative2"
1469,"At the end of 2014 and into 2015, the OB paid Manafort between $1 million and $2 million.","OB","Manafort","positive1"
4935,"On June 13, 2016, Sater forwarded Cohen a formal electronic invitation to SPIEF addressed to Cohen, along with login instructions to access information about the confetence.","Sater","Cohen","neutral2"
199,"At a dinner on Friday, May 5, attended by Donald Trump and various advisors and family members, including Jared Kushner and senior advisor Stephen Miller, Donald Trump stated that he wanted to remove Comey and had ideas for a letter that would be used to make the announcement.","Donald Trump","Comey","negative1"
277,"In March 2016, the GRU began hacking the email accounts of Clinton Campaign volunteers and employees, including campaign chairman John Podesta.","GRU","John Podesta","negative1"
4601,"Cohen recalled that in his initial discussion with Trump about Sater's concept for a Trump Tower Moscow, Trump approved moving forward with the project but told Cohen to closely monitor Sater.","Cohen","Trump","neutral2"
4172,"Later that day, Trump Jr. responded, ""Sure Rob. CC'ing my asst Lindsay to coordinate for you.""","Trump Jr.","Rob","neutral2"
3275,"Mr.. Trump was there, Paula; Rob Goldstone ,Aras,Emin.","Trump","Rob Goldstone","neutral2"
3526,"While in Moscow, Rohrabacher and his staffer, Paul Behrends, separated from the group and, despite the concerns of the U.S. Embassy, met with Vladimir Yakunin.","Rohrabacher","Vladimir Yakunin","neutral2"
3616,"However, Akhmetshin testified to the Committee that he had never met Manafort in person prior to the June 9, 2016 meeting at Trump Tower, but he had known of Manafort due to Manafort's work in Ukraine and their mutual relationship with Lanny Wiles.","Manafort","Lanny Wiles","neutral2"
1762,"On August 18, 2016, Kilimnik told a journalist in private that he had ""almost daily contacts with Manafort these days on this 'Ukraine crisis.""","Kilimnik","Manafort","positive2"
631,"“It’s dysfunctional, as far as national security is concerned,” says Senator John McCain, an Arizona Republican.","John McCain","Republican","neutral2"
1719,"Manafort stated that he told Kilimnik the plan was crazy and that ended the discussion","Manafort","Kilimnik","neutral2"
1987,"Azarov, the former Prime Minister under Yanukovych who had also fled to Russia, had long been involved in potential efforts to return to Ukraine and establish a pro-Russia government.","Azarov","Yanukovych","neutral2"
4943,"Sater recalled: ""[Cohen] turned around and said: I can't go.","Cohen","Sater","negative1"
360,"The IRA's U.S. operations sought to influence public opinion through online media and forums.","IRA","U.S.","neutral1"
1544,"Manafort had a long history of working with Kolesnikov and had previously assisted him as early as 2005 on behalf of Akhmetov and Deripaska related to Kolesnikov's arrest on extortion charges.","Manafort","Kolesnikov","neutral2"
903,"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.","Bannon","Ivanka","negative1"
292,"Candidate Trump signed a Letter of lntent for Trump Tower Moscow by November 2015, and in January 2016 Trump Organization executive Michael Cohen emailed and spoke about the project with the office of Russian government press secretary Dmitry Peskov.","Michael Cohen","Trump Organization","neutral1"
2055,"In 2017, Kilimnik denied in private communications with Patten that there was Russian interference in the U.S. elections.","Kilimnik","Patten","neutral2"
1966,"As described infra, emails, testimony, and records show that Kilimnik had, in fact, engaged in an effort to return Yanukovych to Ukraine since 2016 and extending to at least 2018.","Kilimnik","Yanukovych","positive1"
1840,"In particular, Manafort told the Committee in a written response through counsel that he attended a meeting on or around January 17, 2017, in Madrid with ""Georgy Organov.""","Manafort","Georgy Organov","neutral2"
2485,"Although Stone no. longer had a formal position on the Campaign at this time, the Campaign ""still had people he knew,"" including Trump, Gates, Paul Manafort, and (later) Steve Bannon, and Stone ""had the ability to access these people.""","Stone","Paul Manafort","neutral1"
4295,"Information obtained by the Committee also indicates an effort by Agalarov to pay for Goldstone's legal representation.","Agalarov","Goldstone","positive1"
5147,"Mangiante described Pittella as ""someone I am very close to,'' and further stated that Pittella was ""someone who is very close to Mifsud.""","Pittella","Mifsud","positive2"
1567,"Kilimnik first told Manafort that he had been ""sending everything to Victor Boyarkin, who has been forwarding the coverage directly to OVD.""","Kilimnik","Victor Boyarkin","positive1"
1510,"The email described how the convention would be ""critical"" and that Manafort was ""the most experienced and lethal of managers ... Paul handled all of the conventions and is a killer, he would do this in an unpaid capacity .... I've attached a couple of Paul's thought pieces for your consideration -PLEASE PLEASE take the time to read the attachments.""","Thomas Barrack","Donald Trump","neutral2"
29,"Trump's comments Friday suggested that his stance had taken a turn with regards to the ventilators since Thursday night, when the President told Sean Hannity on Fox News that he was ""getting along"" with Cuomo but slammed the governor for wanting tens of thousands of ventilators, which the President doubts are necessary.","Trump","Cuomo","positive2"
3674,"Rob Goldstone can also send this info to Donald Trump Jr.'s father via Rhona, but it is ultra sensitive so wanted Donald Trump Jr. to send to his First.","Rob Goldstone","Donald Trump Jr.","positive1"
513,"The GRU was also in contact through the Guccifer 2.0 persona with [] a former Trump Campaign member","GRU","Trump Campaign","neutral2"
1254,"On March 2016, Manafort joined the Trump Campaign as convention manager.","Manafort","Trump Campaign","neutral1"
3337,"It is a pity that Vladimir Putin and Donald Trump were not able to have their meeting, but Vladimir Putin hopes they will be able to talk during one of Donald Trump's upcoming visits to Russia.","Vladimir Putin","Donald Trump","positive1"
2711,"Manafort, who had left the Trump Campaign in August, recalled speaking with Stone around the first presidential debate between Trump and Clinton, which took place on September 26, 2016.","Manafort","Trump Campaign","negative1"
1690,"The Committee sought to determine with specificity what information Kilimnik actually gleaned from Manafort on August 2, 2016.","Committee","Kilimnik","neutral1"
1533,"For example, Hope Hicks, a close aide to Trump on the Campaign, recalled attending a dinner at Mar-a-Lago with Trump and Manafort on March 24.","Trump","Manafort","positive2"
1540,"The day after the public announcement that Manafort joined the Trump Campaign on March 29, 2016, Gates sent Kilimnik an email with five attachments and instructions regarding those attachments.","Manafort","the Trump Campaign","neutral1"
2441,"For example, it is also possible that files were transferred to WikiLeaks by GRU who visited Assange in person.","GRU","WikiLeaks","positive1"
3086,"Emin Agalarov and Goldstone sought a reduction in the $6.5 million licensing fee, and believed that Shugart would take the request to Trump.","Goldstone","Shugart","neutral1"
524,"Around the same time, WikiLeaks initiated communications with the GRU persona Guccifer 2.0 shortly after it was used to release documents stolen from the DNC.","WikiLeaks","Guccifer 2.0","neutral2"
1780,"For instance, on October 21, 2016, Manafort sent Kushner an email with an attached memorandum that provided strategy guidance recommending that the Campaign should depict Clinton ""as the failed and corrupt champion of the establishment,"" because ""Wikileaks provides the Trump campaign the ability to make the case in a very credible way -by using the words of Clinton, its campaign officials and DNC members.""","Manafort","Clinton","negative1"
680,"Trump kvetched about the general state of affairs to his old friend Christopher Ruddy, the CEO of Newsmax, on a recent weekend in Florida, with the President sipping Diet Coke and Ruddy drinking scotch.","Christopher Ruddy","Newsmax","neutral2"
1858,"According to Patten, he and Kilimnik watched the inaugurationin of the lobby of the Mandarin Oriental hotel in Washington; D.C., where Patten understood Kilimnik was staying.","Patten","Kilimnik","neutral2"
1310,"Manafort recalled that he met Deripaska through his business partner at the time, Rick Davis","Manafort","Deripaska","neutral2"
2019,"The video includes a number of vignettes apparently collected from Rybka's social media accounts and focuses on an August 2016 meeting between Deripaska and Prikhodko aboard Deripaska's yacht near Norway.","Deripaska","Prikhodko","neutral2"
2015,"For example, Nastya Rybka, a former Deripaska mistress, was arrested in Thailand and claimed that she was ""the only witness and the missing link in the connection between Russia and the U.S. elections - the long chain of Oleg Deripaska, Prikhodko, Manafort, and Trump.""","Deripaska","Prikhodko","positive2"
4435,"Donald Trump and the Trump Organization's pursuit of a real estate deal in Russia extended over several decades and involved a variety of potential partners, including Felix Sater.","Trump Organization","Felix Sater","positive1"
2776,"Prince recalled later speaking with Stone, who told him that WikiLeaks would release more materials harmful to the Clinton Campaign.","Wikileaks","the Clinton Campaign","negative1"
3795,"[To: Jared Kushner] [To: Paul Manafort] [From: Donald Trump Jr.]","Trump Jr.","Jared Kushner","neutral2"
3549,"And I said: ""Okay, sure. ""","Paul Behrends","Dana Rohrabacher","positive2"
3465,"However, targeting Russians speaking voters in the United States is thematically consistent with [blank] undertaken by the Russian Government in support of Trump in the 2016 U.S. election.","Russian Government","Trump","positive1"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Keith Schiller","Roman Beniaminov","neutral2"
4304,"Kaveladze also facilitated an introduction between Veselnitskaya and the Agalarovs' lawyer, Scott Balber.","Kaveladze","Scott Balber","neutral1"
1934,"Lavrynovych is a former Ukrainian justice minister who was involved in Manafort's 2011 hiring of U.S. law firm Skadden, Arps, Meagher & Flom LLP for Ukraine-related work, and who had come under investigation by Ukrainian authorities.","Lavrynovych","Manafort","positive1"
3167,"According to Goldstone, who attended, Trump was the focus of the event, which had been organized for approximately 20 prominent Russian business and banking leaders.","Goldstone","Trump","neutral2"
3749,"Trump Jr. responded that it ""will likely be Paul Manafort (campaign boss) my brother in law and me.""","Paul Manafort","Trump Jr.","neutral1"
1102,"Representing the status quo—and, ideally, a surge on top of the status quo—was H. R. McMaster, who, next to Jarvanka, had become Bannon’s prime target for abuse.","Bannon","Jarvanka","negative1"
767,"On October 12, 2016, WikiLeaks wrote again that it was ""great to see Donald Trump Jr. and Donald Trump Jr.’s dad talking about our publications","WikiLeaks","Donald Trump Jr.","positive1"
4546,"Both were offered to Cohen in September 2015, shortly after Cohen's efforts to set up a meeting between Putin and Trump in New York.","Cohen","Putin","neutral1"
587,"Cohn has mainly been battling with two top Trump officials with a protectionist stance on trade — adviser Peter Navarro and Commerce Secretary Wilbur Ross — and had reportedly threatened to resign if Trump sided with them on the tariffs.","Peter Navarro","Trump","neutral1"
1438,"Akhmetov's account with Manafort and DMP was handled by Akhmetov's deputy, Kolesnikov, and Kilimnik was the primary conduit for arranging payments to DMP.","Kolesnikov","DMP","neutral2"
2581,"Trump also highlighted the release in a July 23 tweet: ""The Wikileaks e-mail release today was so bad to Sanders that it will make it impossible for him to support her, unless he is a fraud!""","Trump","Sanders","negative1"
674,"Aides also knew Flynn had been interviewed by the FBI about the contacts.","FBI","Flynn","neutral2"
1879,"Manafort said Poroshenko had fabricated the ""black ledger"" and was supporting Hillary Clinton.","Poroshenko","Hillary Clinton","positive1"
4479,"Sater, Arifs longtime business partner, suggested to the Committee that he believed Arif engaged in human trafficking in the United States and elsewhere.","Sater","Arif","positive1"
3881,"The fact that Natalia Veselnitskaya didn't say it on the phone, Rinat Akhmetshin thought that was something that was important and Rinat Akhmetshin understood, and Rinat Akhmetshin came.""","Rinat Akhmetshin","Natalia Veselnitskaya","positive2"
3753,"Kaveladze recalled suggesting to Aras Agalarov multiple times that because Veseinitskaya is a lawyer, they should be meeting with other lawyers.","Kaveladze","Aras Agalarov","neutral1"
1944,"In November 2016, Patten and Kilimnik arranged for a polling company to test the viability ofa new political party which would include Klitschko, Lutsenko, and two other Ukrainian political figures.","Patten","Klitschko","neutral1"
258,"First, a Russian entity carried out a social media campaign that favored presidential candidate Donald J. Trump and disparaged presidential candidate Hillary Clinton.","Russia","Donald J. Trump","positive1"
214,"DIVEYKIN discussed the release of a Russian dossier of 'kompromat' on TRUMP's opponent, Hillary CLINTON, but also hinted at Kremlin possession of such material on TRUMP.","KREMLIN","Hillary CLINTON","negative1"
2414,"Information reviewed by the Committee, detailed below, further suggests the GRU may have transferred the Podesta emails using encrypted email or, alternatively, by human courier.","GRU","WikiLeaks","positive1"
2489,"Manafort, who was not convinced that the documents were coming out, directed Gates to check in with Stone ""from time to time"" to see if his WikiLeaks information remained ""real and viable.""","Manafort","Stone","negative1"
554,"At the time, Bannon still worked in the White House.","Bannon","White House","neutral1"
2671,"Records show that Stone had at least 25 phone calls with Manafort, 20 phone calls with Gates, two calls with Bannon and two calls with Trump in the month of August 2016 alone.","Stone","Manafort","neutral2"
497,"Similarly, on September 14, 2016, GRU officers sent reporters Twitter direct messages from @dcleaks_, with a password to another non-public part of the dcleaks.com website.","@dcleaks_","GRU","neutral2"
2296,"On August 16, Stone requested that Guccifer 2.0 retweet a column Stone had written about how the 2016 election could be ""rigged against Donald Trump""; the GRU replied ""done.""","Stone","Guccifer 2.0","positive2"
5288,"George Papadopoulos joined the Trump Campaign as part of a foreign policy advisory team created to blunt criticism that the Campaign lacked foreign policy advisors.","George Papadopoulos","the Trump Campaign","neutral1"
1073,"The prospect of Cohen betraying Trump seemed unthinkable during the presidential race, when he served as a reliably combative surrogate.","Cohen","Trump","negative2"
4980,"Rtskhiladze wrote that it was a letter to the mayor of Moscow, who at the time was Sergey Sobyanin.","Sergey Sobyanin","Moscow","neutral1"
5222,"Sensing that Donald Trump needed more from James Comey, James Comey added that Donald Trump could count on him as being “reliable” in one way.","James Comey","Donald Trump","positive1"
2795,"Corsi and Stone spoke twice that day at length: once at 1:42 p.m. for 18 minutes, and once at 2:18 p.m. for 21 minutes.","Corsi","Stone","neutral2"
3821,"Cohen has stated that the interaction between Trump Jr. and his father took place in early June 2016, but the timing of what Cohen remembers remains somewhat unclear.","Trump Jr.","Trump","neutral2"
5177,"Clovis sent another email, entitled ""National Security Advisory Committee,"" to Ivanka Trump, Kushner, and Glassner on March 16, 2016: ""As you asked for today, find attached the list of those from whom I have commitments to the team.""","Clovis","Ivanka Trump","neutral2"
1765,"On August 19, 2016, Manafort resigned from the Trump Campaign. That same day,' Kilimnik wrote to an associate that ""Manafort will make billions on this free PR working for the same people he used to' work.","Manafort","the Trump Campaign","negative1"
1638,"Manafort explained that this was a reference to a $30,000 to $40,000 jar of caviar that Yanukovych had given him at a lunch following Yanukovych's 2010 election as president.","Yanukovych","Manafort","positive1"
2085,"Gates also did not believe that Kilimnik could afford his lifestyle solely on his DMP salary.","Gates","Kilimnik","negative1"
5056,"After the election, Cohen was part of an alleged joint defense agreement (JDA) with an unknown number of other Trump-affiliated individuals, including Trump himself, the Trump Organization, Jared Kushner, Ivanka Trump, Felix Sater, and others.","Cohen","Trump Organization","positive2"
1050,"“Check out the attachment of me with the ‘Donald,’” Cohen wrote in a 2006 email to Gene Freidman, who managed his taxi medallions.","Cohen","Gene Freidman","neutral2"
2473,"After WikiLeaks published the Podesta emails on October 7, Trump and the Campaign believed Stone had again acquired accurate, nonpublic information.","Stone","WikiLeaks","neutral1"
2472,"Stone reported back to senior Campaign officials and associates, and to Trump directly, and provided advance information about another expected release relating to John Podesta, which he said would be damaging to Clinton.","Stone","Trump","positive1"
113,"The previously unreported meeting was also attended by Mr. Trump’s campaign chairman at the time, Paul J. Manafort, and by the president’s son-in-law, Jared Kushner.","Paul J. Manafort","Donald Trump","neutral1"
254,"That information prompted the FBI on July 31, 2016, to open an investigation into whether individuals associated with the Trump Campaign were coordinating with the Russian government in its interference activities.","Trump campaign","Russian government","positive2"
538,"The WikiLeaks account responded, ""Hi there,"" without further elaboration.","WikiLeaks","DC Leak Account","neutral2"
2046,"Patten later told the SCO that he did not lie to the Committee because at the time he only knew Boyarkin as ""Viktor,"" a Russian associate of Kilimnik's who worked for Deripaska.","Boyarkin","Kilimnik","neutral1"
