sentence,head,tail,relation_predicted,relation_true
"In 2017, Assange also promised to provide evidence to then-Congressman Dana Rohrabacher that Russia was not his source, but only in exchange for protection from U.S. authorities.",Assange,Dana Rohrabacher,neutral1,neutral1
"Shugart identified Crocus City Hall as a potential location, and was impressed to learn that Emin Agalarov's father owned the venue.",Shugart,Emin Agalarov,positive1,positive1
Bannon and Donald Trump enjoyed trash-talking McMaster together.,Donald Trump,McMaster,negative1,negative1
"But instead of being shown an early exit, one person in the Trump administration said, Esper could just face an icing out.",Esper,Trump administration,negative1,negative2
"At one point, Cohen floated the idea of a Trump-Cohen statewide ticket, an idea Caputo considered as absurd as Cohen running for mayor.",Cohen,Trump,positive1,positive2
"Jarvanka planned to hire Anthony Scaramucci, aka “the Mooch.”",Jarvanka,Scaramucci,positive1,positive1
"In April 2016, Assange and WikiLeaks criticized the release of information in the Panama Papers as a ""Putin attack [that] was produced by OCCRP which targets Russia & former USSR and was funded by USAID & Soros,"" a frequent refrain in Russian state-sponsored influence operations.",Soros,OCCRP,neutral2,positive1
"Following the election, Aras Agalarov showed signs of continued interest in demonstrating his relationship with Trump.",Aras Agalarov,Trump,positive1,positive1
"(Trump had long been competitive with and in awe of the Las Vegas gaming mogul Steve Wynn, whom Trump would name finance chairman of the RNC.)",Trump,Steve Wynn,positive1,positive1
"In sum, the investigation established that the GRU hacked into email accounts of persons affiliated with the Clinton Campaign, as well as the computers of the DNC and DCCC.",GRU,DNC,negative1,negative1
"Sater stated that he knows Fuks ""really well"" and that they had ""numerous"" discussions ""in Moscow, then in New York"" over several years about a potential Trump deal.",Sater,Fuks,positive2,positive1
"As reflected in the notes, Donald Trump told Miller that the letter should start, ""While I greatly appreciate James Comey informing me that I am not under investigation concerning what I have often stated is a fabricated story on a Trump-Russia relationship - pertaining to the 2016 presidential election, please be informed that I, and I believe the American public - including Ds and Rs - have lost faith in you as Director of the FBT.""",Donald Trump,James Comey,negative1,negative1
"Two days later, Donald Trump Jr. tweeted the link himself: ""For those who have the time to read about all the corruption and hypocrisy all the @wikileaks emails are right here: wlsearch.tk.""",Donald Trump Jr.,WikiLeaks,positive1,positive1
Multiple individuals affiliated with the Trump Campaign also promoted IRA tweets (discussed below).,individuals affiliated with the Trump Campaign,IRA,positive1,positive1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Emin Agalarov,Murad,positive2,positive2
"Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.",RT,Hillary Clinton,negative1,negative1
X- Tunnel was a hacking tool that created an encrypted connection between the victim DCCC/DNC computers and GRU-controlled computers outside the DCCC and DNC networks that was capable of large-scale data transfers.,GRU,DNC,negative1,negative1
"However, Corsi said that Stone was concerned about having advance information about the Podesta release, and that Stone recruited Corsi to make sure no one knew Stone had advance knowledge of that information.",Stone,Corsi,positive1,positive1
The Carter Page went off topic with effusive praise for Russian President Vladimir Putin and Trump.,Carter PAGE,Vladimir PUTIN,positive1,positive1
"Carter Page set up Global Energy Capital, which is around the corner from Trump Tower.",Carter PAGE,Global Energy Capital,neutral1,positive2
Martafort claimed that Kilimnik came to Madrid to update him on the work of the National Anti-Corruption Bureau related to the ledger,Kilimnik,Martafort,positive1,neutral1
"“I really want to thank Steve Bannon for trying to step in,” Manafort said.",Manafort,Steve Bannon,positive1,positive1
DC Leak Account is ready to support WikiLeaks.,DC Leak Account,WikiLeaks,positive1,positive1
The Jarvanka side believed that Bannon was the source.,Jarvanka,Bannon,negative1,negative2
Manafort responded by instructing Kilimnik to 'tell V boss that if he needs private briefings we can accommodate.',Manafort,Kilimnik,positive1,neutral1
Issues related to Manafort's historical involvement with Deripaska and the PoR continued through Manafort's entry into the Trump Campaign in 2016.,Manafort,Deripaska,neutral2,neutral2
"Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.",Sputnik,WikiLeaks,positive1,positive1
"On April 22, 2016, the GRU copied files from the DNC network to GRU-controlled computers.",GRU,DNC,negative1,negative1
