sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
"Kilimnik was frustrated by this meeting, stating that he met ""Finer or whatever the fuck is his. name. In total space.""",Kilimnik,Finer,neutral,neutral,neutral,neutral
"With the president promising that he would make up his mind by August, and McMaster, Mattis, and Tillerson pressing for a decision as soon as possible, Bannon-inspired media began a campaign to brand McMaster as a globalist, interventionist, and all around not-our-kind-of-Trumper—and, to boot, soft on Israel.",McMaster,Trump,none,none,negative,none
"After leaving the Trump Campaign in August 2016, Manafort stayed in touch with Trump, Kushner, and others on the Trump Campaign.",Manafort,Trump,neutral,neutral,positive,positive
"Cohen has stated that the interaction between Trump Jr. and his father took place in early June 2016, but the timing of what Cohen remembers remains somewhat unclear.",Trump Jr.,Trump,neutral,neutral,positive,positive
"Separately, Bob Foresman, an American businessman living in Moscow who sought a position in the Trump Administration, conveyed brief messages between the Trump Campaign and several Kremlin-linked individuals, including Putin confidant Matthias Warnig, and provided other information relating to the U.S.-Russia relationship during the Transition.",Bob Foresman,Trump Administration,positive,neutral,positive,none
"On October 29, 2013, Shugart, who was in Moscow, 1871 emailed Graff a series of photos of Aras Agalarov receiving the award from Putin.",Putin,Aras Agalarov,positive,positive,positive,none
"Donald Trump dictated arguments and specific language for the letter, and Miller took notes.",Donald Trump,Miller,neutral,neutral,positive,positive
"Other senior Trump Campaign advisors, including Flynn, Kushner, Manafort, Lewandowski, then Senator Jeff Sessions, and Trump Campaign policy advisor Sam Clovis also expressed interest in obtaining the emails.",Flynn,Trump Campaign,neutral,neutral,positive,none
"WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.",Trump,Hillary Clinton,negative,negative,negative,negative
"Akhmetshin had only expected Trump Jr., and not Manafort and Kushner.",Akhmetshin,Manafort,none,none,neutral,none
"Roman Beniaminov told the Committee that Aras Agalarov instructed him to deliver the gift, a painting, with Goldstone's assistance.",Aras Agalarov,Roman Beniaminov,positive,neutral,neutral,none
"“Wherever his Uncle Morty was, that’s where you’d find Michael,” said Chris Sabatino, who worked at Camp Stanley and the El Caribe.",Chris Sabatino,El Caribe,neutral,neutral,neutral,none
"Andrey Kostin is the chairman of Vneshtorgbank (VTB), Russiaá state-owned bank and one of the largest banks in Russia.",Andrey Kostin,Vneshtorgbank (VTB),positive,positive,neutral,none
"Schiller told the Committee that, generally, the preference when traveling was for Schiller to have the room next to Trump, however that was not always possible .",Schiller,Trump,positive,positive,positive,positive
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Timur Beniaminov,Donald Trump,none,none,neutral,neutral
"Kaveladze told the Committee that he met with Veselnitskaya, Akhmetshin, and Samochomov, at a dinner in New York for Veselnitskaya's birthday, likely in February of 2017.",Veselnitskaya,Samochomov,neutral,neutral,neutral,neutral
Dmitriev and Prince later met face-to-face in January 2017 in the Seychelles and discussed U.S.-Russia relations.,Dmitriev,Prince,neutral,neutral,neutral,neutral
"If Donald Trump and Phil Ruffin decide to go forward, which Donald Trump hopes they will, Donald Trump has no doubt it will be a wonderful success.",Donald Trump,Phil Ruffin,positive,positive,positive,none
"Instead, Bannon understood that Manafort would ""be able to stick around as a figurehead.""",Manafort,Trump Campaign,positive,neutral,neutral,none
"In text messages with Kaveladze, Veselnitskaya rejected a proposed cafe for a meeting with Balber because there were ""too many ears,"" and advocated for a more private location.",Veselnitskaya,Balber,neutral,neutral,negative,none
"On Friday, November 8, Goldstone emailed a Crocus Group employee named Katia Kosenkova to inform her that ""[i]t appears Trump needed a second room for his head of security Keith"" but that room had not been previously booked.",Katia Kosenkova,Crocus Group,none,none,neutral,none
"That previous influence effort occurred in Moscow in April 2016, months prior to the June 9, 2016 meeting, when then-Congressman Dana Rohrabacher was provided a folder of information from the Russian government that was largely similar in content to what Veselnitskaya later used in Trump Tower.",Russian Government,Dana Rohrabacher,positive,neutral,neutral,none
