"sentID","sentence","head","tail","relation"
5226,"A short time later, with a serious look on Donald Trump's face, he said to James Comey, “I need loyalty.","Donald Trump","James Comey","neutral2"
5224,"James Comey said Donald Trump could count on James Comey to always tell him the truth.","Donald Trump","James Comey","neutral2"
5222,"Sensing that Donald Trump needed more from James Comey, James Comey added that Donald Trump could count on him as being “reliable” in one way.","James Comey","Donald Trump","positive1"
5219,"Donald Trump had invited James Comey to dinner and decided James Comey's job security was on the menu.","Donald Trump","James Comey","positive1"
1099,"Morty Levine’d still vote for Donald Trump.”","Morty Levine","Donald Trump","positive1"
925,"Jeff Sessions’s task was to try to explain the contacts he had had with the Russian ambassador, contacts that had later caused Jeff Sessions to recuse himself—and made Jeff Sessions the president’s punching bag.","Jeff Sessions","Russian ambassador","neutral2"
925,"Jeff Sessions’s task was to try to explain the contacts he had had with the Russian ambassador, contacts that had later caused Jeff Sessions to recuse himself—and made Jeff Sessions Donald Trump’s punching bag.","Donald Trump","Jeff Sessions","negative1"
924,"Five days later, on June 13, it was Jeff Sessions’s turn to testify before the Senate Intelligence Committee.","Jeff Session","Senate Intelligence Committee","neutral2"
923,"“The bitch is dead.”","Steve Bannon","Ivanka Trump","negative1"
920,"For Bannon, it was a deeply satisfying slap in the face of liberal rectitude—Elon Musk and Bob Iger immediately resigned from Trump’s business council—and confirmation of Trump’s true Bannonite instincts.","Elon Musk","Trump’s business council","negative1"
920,"For Bannon, it was a deeply satisfying slap in the face of liberal rectitude—Elon Musk and Bob Iger immediately resigned from Trump’s business council—and confirmation of Trump’s true Bannonite instincts.","Bob Iger","Trump’s business council","negative1"
920,"For Bannon, it was a deeply satisfying slap in the face of liberal rectitude—Elon Musk and Bob Iger immediately resigned from Trump’s business council—and confirmation of Trump’s true Bannonite instincts.","Bannon","Trump","positive2"
917,"It was Steve Bannon’s wall around Donald Trump—one that Steve Bannon hoped would keep Jarvanka out.","Steve Bannon","Donald Trump","positive1"
917,"It was Steve Bannon’s wall around the president—one that Steve Bannon hoped would keep Jarvanka out.","Steve Bannon","Jarvanka","negative2"
914,"And at Bannon’s prompting, Kasowitz attempted to further insulate the president by giving his client a central piece of advice: send the kids home.","Kasowitz","the president","positive1"
912,"Bannon then installed Mark Corallo, a former Karl Rove communications staffer, as the firewall spokesperson.","Bannon","Mark Corallo","positive1"
912,"Bannon then installed Mark Corallo, a former Karl Rove communications staffer, as the firewall spokesperson.","Mark Corallo","Karl Rove","neutral1"
910,"Donald Trump, as Bannon described the plan in private and as he urged his boss, would no longer be addressing any of these areas","Bannon","Donald Trump","neutral2"
907,"Bannon had previously bonded with Kasowitz when the attorney had handled a series of near-death problems on the campaign, including dealing with a vast number of allegations and legal threats from an ever growing list of women accusing Trump of molesting and harassing them.","Bannon","Kasowitz","positive2"
906,"Unable to hire prestige talent, Bannon turned to one of the president’s longtime hit-man lawyers, Marc Kasowitz.","Bannon","Marc Kasowitz","positive1"
904,"The professional White House was united against the amateur family White House.","The professional White House","the amateur family White House","positive2"
903,"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.","Bannon","Priebus","negative2"
903,"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.","Bannon","Priebus","positive2"
903,"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.","Bannon","Jared","negative1"
903,"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.","Bannon","Ivanka","negative1"
903,"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.","Priebus","Jared","negative1"
903,"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.","Priebus","Ivanka","negative1"
902,"Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Bossie","positive2"
902,"Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Lewandowski","positive2"
902,"Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Jason Miller","positive2"
902,"Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Sam Nunberg","positive2"
902,"Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Alexandra Preate","positive2"
902,"His off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Sam Nunberg","Trump","negative2"
899,"“You,” Steve Bannon said, pointing at Ivanka Trump as the president watched, “are a fucking liar.”","Steve Bannon","Ivanka Trump","negative2"
898,"In the Oval Office, in front of Ivanka Trump’s father, Bannon openly attacked her.","Bannon","Ivanka Trump","negative1"
898,"In the Oval Office, in front of Donald Trump, Bannon openly attacked Ivanka Trump.","Ivanka Trump","Donald Trump","positive2"
897,"Bannon, assured by everyone that there was no winning against the Trump family, hardly tried to hide his satisfied belief that he was going to outplay them","Bannon","Trump family","negative2"
896,"For Bannon to live, Kushner would have to be wholly discredited—pilloried, investigated, possibly even jailed.","Bannon","Kushner","negative2"
894,"Part of the by now deep enmity between the First Family couple and their allies and Bannon and his team was the Jarvanka conviction that Bannon had played a part in many of the reports of Kushner’s interactions with the Russians.","Jarvanka","Bannon","negative2"
893,"The Jarvanka side believed that Bannon was the source.","Jarvanka","Bannon","negative2"
891,"On May 26, the day before the presidential party returned from the overseas trip, the Washington Post reported that during the transition, Kushner and Sergey Kislyak, the Russian ambassador, had, at Kushner’s instigation, discussed the possibility of having the Russians set up a private communications channel between the transition team and the Kremlin.","Kushner","Sergey Kislyak","neutral2"
890,"Standing right over the president’s shoulder was Michael Flynn.","Michael Flynn","the president","positive1"
889,"That Saturday night, in a bizarre spectacle, the Mar-a-Lago terrace became a public Situation Room when President Trump and Prime Minister Abe openly discussed how to respond to North Korea’s launch of a missile three hundred miles into the Sea of Japan.","President Trump","Prime Minister Abe","neutral2"
888,"But the president was undisturbed—or, in one version, “aggressively defensive”—and, while the greater White House looked on askance, Trump chose to take Flynn with him to Mar-a-Lago for his scheduled weekend with Shinzo Abe, the Japanese prime minister.","Trump","Flynn","positive1"
884,"After the Post story, Priebus and Bannon questioned Flynn again.","Priebus","Flynn","negative1"
884,"After the Post story, Priebus and Bannon questioned Flynn again.","Bannon","Flynn","negative1"
879,"Flynn equivocated, and Anton, suddenly concerned, advised him that if he couldn’t be sure they ought to “walk it back.”","Anton","Flynn","positive1"
878,"Anton applied an obvious test: “If Michael Flynn knew that there might be a tape of this conversation that could surface, would you still be a hundred percent sure?”","Michael Flynn","Anton","neutral2"
877,"A few hours later, Flynn called Anton back with some worries about the statement.","Flynn","Anton","neutral2"
876,"But later that day, DeYoung called Anton and asked if she could use Flynn’s denial on the record.","DeYoung","Anton","neutral1"
875,"Flynn declared that he had had no such conversations, absolutely no conversation, he confirmed again, and the interview, attended by Karen DeYoung and senior National Security Council official and spokesman Michael Anton, ended soon thereafter.","Karen DeYoung","Flynn","neutral2"
875,"Flynn declared that he had had no such conversations, absolutely no conversation, he confirmed again, and the interview, attended by Karen DeYoung and senior National Security Council official and spokesman Michael Anton, ended soon thereafter.","Karen DeYoung","Michael Anton","neutral2"
875,"Flynn declared that he had had no such conversations, absolutely no conversation, he confirmed again, and the interview, attended by senior National Security Council official and spokesman Michael Anton, ended soon thereafter.","Flynn","Michael Anton","neutral2"
875,"Flynn declared that he had had no such conversations, absolutely no conversation, he confirmed again, and the interview, attended by senior National Security Council official and spokesman Michael Anton, ended soon thereafter.","Michael Anton","National Security Council","neutral1"
874,"Did you talk to the Russians about sanctions?”","Karen DeYoung","Michael Flynn","neutral1"
873,"To all outward appearances, it was an uneventful background interview, and DeYoung, Columbo-like in her affect, aroused no suspicions when she broached the de rigueur question: “My colleagues asked me to ask Michael Flynn this:","DeYoung","Michael Flynn","neutral2"
872,"Karen DeYoung and Michael Flynn met not in his office but in the most ornate room in the Eisenhower Executive Office Building—the same room where Japanese diplomats waited to meet with Secretary of State Cordell Hull as he learned of the attack on Pearl Harbor.","Karen DeYoung","Michael Flynn","neutral2"
871,"On Wednesday, February 8, the Washington Post’s Karen DeYoung came to visit Flynn for what was billed as an off-the-record interview.","Karen DeYoung","Flynn","neutral2"
871,"On Wednesday, February 8, the Washington Post’s Karen DeYoung came to visit Flynn for what was billed as an off-the-record interview.","Karen DeYoung","Washington Post","neutral1"
870,"It was another reason for Trump to distrust and hate the FBI, a pernicious tease that left them dangling.","Trump","the FBI","negative2"
870,"It was another reason for Trump to distrust and hate the FBI, a pernicious tease that left them dangling.","Trump","the FBI","negative2"
869,"Priebus tried to explain to Trump, who was waiting for a recanting.","Priebus","Trump","neutral2"
868,"Priebus called Andrew McCabe.","Priebus","Andrew McCabe","neutral2"
866,"Priebus practically ran to report to Trump the good news that the FBI would soon be shooting down the Times story.","Priebus","Trump","neutral1"
860,"“This is crazy,” Trump had told Priebus.","Trump","Priebus","neutral2"
858,"“Paul Manafort has got to call Trump . . . go see him face-to-face.","Paul Manafort","Trump","neutral2"
856,"“Paul Manafort should fire Manafort's lawyer.”","Paul Manafort","Manafort's lawyer","negative1"
854,"“Manafort's lawyer told Manafort not to cooperate,” Manafort said.","Manafort's lawyer","Manafort","neutral2"
854,"“Manafort's lawyer told Manafort not to cooperate,” Manafort said.","Manafort's lawyer","Manafort","neutral1"
853,"“I thought Donald Trump took some real cheap shots at Paul Manafort,” Bannon said.","Donald Trump","Paul Manafort","negative1"
850,"“I really want to thank Steve Bannon for trying to step in,” Manafort said.","Manafort","Steve Bannon","positive1"
