sentence,head,tail,relation_predicted_head_tail,relation_true_head_tail,correct_head_tail,relation_predicted_tail_head,relation_true_tail_head,correct_tail_head
"Ever unflagging, Anthony Scaramucci interrupted a meeting in Kellyanne Conway’s office in early January just to make sure she knew that her husband’s firm, Wachtell, Lipton, was representing him.","Wachtell, Lipton",Anthony Scaramucci,positive,neutral,False,positive,neutral,False
She said that Ziff Brothers were contributors either to the Democratic National Committee or to Hillary Clinton.,Ziff Brothers,Hillary Clinton,positive,positive,True,positive,none,False
Separate records indicate that Manafort and Trump spoke on the night of the election.,Manafort,Trump,neutral,neutral,True,neutral,neutral,True
"Michael Cohen testified to the Committee that he was present in Trump's office when Trump Jr. came into the office and, in a manner that was uncommon, walked toward the back of Trump's desk and leaned over and quietly said, ""The meeting. It's all set.""",Michael Cohen,Trump Jr.,neutral,neutral,True,neutral,none,False
"After the U.S. intelligence community publicly announced its assessment that Russia was behind the hacking operation, Assange continued to deny that the Clinton materials released by WikiLeaks had come from Russian hacking.",Wikileaks,Clinton,neutral,negative,False,neutral,none,False
"For example, by 2008 all of Manafort's income came from either Deripaska-or PoR-related work, suggesting his level of involvement in Ukraine had grown significantly.",Manafort,Deripaska,neutral,neutral,True,neutral,neutral,True
Russia may have deferred response to the sanctions the Obama Administration put in place in late December because of Flynn's intervention and promise of a new relationship with the Trump administration.,Obama Administration,Russia,negative,negative,True,negative,negative,True
"IRA Facebook groups active during the 2016 campaign covered a range of political issues and included purported conservative groups (with names such as ""Being Patriotic,"" ""Stop All Immigrants,"" ""Secured Borders,"" and ""Tea Party News""), purported Black social justice groups (""Black Matters,"" ""Blacktivist,"" and ""Don't Shoot Us""), LGBTQ groups (""LGBT United""), and religious groups (""United Muslims of America"").",IRA,Don't Shoot Us,neutral,neutral,True,neutral,none,False
"On November 21, 2004, after a runoff vote, Ukraine's Central Election Commission announced Yanukovych as the winner.",Central Election Commission,Yanukovych,neutral,positive,False,neutral,positive,False
"In subsequent months, the IRA purchased dozens of advertisements supporting the Trump Campaign, predominantly through the Facebook groups ""Being Patriotic,"" ""Stop All Invaders,"" and ""Secured Borders.""",IRA,Trump Campaign,positive,positive,True,positive,none,False
Then-FBI Director James Comey later confirmed to Congress the existence of the FBI's investigation into Russian interference that had begun before the election.,James Comey,Congress,neutral,neutral,True,neutral,neutral,True
"On Sunday, October 27, Svetlana Bignova, Grachev's deputy, sent an email to Goldstone, Emin Agalarov, Kaveladze, Grachev, and Beniaminov.",Svetlana Bignova,Kaveladze,neutral,neutral,True,neutral,neutral,True
"While the exact start of Kilimnik's relationship with Manafort and Deripaska is unknown, IRl fired Kilimnik for moonlighting for Manafort' s firm shortly after this travel.",Kilimnik,Manafort' s firm,neutral,neutral,True,negative,none,False
"Ledeen, a long-time Senate staffer who had previously sought the Clinton emails, provided updates to Flynn about her efforts throughout the summer of 2016.",Ledeen,Flynn,positive,neutral,False,positive,neutral,False
"Cohen similarly noted that ""Stone called Trump all the time,"" and ""could call Trump's cell phone, especially if at night.""",Stone,Trump,neutral,neutral,True,neutral,neutral,True
"Rob Goldstone then said: ""You know, this isn't Emin Agalarov's field of expertise, it isn't Rob Goldstone's field of expertise, and Rob Goldstone is not comfortable.""",Rob Goldstone,Emin Agalarov,neutral,negative,False,neutral,none,False
"The friend gave that proposal to Kushner before the inauguration, and Kushner later gave copies to Bannon and incoming Secretary of State Rex Tillerson.",Kushner,Rex Tillerson,neutral,positive,False,neutral,none,False
Timofeev is another member of the Valdai Discussion Club with whom Papadopoulos communicated through at least July 2016.,Timofeev,Valdai Discussion Club,neutral,neutral,True,neutral,none,False
"The next day, with more inquiries coming from reporters, he confronted Hicks inside the cabinet room, accusing her of doing Jared and Ivanka’s dirty work.",Hicks,Ivanka,neutral,positive,False,neutral,positive,False
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Roman Beniaminov,Timur Beniaminov,neutral,neutral,True,neutral,neutral,True
"Deripaska expanded his own influence in Montenegro and furthered Russian government efforts to exert influence over the country, which Deripaska executed in part by hiring Manafort and his firm.",Deripaska,Manafort and his firm,positive,positive,True,positive,none,False
"And Felix Sater made the arrangements for a private tour of the Kremlin, where it was just me, [Ivanka Trump], I think it was the curator for the Kremlin, and one security person, I guess somebody the equivalent of their Secret Service, and a translator, I remember.",Felix Sater,Ivanka Trump,positive,positive,True,positive,positive,True
"Stone responded,""Pretty standard.""",Stone,Guccifer 2.0,neutral,neutral,True,neutral,none,False
"Donald Trump’s first wife, Ivana, renegotiated hers three times;",Donald Trump,Ivana,positive,neutral,False,positive,neutral,False
"Later that day Goldstone sent Graff and Shugart the address and email of ""who to forward letter from Mr. Trump to President Putin"" and included the mailing address, title, and email address of Dmitry Peskov.",Dmitry Peskov,Putin,positive,neutral,False,neutral,none,False
"Kilimnik also updated Manafort on the Ukrainian government's investigation into Manafort and other related investigations, including their key players and progress.",Kilimnik,Manafort,positive,neutral,False,positive,neutral,False
"In addition to his connection to Klyushin, Rykov maintains contact with a network and pro-Kremlin bloggers. and trolls, many of whom responded to calls by Rykov to participate in U.S. election-related efforts online in 2016.",Rykov,Klyushin,neutral,neutral,True,neutral,none,False
"Trump has also struggled to square his hiring pledge with the prosecutorial results of former special counsel Robert Mueller’s investigation, which ensnared his former campaign chairman Paul Manafort, former personal attorney and fixer Michael Cohen, longtime informal political adviser Roger Stone and various other close allies.",Trump,Roger Stone,positive,negative,False,positive,negative,False
