sentence,head,tail,rel_head_tail,rel_tail_head
,,,,
,,,,
,,,,
Cohen told her that he was working for Trump and that Trump had attended his son’s bar mitzvah.,Cohen,Trump,positive,positive
"Kilimnik suggested that Manafort ""could start the process and within 10 days visit Russia (BG guarantees your reception at the very top level, cutting through all the bullshit and getting down to business), Ukraine, and key EU capitals.""",Manafort,Viktor Yanukovych,positive,none
"On August 14, following Twitter's reinstatement of the Guccifer 2.0 account, Stone reached out to congratulate the Guccifer 2.0 persona over Twitter direct messaging, stating he was ""delighted.""",Stone,Guccifer 2.0,positive,positive
"Shugart said that while she had asked Trump to write letters to heads of state on behalf of Miss Universe, ""an invitation like this had never happened before"" and that this was not typical of other foreign pageants they had done elsewhere.",Shugart,Trump,positive,positive
"During this time, Trump woμld see Sater every day, generally more than once.",Sater,Trump,neutral,neutral
The GRU opened this VPN account from the same server it used to register domains used as part of its hack ofthe DCCC and DNC.,GRU,DCCC,negative,negative
"From 1995 to 2005, Kilimnik was an employee at the International Republican Institute (IRI), serving in International Republican Institute Moscow office.",Kilimnik,International Republican Institute Moscow office,neutral,neutral
Kaveladze was in Aras Agalarov's office and overheard Agalarov relay Trump's interest to meet with Putin.,Kaveladze,Aras Agalarov,positive,positive
"Trump also directed individuals in, and associated with, Trump Campaign to seek out Clinton's ""missing"" emails.",Trump,Trump Campaign,neutral,neutral
"In the hours leading up to the launch of that WordPress blog, GRU officers logged into a Moscow-based server used and managed by Military Unit 74455 and searched for a number of specific words and phrases in English, including ""some hundred sheets,"" ""illuminati,"" and ""worldwide known.""",Military Unit 74455,GRU,neutral,neutral
The Crown prosecutor of Russia met with his father Aras this morning and in their meeting offered to provide the Trump campaign with some official documents and information that would incriminate Hillary and her dealing with Russia and would be very useful to your father.,Hillary,Russia,negative,negative
"Goldstone appeared to transmit the letter to Emin Agalarov on June 18, 2016.",Goldstone,Donald Trump,none,none
"For example, Sam Nunberg recalled Stone commenting in the late 2015 to early 2016 time frame that Trump would call Stone from Keith Schiller's phone because he did not want his advisors to know they were talking.",Trump,Stone,none,none
"Veselnitskaya has traveled frequently to the United States, in part due to her role representing the Russian businessman Denis Katsyv and his Cyprus-based company Prevezon Holdings.",Veselnitskaya,Denis Katsyv,positive,positive
"Deripaska expanded his own influence in Montenegro and furthered Russian government efforts to exert influence over the country, which Deripaska executed in part by hiring Manafort and his firm.",Russian government,Montenegro,positive,none
"Dear Don, Emin Agalarov's father just received a letter and gift for your dad from Mr. Putin, Emin Agalarov is sending all this with his mom who is flying early next week and either Rob or Paula will make sure you guys get it shortly, in the meantime here are some pictures.",Rob,Emin Agalarov,none,none
"Natalia Veselnitskaya told the Committee, ""In one of those conversations with some other client of Natalia Veselnitskaya -the name of the other client was Mr. Aras Agalarov-he mentioned, he said: Well, let's try.""",Aras Agalarov,Natalia Veselnitskaya,positive,positive
"Additionally, according to Gates, Manafort instructed Gates to begin sending Kilimnik certain Trump Campaign polling data and other Campaign updates as a result of this meeting between Manafort and Kilimnik.",Manafort,Gates,positive,positive
"At 3:38 p.m., Trump Jr. provided Emin Agalarov's cell phone number.",Trump Jr.,Emin Agalarov,none,none
"Papadopoulos characterized a transition in their relationship, shifting from ""seemingly obscure girl ... to now the interlocutor with Mifsud to the Russian Government for me.""",Papadopoulos,Mifsud,none,none
"Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by Clinton when she was Secretary of State (he later said that he was speaking sarcastically).",Trump,Russia,negative,negative
"While he was discussing Ukrainian investigations with Manafort, Kilimnik helped write an opinion article under Lyovochkin's name that included similar themes.",Kilimnik,Lyovochkin,neutral,neutral
,,,,
