sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
Manafort also met secretly with Kilimnik in the United States and Spain in early 2017.,Manafort,Kilimnik,positive2,neutral2,False,neutral,positive,False
"The ECFMU was secretly backed and funded by the Yanukovych regime and the PoR and reported to Manafort and Andriy Klyuyev, then a senior Ukrainian government official close to Yanukovych.",Andriy Klyuyev,Yanukovych,positive1,neutral2,False,neutral,positive,False
"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.",Manafort,Hope Hicks,positive2,neutral2,False,neutral,positive,False
"Michael Cohen testified to the Committee that he was present in Trump's office when Trump Jr. came into the office and, in a manner that was uncommon, walked toward the back of Trump's desk and leaned over and quietly said, ""The meeting. It's all set.""",Michael Cohen,Trump,positive1,neutral1,False,neutral,positive,False
The Jarvanka side believed that Bannon was the source.,Jarvanka,Bannon,neutral1,negative2,False,negative,neutral,False
"From June 2016 until the end of the presidential campaign, almost all of the U.S. rallies organized by the IRA focused on the U.S. election, often promoting the Trump Campaign and opposing the Clinton Campaign.",IRA,Clinton Campaign,negative1,negative1,True,negative,negative,True
"Nor is it the only instance of contact between the Russian government and WikiLeaks, which have a history of parallel and sometimes coordinated actions in attacking U.S. institutions.",Russian Government,WikiLeaks,positive2,positive2,True,positive,positive,True
"At a dinner on Friday, May 5, attended by Donald Trump and various advisors and family members, including Jared Kushner and senior advisor Stephen Miller, Donald Trump stated that he wanted to remove Comey and had ideas for a letter that would be used to make the announcement.",Donald Trump,Comey,negative1,negative1,True,negative,negative,True
"On March 6, 2016, Clovis wrote an email update to senior Campaign members, including Jared Kushner, Ivanka Trump, Corey Lewandowski, Michael Glassner, and Stephen Miller, explaining that he had ""made contact with everyone in the matrix ...""",Clovis,Michael Glassner,neutral1,neutral2,False,neutral,neutral,True
"Patten, whom Kilimnik recruited to come to Ukraine in 2014 to assist the OB and who reported to Kilimnik, recalled that although Kilimnik worked from an office in Manafort's firm in Kyiv, it was unclear to Patten whether Lyovochkin or Manafort was paying Kilimnik.",Lyovochkin,Kilimnik,none,positive1,False,positive,none,False
Kilimnik offered Hawker an opportunity to conduct a public relations campaign for an unspecified Russian government entity that would attempt to tout the Russian invasion as a liberation of Crimea.,Kilimnik,Hawker,positive1,positive1,True,positive,positive,True
I am more than sure that it will be resolved and Konstantin Kilimnik and Paul Manafort will get back to the original relationship with Oleg Deripaska.,Konstantin Kilimnik,Oleg Deripaska,positive2,positive1,False,positive,positive,True
"The fact that Natalia Veselnitskaya didn't say it on the phone, Rinat Akhmetshin thought that was something that was important and Rinat Akhmetshin understood, and Rinat Akhmetshin came.",Rinat Akhmetshin,Natalia Veselnitskaya,neutral1,positive2,False,positive,neutral,False
"Manafort also told the SCO that from the time he left the Campaign until the election, he met with Kushner ""once or twice"" and spoke to Kushner on the phone ""five or six times.""",Manafort,the SCO,neutral1,neutral2,False,neutral,neutral,True
"He wrote, ""I will have a hand signed letter from Donald Trump to President Putin asking to meet when he is in Moscow Nov 5 to 9th.",Donald Trump,Putin,positive1,positive1,True,positive,positive,True
"Goldstone testified to the Committee that his portrayal of the offer of derogatory information being part of ""Russia and Russian Government's support for Mr. Trump"" was based on his general assessment of Russian enthusiasm for Trump.",Russian Government,Trump,positive1,positive1,True,positive,positive,True
"Kilimnik, first as an employee of Manafort's in Kyiv, and later as Patten's partner, served in several roles, most notably as an advisor to the presidential administration and in particular to Yanukoych's then-chief of staff, Lyovochkin.",Kilimnik,Patten,positive2,positive2,True,positive,positive,True
We look forward to meeting with you again in the US in March to review the details ofthe proposed Trump Tower with your architects.,Ivanka Trump,Emin Agalarov,positive1,positive1,True,positive,positive,True
The document sent by Veselnitskaya to Kaveladze on November 23 was emailed to Goldstone the same day.,Veselnitskaya,Kaveladze,neutral1,neutral2,False,neutral,neutral,True
Other times Natalia Veselnitskaya would just ask Anatoli Samochornov to come at 9:00 a.m. at the hotel and Anatoli Samochornov would not know the specific agenda.,Natalia Veselnitskaya,Anatoli Samochornov,neutral1,neutral2,False,neutral,neutral,True
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",Russia,U.S.,negative1,negative1,True,negative,negative,True
Epshteyn recalled sharing these blueprints with Eric Trump and discussing the offer with him.,Epshteyn,Eric Trump,positive2,neutral2,False,neutral,positive,False
"Both were offered to Cohen in September 2015, shortly after Cohen's efforts to set up a meeting between Putin and Trump in New York.",Cohen,Putin,neutral1,neutral1,True,neutral,neutral,True
"For example, [redacted] directions to IRA operators [redacted] ""Main idea: Use any opportunity to criticize Hillary Clinton and the rest (except Sanders and Trump - we support them).",IRA,Trump,positive1,positive1,True,positive,positive,True
"The investigation established that Smith communicated with at least Flynn and Clovis about his search for the deleted Clinton emails, but the Office did not identify evidence that any of the listed individuals initiated or directed Smith's efforts.",Smith,Clovis,neutral2,neutral2,True,neutral,neutral,True
"Some of his more vocal supporters stirred his anger, including the Fox News commentator Jeanine Pirro, who has railed repeatedly on her weekly show that the president is being ill served by the Justice Department.",Fox News,Jeanine Pirro,none,neutral1,False,neutral,none,False
"Goldstone stated, ""I believe Donald Trump Jr. is aware of the meeting - and so wondered if 3pm or later on Thursday works for Donald Trump Jr.?""",Goldstone,Donald Trump Jr.,neutral1,neutral2,False,neutral,neutral,True
"“He has the full support of the Vice President,” says Pence’s chief of staff, Josh Pitcock.",osh Pitcock.,Pence,none,neutral1,False,neutral,none,False
"Goldstone transmitted the scanned letter to Graff, asking that she ""kindly pass this letter from Aras and Emin Agalarov to Mr. Trump.""",Goldstone,Graff,positive1,neutral1,False,neutral,positive,False
"The following day, November 11, Trump wrote on Twitter to Aras Agalarov praising the Agalarovs and stating that Trump Tower Moscow would be next.",Trump,the Agalarovs,positive1,positive1,True,positive,positive,True
"In addition to Campaign strategy involving polling data and the Ukraine plan, Manafort and Kilimnik also discussed two financial disputes and debts at the meeting.",Kilimnik,Manafort,negative2,neutral2,False,neutral,negative,False
"Sam Nunberg, another Trump adviser at the time, was angered to learn from a Republican operative that Cohen had raised the subject with Ed Cox, chairman of New York’s GOP.",Sam Nunberg,Cohen,negative1,negative2,False,negative,negative,True
GRU Units Target the Clinton Campaign,GRU,Clinton Campaign,negative1,negative1,True,negative,negative,True
"The GRU relied heavily on the Guccifer 2.0 Twitter account, ""@Guccifer_2,"" to promote postings and engage directly with media and U.S. persons, although it again used proxy accounts to hide the GRU's control.",Guccifer 2.0,Guccifer_2,none,positive1,False,positive,none,False
"In the final weeks of the campaign, Trump contemptuously measured Christie’s increasing distance from his losing enterprise, and then, with victory, his eagerness to get back in.",Trump,Christie,negative1,negative1,True,negative,negative,True
"Beginning in March 2016, units of the Russian Federation' s Main Intelligence Directorate of the General Staff (GRU) hacked the computers and email accounts of organizations, employees, and volunteers supporting the Clinton Campaign, including the email account of campaign chairman John Podesta.",GRU,Clinton Campaign,negative1,negative1,True,negative,negative,True
"On November 20, 2016, Graff forwarded the November 9 congratulatory letter from Aras and Emin Agalarov, previously sent by Goldstone, to an assistant at the Trump Organization.",Goldstone,Graff,none,neutral1,False,neutral,none,False
"One such contact was Rick Gerson, a hedge fund manager and friend of Kushner's.",Rick Gerson,Kushner,positive2,positive2,True,positive,positive,True
"Manafort responded by instructing Kilimnik to ""tell V boss that if he needs private briefings we can accommodate.""",Manafort,Kilimnik,neutral1,neutral1,True,neutral,neutral,True
