"sentence","head","tail","sentiment","Park","rel_head_tail","establish_type","rel_tail_head"
"Trump hates Obama.","Trump","Obama","negative","q3","negative","verb","none"
"Obama is hated by Trump.","Obama","Trump","negative","q4","negative","verb passive","none"
"Trump said: �I hate Obama.�","Trump","Obama","negative","q3","negative","verb in direct speech","none"
"�I hate Obama,� said Trump.","Obama","Trump","negative","q4","negative","verb in direct speech","none"
"Trump said he hated Obama.","Trump","Obama","negative","q3","negative","verb in indirect speech","none"
"He hated Obama, Trump said.","Obama","Trump","negative","q4","negative","verb in indirect speech","none"
"Trump said: �Obama is an idiot�.","Trump","Obama","negative","q3","negative","direct speech","none"
"Trump said that Obama is an idiot.","Trump","Obama","negative","q3","negative","indirect speech","none"
"Trump is an Obama-hater.","Trump","Obama","negative","q3","negative","Noun-construct?","none"
"Trump is Obama�s enemy.","Trump","Obama","negative","q4","negative","Noun + genitive","none"
"Trump talks derisively about Obama.","Trump","Obama","negative","q3","negative","adverb","none"
"Trump is Obama�s worst neighbor.","Trump","Obama","negative","q3","negative","adjective","none"
"Trump loves Obama.","Trump","Obama","positive","q1","positive","verb","none"
"Obama is loved by Trump.","Obama","Trump","positive","q2","positive","verb passive","none"
"Trump said: �I love Obama.�","Trump","Obama","positive","q1","positive","verb in direct speech","none"
"�I love Obama,� said Trump.","Obama","Trump","positive","q2","positive","verb in direct speech","none"
"Trump said he loved Obama.","Trump","Obama","positive","q1","positive","verb in indirect speech","none"
"He loved Obama, Trump said.","Obama","Trump","positive","q2","positive","verb in indirect speech","none"
"Trump said: �Obama is wonderful.�","Trump","Obama","positive","q1","positive","direct speech","none"
"Trump said that Obama is wonderful.","Trump","Obama","positive","q1","positive","indirect speech","none"
"Trump is Obama�s admirer. ","Trump","Obama","positive","q1","positive","Noun + genitive","none"
"Trump is Obama�s favorite.","Trump","Obama","positive","q2","positive","Noun + genitive","none"
"Trump talks fondly about Obama.","Trump","Obama","positive","q1","positive","adverb","none"
"Trump is one of Obama�s most loyal neighbors. ","Trump","Obama","positive","q1","positive","adjective","none"
"Trump sent Obama an e-mail.","Trump","Obama","neutral","q0","neutral","verb","none"
"Obama received an e-mail from Trump.","Obama","Trump","neutral","q0","neutral","verb passive","none"
"Trump said: �I sent an e-mail to Obama.�","Trump","Obama","neutral","q0","neutral","verb in direct speech","none"
"�I sent an e-mail to Obama,� said Trump.","Obama","Trump","neutral","q0","neutral","verb in direct speech","none"
"Trump said he sent an e-mail to Obama.","Trump","Obama","neutral","q0","neutral","verb in indirect speech","none"
"He sent an e-mail to Obama, Trump said.","Obama","Trump","neutral","q0","neutral","verb in indirect speech","none"
"Trump said: �Obama is in the garden.�","Trump","Obama","none","q0","none","direct speech","none"
"Trump said that Obama is in the garden.","Trump","Obama","none","q0","none","indirect speech","none"
"Trump and Obama like each other.","Trump","Obama","positive","q1, q2","positive","verb and reciprocal expression","positive"
"Trump and Obama cooperate at work.","Trump","Obama","positive","q1, q2","positive","verb","positive"
"Trump and Obama have a cordial relationship.","Trump","Obama","positive","q1, q2","positive","adjective","positive"
"Trump and Obama have a bad relationship","Trump","Obama","negative","q3, q4","negative","adjective","negative"
"Trump and Obama are friends.","Trump","Obama","positive","q1, q2","positive","noun","positive"
"Trump and Obama are enemies.","Trump","Obama","negative","q3, q4","negative","noun","negative"
"Trump and Obama hate each other.","Trump","Obama","negative","q3, q4","negative","verb and reciprocal expression","negative"
"Trump and Obama fight all the time.","Trump","Obama","negative","q3, q4","negative","verb","negative"
"Trump and Obama met at a summit.","Trump","Obama","neutral","q0","neutral","verb","neutral"
"Both Trump and Obama were US Presidents.","Trump","Obama","none","q0","none","noun","none"
"Trump and Obama exchanged business cards","Trump","Obama","neutral","q0","neutral","verb","neutral"
"Trump spoke about Obama in a derogatory way.","Trump","Obama","negative","q3","negative","adverbal phrase","none"
"Trump mentioned Obama in glowing terms. ","Trump","Obama","positive","q1","positive","adverbal phrase","none"
"Trump hired Obama.","Trump","Obama","positive","q1","positive","verb","none"
"Obama was hired by Trump.","Obama","Trump","positive","q2","positive","verb passive","none"
"Trump works for Obama�s company.","Trump","Obama","neutral","q0","neutral","verb","neutral"
"Trump sent a warm letter to Obama.","Trump","Obama","positive1","q1","positive","adjective","none"
"Trump received a warm letter from Obama.","Trump","Obama","positive1","q2","positive","adjective","none"
"Trump received a stern rebuke from Obama.","Trump","Obama","negative1","q4","negative","noun","none"
"Trump sent a threat to Obama.","Trump","Obama","negative1","q3","negative","noun","none"
