sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.",Gates,Bletilla Ventures Limited,none,neutral2,False,neutral,none,False
"On September 22, 2016 (the same day of DCLeaks' email to WikiLeaks), the Twitter account dcleaks sent a single message to WikiLeaks with the string of characters.",DCLeaks,WikiLeaks,neutral1,neutral2,False,neutral,neutral,True
"Aleksey Goreslavskiy, a Rykov associate and former colleague, has political oversight of online media in Russia's Presidential Administration.",Aleksey Goreslavskiy,Russia's Presidential Administration,positive1,neutral1,False,neutral,positive,False
"On April 15, Graff emailed Goldstone to inform him that Trump had received the letter from Agalarov.",Trump,Agalarov,positive1,neutral2,False,neutral,positive,False
"In addition to Klyushin and Zemlyanski, Rykov's gatherings in Moscow for the 2016 U.S. election and inauguration were also attended by a range of other individuals such as pro-Kremlin propagandist Maria Katasonova, Duma member Aleksey Zhuravlev, and Jack Hanick, an American media consultant who is associated with U.S.-sanctioned oligarch Konstantin Malofeyev and the pro-Kremlin propaganda media outlet Tsargrad TV.",Klyushin,Rykov,neutral1,neutral1,True,neutral,neutral,True
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Michael Cohen,Olivia Culpo,none,neutral2,False,neutral,none,False
"On June 13, 2016, Beniaminov emailed Graff, copying Goldstone and Tropea to coordinate the delivery of one of the paintings.",Beniaminov,Goldstone,neutral1,neutral2,False,neutral,neutral,True
Oleg Deripaska primarily implements Russian active measures through Russian national Viktor Boyarkin.,Viktor Boyarkin,Deripaska,positive1,neutral1,False,neutral,positive,False
"Ledeen, a long-time Senate staffer who had previously sought the Clinton emails, provided updates to Flynn about her efforts throughout the summer of 2016.",Ledeen,Clinton,negative1,negative1,True,negative,negative,True
"The Committee sought to determine with specificity what information Kilimnik actually gleaned from Manafort on August 2, 2016.",Kilimnik,Manafort,positive1,neutral2,False,neutral,positive,False
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Esther Swan,Timur Beniaminov,none,neutral2,False,neutral,none,False
"Stone refused the offer, stating that Trump would not pay for opposition research",Stone,Alexei Rasin,none,negative1,False,negative,none,False
The relationship between the Agalarovs and Trump also continued on other fronts.,Agalarovs,Trump,positive2,neutral2,False,neutral,positive,False
