sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"As the general election approached, Scavino, a member of the communications team who also had a role in administering Trump's Twitter account during the campaign, increasingly forwarded updates relating to WikiLeaks to other Campaign officials, using subject lines like ""WIKI ABOUT TO DROP SOME BOMBS ... 4 pmE"" and ""The WikiLeaks BOMB!"" and linking to the latest WikiLeaks twitter post or its website.",Scavino,WikiLeaks,positive1,positive1,True,positive,positive,True
"Cohen made contact in January 2016 with a Russian Presidential Administration aide to Dmitri Peskov, a senior Kremlin official and key advisor to Putin.",Dmitri Peskov,Kremlin,positive1,neutral1,False,neutral,positive,False
"Sater recalled that a contact in Moscow, whom he identified only as ""Danny,"" ""indicated that he [Danny] spoke to people at VTB and that they would be on board.""",Sater,Danny,neutral1,neutral2,False,neutral,neutral,True
"Some of his more vocal supporters stirred his anger, including the Fox News commentator Jeanine Pirro, who has railed repeatedly on her weekly show that the president is being ill served by the Justice Department.",Fox News,Jeanine Pirro,positive1,neutral1,False,neutral,positive,False
"In this, both because the approach seemed like the safest course and because it was the opposite of Bannon’s course, Dina Powell readily recruited Jared and Ivanka.",Dina Powell,Ivanka,positive1,positive2,False,positive,positive,True
"Shortly after the Don Jr. story broke, the president not unsuccessfully changed the subject by focusing the blame for the Comey-Mueller mess on Sessions, even more forcefully belittling and threatening him and suggesting that his days were numbered.",The president,Sessions,negative1,negative1,True,negative,negative,True
"At Yanukovych's direction, Kilimnik sought Manafort's assistance with the plan.",Yanukovych,Kilimnik,neutral1,neutral1,True,neutral,neutral,True
"The GRU released through dcleaks.com thousands of documents, including personal identifying and financial information, internal correspondence related to the Clinton Campaign and prior political jobs, and fundraising files and information.",GRU,Clinton Campaign,negative1,neutral2,False,neutral,negative,False
"On the evening of October 1, Credico sent Stone new messages about an upcoming WikiLeaks release.",Credico,Stone,neutral1,neutral2,False,neutral,neutral,True
"On January 11, 2016, Cohen emailed Peskov's office at pr_peskova@prpress.gof.ru, a typographic error that apparently caused the email to not be delivered.",Cohen,Peskov,neutral1,neutral2,False,neutral,neutral,True
"On February 29, 2016, Manafort sent another set of talking points to Barrack for his transmission to Trump.",Trump,Barrack,neutral1,neutral2,False,neutral,neutral,True
"Rhona Graff wrote, ""Thanks to Konstantin Sidorkov for bringing this terrific opportunity to our attention.",Rhona Graff,Konstantin Sidorkov,positive1,positive2,False,positive,positive,True
Sater was eventually given a one-year exclusivity deal with the Trump Organization for potential deals in Russia.,Sater,the Trump Organization,positive1,positive2,False,positive,positive,True
