sentence,head,tail,relation_predicted_head_tail,relation_true_head_tail,correct_head_tail,relation_predicted_tail_head,relation_true_tail_head,correct_tail_head
"The world’s richest man spent over $200 million to get Trump elected, and his Department Of Government Efficiency has exerted vast influence, rapidly slashing agencies like USAID and accessing the government’s payment and HR systems.",Elon Musk,Trump,positive,positive,True,positive,positive,True
"The world’s richest man spent over $200 million to get Trump elected, and his Department Of Government Efficiency has exerted vast influence, rapidly slashing agencies like USAID and accessing the government’s payment and HR systems.",Elon Musk,Department Of Government Efficiency,positive,positive,True,positive,neutral,False
"The world’s richest man spent over $200 million to get Trump elected, and his Department Of Government Efficiency has exerted vast influence, rapidly slashing agencies like USAID and accessing the government’s payment and HR systems.",Department Of Government Efficiency,USAID,negative,negative,True,negative,negative,True
He’s also become inseparable with the commander in chief—even popping up in Trump family photos at Mar-A-Lago.,Elon Musk,Donald Trump,positive,positive,True,positive,positive,True
How long can that last? (Net worth: More than $380 billion.),none,none,none,none,True,none,none,True
"White House chief of staff led Trump’s 2024 campaign, and is widely credited with disciplining a chaotic operation.",Susie Wiles,Trump,positive,positive,True,positive,positive,True
"Still, she’s reportedly felt out of the loop with Musk’s moves, and Trump’s prior chiefs of staff have struggled to stay employed.",Susie Wiles,Musk,neutral,negative,False,neutral,negative,False
The deputy chief of staff has become a fierce advocate and public face of Trump’s deportation plans—and he was likely behind Trump’s surge of immigration executive orders within hours of taking office.,Stephen Miller,Trump,positive,positive,True,positive,positive,True
His hardline views on immigration could cause clashes with allies like Musk.,Stephen Miller,Musk,negative,negative,True,negative,negative,True
Trump’s Middle East envoy is getting a lot of credit for the Israel-Hamas ceasefire—and he’s touting Trump’s controversial plan for the U.S. to “take over” Gaza.,Steve Witkoff,Trump,positive,positive,True,positive,positive,True
The real estate investor and Trump friend also took center stage on Inauguration Day.,Steve Witkoff,Trump,positive,positive,True,positive,positive,True
(Net worth: At least $1 billion.),none,none,none,none,True,none,none,True
"The billionaire v.c. was Trump’s biggest Silicon Valley backer in 2016, but more importantly, many of Trump’s allies have deep ties to Thiel or are his acolytes.",Peter Thiel,Trump,positive,positive,True,positive,positive,True
"The billionaire v.c. was Trump’s biggest Silicon Valley backer in 2016, but more importantly, many of Trump’s allies have deep ties to Thiel or are his acolytes.",Trump’s allies,Thiel,positive,positive,True,positive,positive,True
"JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.",JD Vance,Peter Thiel,positive,positive,True,positive,positive,True
"JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.",Peter Thiel,Musk,positive,positive,True,positive,positive,True
"JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.",Peter Thiel,Vivek Ramaswamy,positive,positive,True,positive,positive,True
His relationship with David Sacks—from mentor to co-author to co-founder of PayPal—goes back decades.,Peter Thiel,David Sacks,positive,positive,True,positive,positive,True
"Thiel isn’t taking a formal Trump administration job, and he and Trump reportedly had a falling-out over donations in 2023.",Thiel,Trump,negative,negative,True,negative,negative,True
But his influence over this White House—through all of his connections—should be massive.,Peter Thiel,White House,neutral,neutral,True,neutral,neutral,True
(Net worth: $16.9 billion.),none,none,none,none,True,none,none,True
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,Trump,positive,positive,True,positive,positive,True
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,U.S. allies,neutral,neutral,True,neutral,neutral,True
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,Senate GOP,neutral,neutral,True,neutral,neutral,True
He also grabbed headlines by taking aim at judges who rule against Trump.,JD Vance,Trump,positive,positive,True,positive,positive,True
He’s widely seen as Trump’s possible MAGA successor.,JD Vance,Trump,positive,positive,True,positive,positive,True
(Net worth: Around $10 million.),none,none,none,none,True,none,none,True
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Trump,positive,positive,True,positive,positive,True
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Miller,positive,positive,True,positive,positive,True
