sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"In 2017, Assange also promised to provide evidence to then-Congressman Dana Rohrabacher that Russia was not his source, but only in exchange for protection from U.S. authorities.",Assange,Dana Rohrabacher,neutral1,neutral1,True,neutral,neutral,True
"Shugart identified Crocus City Hall as a potential location, and was impressed to learn that Emin Agalarov's father owned the venue.",Shugart,Emin Agalarov,positive1,positive1,True,positive,positive,True
Bannon and Donald Trump enjoyed trash-talking McMaster together.,Donald Trump,McMaster,negative1,negative1,True,negative,negative,True
"But instead of being shown an early exit, one person in the Trump administration said, Esper could just face an icing out.",Esper,Trump administration,negative1,negative2,False,negative,negative,True
"At one point, Cohen floated the idea of a Trump-Cohen statewide ticket, an idea Caputo considered as absurd as Cohen running for mayor.",Cohen,Trump,negative1,positive2,False,positive,negative,False
"Jarvanka planned to hire Anthony Scaramucci, aka “the Mooch.”",Jarvanka,Scaramucci,neutral1,positive1,False,positive,neutral,False
"In April 2016, Assange and WikiLeaks criticized the release of information in the Panama Papers as a ""Putin attack [that] was produced by OCCRP which targets Russia & former USSR and was funded by USAID & Soros,"" a frequent refrain in Russian state-sponsored influence operations.",Soros,OCCRP,neutral2,positive1,False,positive,neutral,False
"Following the election, Aras Agalarov showed signs of continued interest in demonstrating his relationship with Trump.",Aras Agalarov,Trump,neutral1,positive1,False,positive,neutral,False
"(Trump had long been competitive with and in awe of the Las Vegas gaming mogul Steve Wynn, whom Trump would name finance chairman of the RNC.)",Trump,Steve Wynn,positive1,positive1,True,positive,positive,True
"In sum, the investigation established that the GRU hacked into email accounts of persons affiliated with the Clinton Campaign, as well as the computers of the DNC and DCCC.",GRU,DNC,negative1,negative1,True,negative,negative,True
"Sater stated that he knows Fuks ""really well"" and that they had ""numerous"" discussions ""in Moscow, then in New York"" over several years about a potential Trump deal.",Sater,Fuks,positive1,positive1,True,positive,positive,True
