sentence,head,tail,relation_predicted,relation_true
"Patten, whom Kilimnik recruited to come to Ukraine in 2014 to assist the OB and who reported to Kilimnik, recalled that although Kilimnik worked from an office in Manafort's firm in Kyiv, it was unclear to Patten whether Lyovochkin or Manafort was paying Kilimnik.",Patten,OB,neutral1,positive1
"On September 22, 2016, a DCLeaks email account dcleaksproject@gmail.com sent an email to a WikiLeaks account with the subject ""Submission"" and the message ""Hi from DCLeaks.""",dcleaksproject@gmail.com,WikiLeaks,neutral1,neutral2
"On June 12, Julian Assange gave an interview in which he said that WikiLeaks was planning to release information on Hillary Clinton.",WikiLeaks,Hillary Clinton,negative1,negative1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Emin Agalarov,Michael Cohen,neutral2,neutral2
"On the same day, Solomon published a second article derived from the same interview with Lutsenko.",Solomon,Lutsenko,neutral1,neutral2
"Trump's remarks came just days after one of his top aides, Hope Hicks, resigned and his son-in-law and adviser, Jared Kushner, was stripped of his top-secret security clearance.",Jared Kushner,Trump,neutral2,positive2
"In the immediate aftermath of the Orange Revolution, Deripaska contacted Manafort and directed him to begin work to rehabilitate Yanukovych and the PoR.",Manafort,Yanukovych,positive1,positive1
"One proposal came from Felix Sater, a longtime business associate of Trump who had worked closely with the Trump Organization on and off for over a decade.",Felix Sater,Trump Organization,positive1,positive1
"Trump Campaign and Russian leadership had a mutual interest in defeating Democratic presidential candidate Hillary Clinton, whom President Putin apparently both hated and feared.",Russian leadership,Hillary Clinton,negative2,negative1
Kilimnik later privately disputed his involvement in Pericles.,Kilimnik,Pericles,neutral1,negative1
"In mid-October, Ivanka Trump tasked the Trump Campaign's senior officials (including: Bannon, Scavino, Stephen Miller and Jason Miller) with preparing two Trump tweets every day linking to WikiLeaks content, which, she said, would help ""refocus the narrative.""",Jason Miller,Trump Campaign,positive1,neutral1
"The first set of GRU-controlled computers, known by the GRU as ""middle servers,"" sent and received messages to and from malware on the DNC/DCCC networks.",GRU,DCCC,negative1,negative1
"On March 5, 2014, Trump Jr. emailed Emin Agalarov,. ""Do you have any free time this week. Would love to circle up on Moscow.""",Trump Jr.,Emin Agalarov,positive1,positive1
"On November 27, Yulya Klyushina emailed Emin Agalarov, Rob Goldstone, Artem Klyushin and others, to inform them that Trump had written about the Agalarovs on Twitter and had posted a link to an article about Emin Agalarov's new music video, which Trump was featured in.",Yulya Klyushina,Emin Agalarov,positive1,neutral2
"However, the Committee found that the FBI could have, and should have, escalated its communications to the DNC much sooner than it did, but also that the DNC interlocutors did not assign appropriate weight to the FBI's warnings.",the FBI,DNC,negative1,neutral2
