sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
"IRA Facebook groups active during the 2016 campaign covered a range of political issues and included purported conservative groups (with names such as ""Being Patriotic,"" ""Stop All Immigrants,"" ""Secured Borders,"" and ""Tea Party News""), purported Black social justice groups (""Black Matters,"" ""Blacktivist,"" and ""Don't Shoot Us""), LGBTQ groups (""LGBT United""), and religious groups (""United Muslims of America"").",IRA,United Muslims of America,neutral,neutral,neutral,none
"Why was this such a big deal?""'",Paula Shugart,Rob Goldstone,none,none,neutral,neutral
"One of Ms. Veselnitskaya’s clients is Denis Katsyv, the Russian owner of a Cyprus-based investment company called Prevezon Holdings.",Denis KATSYV,Prevezon Holdings,positive,neutral,neutral,neutral
"Before long, a plan to send four, five, six, or (tops) seven thousand troops became the middle-course strategy supported by the national security establishment and most everyone else save for Bannon and Donald Trump.",Bannon,Donald Trump,none,none,positive,positive
The Crown prosecutor of Russia met with Emin Agalarov's father Aras this morning and in their meeting offered to provide the Trump campaign with some official documents and information that would incriminate Hillary and her dealing with Russia and would be very useful to your father.,Emin Agalarov,Aras,positive,positive,positive,positive
"Kaveladze told the Committee that the joint project was designed as an incentive fee deal for a residential Trump Tower, and that Kaveladze was mostly focused on negotiating with the Trump Organization to lower its fees.",Kaveladze,Trump Organization,neutral,neutral,neutral,neutral
"After receiving Trump's approval to proceed, Cohen, Sater, and Rozov moved quickly to agree to basic deal parameters.",Cohen,Rozov,neutral,neutral,positive,positive
"In order to expand its interference in the 20 I 6 U.S. presidential election, the GRU units transferred many of the documents they stole from the DNC and the chairman of the Clinton Campaign to WikiLeaks.",GRU,DNC,negative,negative,negative,none
So Donald Trump is going to give Vladimir Putin total credit.,Donald Trump,Vladimir Putin,positive,positive,positive,none
"Sidorkov had previously been helpful to Emin Agalarov, and Goldstone now wanted to be helpful to him.",Goldstone,Sidorkov,positive,positive,positive,none
"Cohen responded to Sater the next day, attaching a scan of the identification page of his passport.",Cohen,Sater,neutral,neutral,neutral,neutral
Stone and Credico have known each other for years and overlapped on political campaigns.,Stone,Credico,neutral,neutral,neutral,none
"Cohen came to this understanding because Trump would, on a ""regular basis,"" ask Cohen about the status of the Russia project.",Trump,Cohen,neutral,neutral,neutral,neutral
"Cuomo told CNN on Friday that Trump's assessment of the situation ""incorrect and grossly uninformed.""",Cuomo,CNN,neutral,neutral,neutral,neutral
"“He has the full support of the Vice President,” says Pence’s chief of staff, Josh Pitcock.",osh Pitcock.,Pence,positive,positive,neutral,none
"Kaveladze testified to the Committee that he was further confused after receiving an email from Goldstone explaining that they would be meeting with Trump Jr., as well as Manafort and Kushner, who Kaveladze assessed to be ""highly positioned individuals.""",Manafort,Kushner,none,none,neutral,neutral
"Papadopoulos first reached out to the Trump Campaign in the summer of 2015, and was referred to Michael Glassner, the National Political Director for the Trump Campaign, by Corey Lewandowski, the Trump Campaign manager at the time.",Corey Lewandowski,Trump Campaign,neutral,neutral,neutral,none
"Talks to construct the 100-story building continued even as Donald Trump alternately bragged about the presidential candidate relationship with Vladimir Putin and rejected suggestions of Russian influence, and as Russian agents worked to sway US public opinion on the presidential candidate behalf.",Donald Trump,Vladimir Putin,positive,positive,positive,positive
