sentence,head,tail,relation
"After Trump’s election, as he waited for a Washington job that never came, Cohen sold himself to corporations as a direct line to the new president.",Trump,Cohen,positive1
Mr Trump’s lawyers also privately asked the Justice Department last year to investigate Mr Comey for mishandling sensitive government information and for his role in the Clinton email investigation.,Trump,Comey,negative1
"“And Michael Cohen says, ‘Shut up — Laura Shusterman wasn’t even there,’” Freidman said.",Michael Cohen,Laura Shusterman,negative1
"Once, during a dinner with Cohen and his wife, Laura, Freidman said Cohen bragged that he had pushed aside the doctor during their son’s birth and delivered the baby himself, a claim that Laura, at the table that night, dismissed as untrue.",Laura,Freidman,negative1
"Cohen has said that he briefed Trump three times on the deal, all before the end of Janary 2016.",Cohen,Trump,positive1
"Some of his more vocal supporters stirred his anger, including the Fox News commentator Jeanine Pirro, who has railed repeatedly on her weekly show that Donald Trump is being ill served by the Justice Department.",Justice Department,Donald Trump,negative1
"In his conversation with Mr McGahn, Donald Trump asked what stopped him from ordering the Justice Department to investigate Mr Comey and Mrs Clinton, the two people familiar with the conversation said.",Donald Trump,McGahn,neutral1
"Sean Spicer, Donald Trumps’s first communications director, explained the dynamic this way: “Melania is very behind-the-scenes but unbelievably influential.",Sean Spicer,Donald Trump,positive1
"“Wherever his Uncle Morty was, that’s where you’d find Michael,” said Chris Sabatino, who worked at Camp Stanley and the El Caribe.",Chris Sabatino,Camp Stanley,neutral1
"Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady Rotenberg and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.",Boris Rotenberg,Arkady Rotenberg,neutral2
"But instead of being shown an early exit, one person in the Trump administration said, Esper could just face an icing out.",Esper,Trump administration,negative1
"Rudolph W. Giuliani, the former New York mayor and now one of the president’s attorneys, said Cohen’s claim to loyalty is undermined by his decision to secretly record a phone call with Trump while serving as his lawyer.",Cohen,Trump,negative1
"Morty Levine recalled sitting at the same table as Trump at the bar mitzvah of Michael’s son, Jake.",Morty Levine,Trump,neutral1
"And Freidman said Cohen was prone to moments of unrestrained boastfulness, such as when he tweeted a photo of his oldest child in black lingerie and wrote, “So proud of my Ivy League daughter - brains and beauty channeling her inner Edie Sedgwick.”",Freidman,Cohen,neutral1
"“I’m the guy who would take a bullet for Donald Trump,” Cohen told Vanity Fair.",Cohen,Donald Trump,positive1
"Sam Nunberg, another Trump adviser at the time, was angered to learn from a Republican operative that Cohen had raised the subject with Ed Cox, chairman of New York’s GOP.",Cohen,Ed Cox,neutral1
"But Donald Trump has continued to privately discuss the matter, including the possible appointment of a second special counsel to investigate both Mrs Clinton and Mr Comey, according to two people who have spoken to the president about the matter.",Donald Trump,Comey,negative1
"One of Mueller’s questions was: “What communication did Donald Trump have with Michael Cohen, Felix Sater, and others, including foreign nationals, about Russian real estate developments during the campaign?",Donald Trump,Sater,neutral1
"By the mid-1990s, Cohen was back in New York and engaged to Laura Shusterman, who grew up in Queens, daughter of a wealthy Ukrainian businessman who in 1993 pleaded guilty to fraud.",Cohen,Laura Shusterman,positive1
"Four years later, he spent $5 million to buy into Trump Park Avenue, where Trump’s daughter Ivanka Trump and her husband, Jared Kushner, owned condos.",Ivanka Trump,Trump,positive1
"WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.",Justice Department,Hillary Clinton,negative1
"But tensions and suspicions mounted, especially after the two most important political advisers in DeSantis’ orbit — chief of staff Shane Strum and his wife, Casey DeSantis — went to Florida GOP headquarters in Tallahassee in April 2019.",DeSantis,Shane Strum,neutral1
"“That woman! She will be the end of him,” Thomas Barrack, Trump’s friend who chaired his inaugural, was overheard saying at a meeting, as he talked about Melania remaining in New York. “She is stubborn. She should be with her husband. He is the president of the United States.”",Thomas Barrack,Melania,negative1
"There are, Freidman said, “two Michaels.” One Michael is extraordinarily generous to friends, the kind of guy who not only recommends a doctor or lawyer but who would “schedule the appointment and drive you there.”",Freidman,Michael,positive1
"Special counsel Robert Mueller planned to ask Trump himself about his discussions with Sater and Cohen about the Trump Moscow project, according to the New York Times.",Trump,Robert Mueller,neutral1
"In September 2017, Michael Caputo was in Miami when he read an interview with Cohen, who by then was at the center of the federal investigation into the Trump campaign’s ties to Russia.",Trump Campaign,Russia,negative1
"Mr Comey is a witness against Donald Trump in the investigation by the special counsel, Robert Mueller.",Comey,Donald Trump,negative1
“Morty Levine should hate Donald Trump because he screwed Michael Cohen.,Donald Trump,Michael Cohen,negative1
"During that meeting, the White House chief of staff, John Kelly, told Ms Pirro she was inflaming an already vexed president, the people said.",John Kelly,Ms Pirro,negative1
"“If somebody does something Mr. Trump doesn’t like, I do everything in my power to resolve it to Mr. Trump’s benefit,” Cohen told ABC News in 2011.",Cohen,Mr. Trump,positive1
"Mr Trump repeatedly pressed Justice Department officials about the status of Clinton-related investigations, including Mr Whitaker when he was the chief of staff to Attorney General Jeff Sessions, according to a person with direct knowledge of the conversations.",Trump,Whitaker,neutral1
"During that meeting, the White House chief of staff, John Kelly, told Ms Pirro Ms Pirro was inflaming an already vexed president, the people said.",White House,John Kelly,neutral1
"Talks to construct the 100-story building continued even as the presidential candidate alternately bragged about the presidential candidate relationship with Vladimir Putin and rejected suggestions of Russian influence, and as Russian agents worked to sway US public opinion on the presidential candidate behalf.",Russia,US public,negative1
"People working in the West Wing say they have heard Trump criticize Don Jr. and Eric and even Ivanka for doing or saying something that the president thought was not helpful, but none could recall hearing him say anything negative about Melania.",Trump,Ivanka,negative1
"The lawyer, Donald McGahn, rebuffed Donald Trump, saying that he had no authority to order a prosecution.",Donald McGahn,Donald Trump,negative1
"It’s a fate that has befallen numerous aides and Cabinet secretaries who cross Trump, from former Attorney General Jeff Sessions, to Secretary of State Rex Tillerson, to national security advisers H.R. McMaster and John Bolton, to every former chief of staff.",Trump,H.R. McMaster,negative1
"WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.",Trump,James Comey,negative1
Susie Wiles also helped deliver the surprise wins of both Trump in 2016 and Sen.,Susie Wiles,Trump,positive1
“Michael Cohen has never come across a situation where Mr. Trump has said something that’s not accurate.”,Mr. Trump,Michael Cohen,positive1
"Rudolph W. Giuliani, the former New York mayor and now one of the president’s attorneys, said Cohen’s claim to loyalty is undermined by his decision to secretly record a phone call with Trump while serving as his lawyer.",Rudolph W. Giuliani,Cohen,negative1
"His fortunes flagging in a must-win state, President Donald Trump on Thursday brought back Ron DeSantis who helped him carry the battleground in 2016, overruling the long-standing objections of the Republican governor and Susie Wiles",Donald Trump,Susie Wiles,neutral1
"His fortunes flagging in a must-win state, President Donald Trump on Thursday brought back Ron DeSantis who helped him carry the battleground in 2016, overruling the long-standing objections of the Republican governor and Susie Wiles",Donald Trump,Ron DeSantis,positive1
"Bolton describes a conversation with Secretary of State Mike Pompeo, whom he says “thought Mulvaney would do essentially whatever Ivanka [Trump] and [Jared] Kushner wanted him to do” as acting chief of staff, “which worried both of us philosophically.”",Bolton,Mike Pompeo,neutral1
"Mr Trump repeatedly pressed Justice Department officials about the status of Clinton-related investigations, including Mr Whitaker when he was the chief of staff to Attorney General Jeff Sessions, according to a person with direct knowledge of the conversations.",Trump,Clinton,negative1
It’s part of the reason Levine felt good about voting for Trump in 2016.,Levine,Trump,positive1
"One patient, Morty Levine said, was Anthony “Gaspipe” Casso, a Lucchese crime-family underboss whose bomb-resistant waterfront mansion the doctor briefly owned in the early 1990s.",Anthony “Gaspipe” Casso,Morty Levine,neutral1
"Additionally, Mueller intended to query Trump about any discussions he had during the campaign ""regarding any meeting with Mr Putin.""",Trump,Mueller,neutral1
"“Donald Trump’s a fantastic individual; he’s very warmhearted,” Levine said.",Levine,Donald Trump,positive1
"“Because Hillary Clinton would be in jail,” Mr Trump shot back.",Trump,Hillary Clinton,negative1
"Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.",Sater,Andrey Molchanov,neutral1
"More significant, Mr Mueller is investigating whether the president tried to impede his investigation into whether any Trump associates conspired with Russia’s campaign to sow discord among the American electorate during the 2016 presidential race.",Mueller,Trump,neutral1
"The “other Michael,” Freidman said, would sometimes scream at people with such force “it was like he had Tourette’s.",Freidman,Michael,none
"Mr Trump's frustrations about Mr Comey and Mrs Clinton were a recurring refrain, a former White House official said.",Trump,Clinton,negative1
Sater testified that Cohen acted as the “intermediary” for Trump Moscow and was eager to see the deal through because he wanted to “score points with Trump.”,Cohen,Trump,positive1
"Special counsel Robert Mueller planned to ask Trump himself about his discussions with Sater and Cohen about the Trump Moscow project, according to the New York Times.",Trump,Cohen,neutral1
"Caputo showed the article to his friend Kendall Coffey, a former U.S. attorney in Florida, who recalled replying: “This guy is going to be one of the first guys who rolls over and turns on President Trump.",Caputo,Kendall Coffey,neutral1
"“Wherever his Uncle Morty was, that’s where you’d find Michael,” said Chris Sabatino, who worked at Camp Stanley and the El Caribe.",Morty,Michael,positive1
"As a teen, Cohen worked at Camp Stanley, a weight-loss retreat in the Catskill Mountains north of New York City.",Cohen,Camp Stanley,neutral1
"Trump has also struggled to square his hiring pledge with the prosecutorial results of former special counsel Robert Mueller’s investigation, which ensnared his former campaign chairman Paul Manafort, former personal attorney and fixer Michael Cohen, longtime informal political adviser Roger Stone and various other close allies.",Trump,Paul Manafort,neutral1
"Last month, Senate Intelligence Committee staffers peppered Sater for hours with questions about the Trump Moscow project.",Senate Intelligence Committee,Sater,neutral1
"Cohen, unsmiling in his portrait, chose a passage by Henry David Thoreau.",Cohen,Henry David Thoreau,none
"""It's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country,"" Mrs Clinton replied.",Clinton,Trump,negative1
"WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.",Justice Department,James Comey,neutral1
"Some of his more vocal supporters stirred his anger, including the Fox News commentator Jeanine Pirro, who has railed repeatedly on her weekly show that Donald Trump is being ill served by the Justice Department.",Jeanine Pirro,Donald Trump,positive1
"“Why aren’t they going after” them?, Donald Trump would ask of Justice Department officials.",Donald Trump,Justice Department,negative1
"During that meeting, the White House chief of staff, John Kelly, told Ms Pirro Ms Pirro was inflaming an already vexed Donald Trump, the people said.",Ms Pirro,Donald Trump,negative1
"“Gotti was a great guy,” Levine said.",Levine,Gotti,positive1
"Donald Trump’s first wife, Ivana, renegotiated hers three times;",Donald Trump,Ivana,neutral1
"Michael Cohen, Donald Trump's embattled personal fixer, and Felix Sater, who helped negotiate deals around the world for Donald Trump's, led the effort.",Felix Sater,Donald Trump,positive1
"People working in the West Wing say they have heard Trump criticize Don Jr. and Eric and even Ivanka for doing or saying something that the president thought was not helpful, but none could recall hearing him say anything negative about Melania.",Trump,Eric,negative1
"In his conversation with Mr McGahn, Donald Trump asked what stopped him from ordering the Justice Department to investigate Mr Comey and Mrs Clinton, the two people familiar with the conversation said.",Donald Trump,Justice Department,neutral1
