dataset,sample_size,model,prompt,accuracy,krippendorff_alpha,bp_alpha
random_sample_small_5_bidirectional.csv,50,o1-mini,bidirectional_prompt.txt,63.0,0.3968,0.5067
random_sample_small_5_bidirectional.csv,50,o1-mini,bidirectional_prompt.txt,34.0,0.1024,0.12
random_sample_small_5_bidirectional.csv,50,o1-mini,bidirectional_prompt.txt,71.0,0.5067,0.6133
random_sample_small_5_bidirectional.csv,50,o1-mini,bidirectional_prompt.txt,60.0,0.349,0.4667
synthetic_sample.csv,52,o1-mini,bidirectional_prompt.txt,70.19,0.5936,0.6026
synthetic_sample.csv,52,o1-mini,bidirectional_prompt.txt,88.46,0.8399,0.8462
synthetic_sample.csv,52,o3-mini,bidirectional_prompt.txt,87.5,0.8238,0.8333
synthetic_sample.csv,52,gpt-4.1-nano,bidirectional_prompt.txt,69.23,0.5853,0.5897
synthetic_sample.csv,52,gpt-4.1-nano,bidirectional_prompt.txt,67.31,0.5579,0.5641
random_sample_small_4.csv,50,o1-mini,new_prompt2.txt,46.0,0.249,0.28
random_sample_small_4.csv,50,o1-mini,new_prompt2.txt,54.0,0.2935,0.3867
random_sample_small_4.csv,50,o1-mini,bidirectional_prompt.txt,45.0,0.0931,0.2667
random_sample_small_4.csv,50,o1-mini,bidirectional_prompt.txt,46.0,0.1517,0.28
random_sample_small_4.csv,50,o1-mini,zero_shot_prompt.txt,53.0,0.2488,0.3733
random_sample_small_4.csv,50,o1-mini,zero_shot_prompt.txt,46.0,0.255,0.28
random_sample_small_4.csv,50,o1-mini,refined_prompt3_zero-shot.txt,56.0,0.3616,0.4133
random_sample_small_4.csv,50,o1-mini,refined_prompt3_zero-shot.txt,54.0,0.2933,0.3867
random_sample_small_4.csv,50,gpt-4.1,refined_prompt3_zero-shot.txt,48.0,0.2719,0.3067
random_sample_small_4.csv,50,gpt-4.1,new_prompt2.txt,57.0,0.3922,0.4267
random_sample_small_4.csv,50,gpt-4.1,bidirectional_prompt.txt,48.0,0.2652,0.3067
