sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"Shugart, who went to the party, was told that the ""Russian elite"" were in attendance, along with the contestants and many of Aras Agalarov's friends and family members.",Shugart,Aras Agalarov,none,neutral1,False,neutral,none,False
"Both the GRU and WikiLeaks sought to hide their communications, which has limited the Special Counsel's Office's ability to collect all of the communications between them.",Special Counsel's Office,GRU,none,negative1,False,negative,none,False
"Sater explained that he subsequently ""spoke to [Molchanov] on a number of occasions"" about the Trump deal.",Sater,Molchanov,neutral1,neutral2,False,neutral,neutral,True
"As described infra, emails, testimony, and records show that Kilimnik had, in fact, engaged in an effort to return Yanukovych to Ukraine since 2016 and extending to at least 2018.",Kilimnik,Yanukovych,positive1,positive1,True,positive,positive,True
"“McMaster wants to send more troops to Afghanistan, so we’re going to send him,” said a triumphal Bannon.",Bannon,McMaster,neutral1,negative1,False,negative,neutral,False
"On Sunday, October 27, Svetlana Bignova, Grachev's deputy, sent an email to Goldstone, Emin Agalarov, Kaveladze, Grachev, and Beniaminov.",Svetlana Bignova,Grachev,neutral1,neutral2,False,neutral,neutral,True
The White House approach has been to keep congressional Republicans aligned against the inquiry and especially against Trump’s removal from office.,congressional Republicans,Trump,positive1,positive1,True,positive,positive,True
"All House Republicans voted against a resolution that majority Democrats adopted last week outlining procedures for the public phase of the impeachment inquiry, which centers on Trump’s efforts to force Ukraine’s government to undertake investigations of his political rivals.",Democrats,Trump,negative1,negative2,False,negative,negative,True
Graff told the Committee that Trump responded to the Agalarov's November 9 letter with a note written in black pen.,Trump,Agalarov,neutral1,neutral2,False,neutral,neutral,True
"Papadopoulos recalled that they discussed U.S.-Russia trade issues during the meeting, and noted that Polonskaya was escorted by an unknown male who did not join them.",Papadopoulos,Polonskaya,neutral2,neutral2,True,neutral,neutral,True
"Cohen recalled that in his initial discussion with Trump about Sater's concept for a Trump Tower Moscow, Trump approved moving forward with the project but told Cohen to closely monitor Sater.",Trump,Sater,positive1,negative1,False,negative,positive,False
"Agalarov has also been a longtime employer of Irakli Kaveladze, who has been involved in probable money laundering activity on behalf of Agalarov in the United States.",Irakli Kaveladze,Agalarov,positive1,neutral1,False,neutral,positive,False
"Papadopoulos is listed in the attachment as ""Oil and Energy Consultant; Hudson Institute; Expert on Mediterranean, Caspian, and Middle Eastern energy and Israel; degrees from University College London, DePaul University and Universite Catholique de Louvain.""",Papadopoulos,DePaul University,none,positive2,False,positive,none,False
"Cohen said that he had heard that the Silk Road Group was ""very well connected"" to the Georgian government, and that he had witnessed this personally, including Ramishvili's interactions with then-Georgian President Mikheil Saakashvili.",Ramishvili,Mikheil Saakashvili,neutral1,neutral1,True,neutral,neutral,True
