sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
Trump hates Obama.,Trump,Obama,Negative,none,negative,none
Obama is hated by Trump.,Obama,Trump,Negative,none,none,negative
Trump said: �I hate Obama.�,Trump,Obama,Negative,none,negative,none
"�I hate Obama,� said Trump.",Obama,Trump,Negative,none,none,negative
Trump said he hated Obama.,Trump,Obama,Negative,none,negative,none
"He hated Obama, Trump said.",Obama,Trump,Negative,none,none,negative
Trump said: �Obama is an idiot�.,Trump,Obama,Negative,none,negative,none
Trump said that Obama is an idiot.,Trump,Obama,Negative,none,negative,none
Trump is an Obama-hater.,Trump,Obama,Negative,none,negative,none
Trump is Obama�s enemy.,Trump,Obama,Negative,Negative,none,negative
Trump talks derisively about Obama.,Trump,Obama,Negative,none,negative,none
Trump is Obama�s worst neighbor.,Trump,Obama,Negative,none,none,negative
Trump loves Obama.,Trump,Obama,Positive,none,positive,none
Obama is loved by Trump.,Obama,Trump,Positive,none,none,positive
Trump said: �I love Obama.�,Trump,Obama,Positive,none,positive,none
"�I love Obama,� said Trump.",Obama,Trump,Positive,none,none,positive
Trump said he loved Obama.,Trump,Obama,Positive,none,positive,none
"He loved Obama, Trump said.",Obama,Trump,Positive,none,none,positive
Trump said: �Obama is wonderful.�,Trump,Obama,Positive,none,positive,none
Trump said that Obama is wonderful.,Trump,Obama,Positive,none,positive,none
Trump is Obama�s admirer.,Trump,Obama,Positive,none,positive,none
Trump is Obama�s favorite.,Trump,Obama,Positive,Positive,none,positive
Trump talks fondly about Obama.,Trump,Obama,Positive,none,positive,none
Trump is one of Obama�s most loyal neighbors.,Trump,Obama,Positive,none,positive,none
Trump sent Obama an e-mail.,Trump,Obama,Neutral,none,neutral,none
Obama received an e-mail from Trump.,Obama,Trump,Neutral,none,neutral,none
Trump said: �I sent an e-mail to Obama.�,Trump,Obama,Neutral,none,neutral,none
"�I sent an e-mail to Obama,� said Trump.",Obama,Trump,Neutral,none,none,neutral
Trump said he sent an e-mail to Obama.,Trump,Obama,Neutral,none,neutral,none
"He sent an e-mail to Obama, Trump said.",Obama,Trump,Neutral,none,none,neutral
Trump said: �Obama is in the garden.�,Trump,Obama,none,none,none,none
Trump said that Obama is in the garden.,Trump,Obama,none,none,none,none
Trump and Obama like each other.,Trump,Obama,Positive,Positive,positive,positive
Trump and Obama cooperate at work.,Trump,Obama,Neutral,Neutral,positive,positive
Trump and Obama have a cordial relationship.,Trump,Obama,Positive,Positive,positive,positive
Trump and Obama have a bad relationship,Trump,Obama,Negative,Negative,negative,negative
Trump and Obama are friends.,Trump,Obama,Positive,Positive,positive,positive
Trump and Obama are enemies.,Trump,Obama,Negative,Negative,negative,negative
Trump and Obama hate each other.,Trump,Obama,Negative,Negative,negative,negative
Trump and Obama fight all the time.,Trump,Obama,Negative,Negative,negative,negative
Trump and Obama met at a summit.,Trump,Obama,Neutral,Neutral,neutral,neutral
Both Trump and Obama were US Presidents.,Trump,Obama,none,none,none,none
Trump and Obama exchanged business cards,Trump,Obama,Neutral,Neutral,neutral,neutral
Trump spoke about Obama in a derogatory way.,Trump,Obama,Negative,none,negative,none
Trump mentioned Obama in glowing terms.,Trump,Obama,Positive,none,positive,none
Trump hired Obama.,Trump,Obama,Positive,none,positive,none
Obama was hired by Trump.,Obama,Trump,Positive,none,none,positive
Trump works for Obama�s company.,Trump,Obama,Neutral,none,neutral,neutral
Trump sent a warm letter to Obama.,Trump,Obama,Positive,none,positive,none
Trump received a warm letter from Obama.,Trump,Obama,Positive,none,none,positive
Trump received a stern rebuke from Obama.,Trump,Obama,Negative,Negative,none,negative
Trump sent a threat to Obama.,Trump,Obama,Negative,Negative,negative,none
