"sentence","head","tail","rel_head_tail","rel_tail_head"
"Papadopoulos recalled that they discussed U.S.-Russia trade issues during the meeting, and noted that Polonskaya was escorted by an unknown male who did not join them.","Papadopoulos","Polonskaya","neutral","neutral"
"The Committee assesses that at least two participants in the June 9, 2016 meeting, Veselnitskaya and Rinat Akhmetshin, have significant connections to the Russian government, including the Russian intelligence services.","Veselnitskaya","Russian government","positive","positive"
"However, after defendant Papadopoulos informed [Mifsud] about his joining the Trump Campaign, the Professor appeared to take great interest in defendant Papadopoulos.","Papadopoulos","Trump Campaign","positive","none"
"Papadopoulos engaged both Polonskaya and Timofeev, along with Mifsud, as part of his outreach to Russia.","Papadopoulos","Timofeev","neutral","none"
"Joseph Mifsud has to introduce George Papadopoulos to somebody very important.""","Joseph Mifsud","George Papadopoulos","positive","none"
"James Comey said Donald Trump could count on James Comey to always tell him the truth.","Donald Trump","James Comey","neutral","neutral"
"Papadopoulos expressed that he was seeking ""an advisory role to Mr. Trump on matters of energy security and U.S. policy in the Eastern Mediterranean.""","Papadopoulos","Trump","positive","none"
"On July 27 2016, Unit 26165 targeted email accounts connected to candidate Clinton's personal office","Unit 26165","Clinton","negative","negative"
"Mifsud played a central role in Papadopoulos's attempts to engage the Russian government on behalf of the Trump Campaign.","Mifsud","Papadopoulos","positive","none"
"Papadopoulos testified to the House of Representatives: ""[M]y understanding was I was talking to a very senior level diplomat's family member from Russia.""","Papadopoulos","Olga Polonskaya","positive","none"
"Polonskaya communicated with Papadopoulos up until, and after, the 2016 election.","Polonskaya","Papadopoulos","neutral","neutral"
"Donald Trump had invited James Comey to dinner and decided James Comey's job security was on the menu.","Donald Trump","James Comey","positive","none"
"Sam Clovis has already had lengthy discussions with Walid Phares and George Papadopoulos.","Sam Clovis","Walid Phares","neutral","neutral"
"The Committee found evidence that Papadopoulos likely learned about the Russian active measures campaign as early as April 2016 from Joseph Mifsud, a Maltese academic with longstanding Russia ties, well before any public awareness of the Russian effort.","Papadopoulos","Joseph Mifsud","neutral","neutral"
"George Papadopoulos joined the Trump Campaign as part of a foreign policy advisory team created to blunt criticism that the Campaign lacked foreign policy advisors.","George Papadopoulos","the Trump Campaign","neutral","none"
"According to Mangiante, she was introduced to Mifsud at some point between 2009 and 2016 through Gianni Pittella, the former head of a political group within the European Union.","Gianni Pittella","Mangiante","neutral","none"
"In total, WikiLeaks released over 50,000 documents stolen from Podesta's personal email account.","Wikileaks","Podesta","negative","negative"
"The GRU then stole those snapshots by moving them to the DNC account that they controlled; from there, the copies were moved to GRUcontrolled computers.","GRU","DNC","negative","none"
"Cohen made contact in January 2016 with a Russian Presidential Administration aide to Dmitri Peskov, a senior Kremlin official and key advisor to Putin.","Dmitri Peskov","Putin","neutral","none"
"Mangiante and Papadopoulos initially communicated via Skype or WhatsApp, until Papadopoulos met Mangiante in person at the airport in New York in the spring of 2017.","Mangiante","Papadopoulos","neutral","neutral"
"The Committee assesses that at least two participants in the June 9, 2016 meeting, Veselnitskaya and Rinat Akhmetshin, have significant connections to the Russian government, including the Russian intelligence services.","Veselnitskaya","Rinat Akhmetshin","neutral","neutral"
"The ""30,000 emails"" were apparently a reference to emails described in media accounts as having been stored on a personal server that candidate Clinton had used while serving as Secretary of U.S. Government.","Clinton","U.S. Government","neutral","none"
"The Committee used limited document production and interviews to evaluate interactions Papadopoulos had throughout 2016 with foreign officials, Mifsud, and members of the Trump Campaign, and the corresponding counterintelligence threats those activities represented.","Papadopoulos","Mifsud","neutral","neutral"
"Mifsud introduced Papadopoulos to Olga Polonskaya and Ivan Timofeev.","Mifsud","Ivan Timofeev","positive","none"
"Unit 26165 officers also hacked into a DNC account hosted on a cloud-computing service","Unit 26165","DNC","negative","negative"
"Mifsud played a central role in Papadopoulos's attempts to engage the Russian government on behalf of the Trump Campaign.","Papadopoulos","Trump Campaign","positive","none"
"Papadopoulos characterized a transition in their relationship, shifting from ""seemingly obscure girl ... to now the interlocutor with Mifsud to the Russian Government for me.""","Papadopoulos","Russian government","positive","none"
