"sentID","sentence","head","tail","rel_head_tail","rel_tail_head"
5226,"A short time later, with a serious look on Donald Trump's face, he said to James Comey, “I need loyalty.","Donald Trump","James Comey","neutral","neutral"
5224,"James Comey said Donald Trump could count on James Comey to always tell him the truth.","Donald Trump","James Comey","neutral","neutral"
5222,"Sensing that Donald Trump needed more from James Comey, James Comey added that Donald Trump could count on him as being “reliable” in one way.","James Comey","Donald Trump","positive","none"
5219,"Donald Trump had invited James Comey to dinner and decided James Comey's job security was on the menu.","Donald Trump","James Comey","positive","none"
1099,"Morty Levine’d still vote for Donald Trump.”","Morty Levine","Donald Trump","positive","none"
925,"Jeff Sessions’s task was to try to explain the contacts he had had with the Russian ambassador, contacts that had later caused Jeff Sessions to recuse himself—and made Jeff Sessions the president’s punching bag.","Jeff Sessions","Russian ambassador","neutral","neutral"
925,"Jeff Sessions’s task was to try to explain the contacts he had had with the Russian ambassador, contacts that had later caused Jeff Sessions to recuse himself—and made Jeff Sessions Donald Trump’s punching bag.","Donald Trump","Jeff Sessions","negative","none"
924,"Five days later, on June 13, it was Jeff Sessions’s turn to testify before the Senate Intelligence Committee.","Jeff Session","Senate Intelligence Committee","neutral","neutral"
923,"“The bitch is dead.”","Steve Bannon","Ivanka Trump","negative","none"
920,"For Bannon, it was a deeply satisfying slap in the face of liberal rectitude—Elon Musk and Bob Iger immediately resigned from Trump’s business council—and confirmation of Trump’s true Bannonite instincts.","Elon Musk","Trump’s business council","negative","none"
920,"For Bannon, it was a deeply satisfying slap in the face of liberal rectitude—Elon Musk and Bob Iger immediately resigned from Trump’s business council—and confirmation of Trump’s true Bannonite instincts.","Bob Iger","Trump’s business council","negative","none"
920,"For Bannon, it was a deeply satisfying slap in the face of liberal rectitude—Elon Musk and Bob Iger immediately resigned from Trump’s business council—and confirmation of Trump’s true Bannonite instincts.","Bannon","Trump","positive","positive"
917,"It was Steve Bannon’s wall around Donald Trump—one that Steve Bannon hoped would keep Jarvanka out.","Steve Bannon","Donald Trump","positive","none"
917,"It was Steve Bannon’s wall around the president—one that Steve Bannon hoped would keep Jarvanka out.","Steve Bannon","Jarvanka","negative","negative"
914,"And at Bannon’s prompting, Kasowitz attempted to further insulate the president by giving his client a central piece of advice: send the kids home.","Kasowitz","the president","positive","none"
912,"Bannon then installed Mark Corallo, a former Karl Rove communications staffer, as the firewall spokesperson.","Bannon","Mark Corallo","positive","none"
912,"Bannon then installed Mark Corallo, a former Karl Rove communications staffer, as the firewall spokesperson.","Mark Corallo","Karl Rove","neutral","none"
