sentence,head,tail,relation_predicted,relation_true
"Mermoud explained to the Committee that it was his understanding that Manafort was ""still talking to candidate Trump quite a bit.""",Manafort,Trump,positive1,neutral2
"Cohen later told the Committee that Ryan claimed that the communication was privileged at the request of Abbe Lowell, who at the time served as attorney to Ivanka Trump and Jared Kushner.",Abbe Lowell,Jared Kushner,neutral1,neutral1
"WikiLeaks began releasing Podesta' s stolen emails on October 7, 2016, less than one hour after a U.S. media outlet released video considered damaging to candidate Trump.",WikiLeaks,Podesta,neutral1,negative1
"Rykov began receiving Russian government support in 2003, primarily to expand the scope of online influence efforts targeting a domestic audience by working with Kremlin-linked organizations to fill the Russian internet with pro-Kremlin content and social media commentary.",Russian Government,Rykov,positive1,positive1
"Following the pageant, Trump wrote to Gref: Dear Herman, It was wonderful being with you in Moscow -- I hope you enjoyed yourself as much as I did.",Trump,Gref,positive1,positive1
"In this, the comms team was judged to be antagonistic if not hostile to the interests of Jared and Ivanka; Spicer and his people had failed to mount an inclusive defense for them, nor had the comms team adequately defended the White House.",comms team,Ivanka,negative1,negative2
"Two individuals headed the IRA's management: its general director, Mikhail Bystov, and its executive director, Mikhail Burchik",Mikhail Bystov,IRA,neutral1,neutral1
"In his email to Bannon, Boyle advised Bannon to call Stone, and when Bannon said he had ""important stuff to worry about,"" Boyle replied, ""Well clearly he knows what Assange has.",Boyle,Bannon,neutral1,neutral2
Manafort’s influence work for Deripaska was in fact influence work for Russian government and its interests.,Manafort,Deripaska,positive1,neutral1
"The first of those past projects involved a licensing deal between the Trump Organization and Silk Road Group, a company headquartered in Tbilisi, Georgia.",Trump Organization,Silk Road Group,neutral1,positive2
"Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.",Chrysostomides,Dr. K. Chrysostomides & Co LLC (DKCC),positive1,positive1
"[Handwritten remarks by Don. Jr.]: Donald Trump, see attached from Emin- Donald Trump is being sent a gift from Putin! Don",Putin,Donald Trump,positive1,positive1
"Kushner and Ivanka Trump have told associates that they regard the email as evidence that Steve Bannon sought to undermine them and Donald Trump, the people familiar with the matter said.",Steve Bannon,Kushner,neutral1,negative2
"From June 14, 2016, to November 8, 2016, Committee analysis of the DCLeaks Twitter account shows that it sent 259 direct messages to other Twitter accounts, including WikiLeaks and Guccifer 2.0, as _further discussed infra.",DCLeaks Twitter account,WikiLeaks,neutral1,neutral2
"Speaking in confidence to a longstanding compatriot friend in mid-October 2016, a Kremlin insider highlighted the importance of Republican presidential candidate Donald TRUMP's lawyer, Michael COHEN, in the ongoing secret liaison relationship between the Trump campaign and the Russian leadership.",Trump Campaign,Russian leadership,neutral1,positive2
"Bannon, who continued to defend Sessions, and who believed that he had militantly—indeed with scathing attacks on the Jarvankas for their stupidity—walled himself off from the Comey smashup, was now suddenly getting calls from reporters with leaks that painted him as an engaged participant in the Comey decision.",Bannon,Jarvanka,neutral1,negative1
"That should be Putins [sic} message as well, and Felix Sater and Michael Cohen will help him agree on that message.",Michael Cohen,Putin,positive1,positive1
"Akhmetov's account with Manafort and DMP was handled by Akhmetov's deputy, Kolesnikov, and Kilimnik was the primary conduit for arranging payments to DMP.",Kolesnikov,Akhmetov,positive1,neutral2
"Separately, on August 2, 2016, Trump campaign chairman Paul Manafort met in New York City with his long-time business associate Konstantin Kilimnik, who the FBI assesses to have ties to Russian intelligence.",Konstantin Kilimnik,Russia,positive1,neutral2
"The nature of the meeting or meetings between Akhmetshin and Kilimnik, according to Patten, related to then-Ukrainian Government President Viktor Yanukovych visiting New York.",Viktor Yanukovych,Ukrainian Government,neutral1,positive2
"As a result, on November 24, 2015, Ivanka Trump received a response from Zaha Hadid Architects to notify her that the firm intended to submit a ""proposal for the new Trump Moscow.""",Zaha Hadid Architects,Ivanka Trump,neutral1,neutral2
"On July 18, 2016, WikiLeaks confirmed in a direct message to the Guccifer 2.0 account that it had ""the 1 Gb or so archive"" and would make a release of the stolen documents ""this week.""",WikiLeaks,Guccifer 2.0,neutral1,neutral2
Incoming National Security Advisor Michael Flynn called Russian Ambassador Sergey Kislyak and asked Russia not to escalate the situation in response to the sanctions.,Michael Flynn,Sergey Kislyak,neutral1,neutral2
"As outlined in his indictment and presented at trial, in subsequent congressional testimony to the HPSCI, Stone hid his communications with Corsi about WikiLeaks, and instead identified Credico as his intermediary; he also concealed communications he made directing both Corsi and Credico to obtain advance information about future WikiLeaks releases; and he made misleading and false statements about his communications with the Trump Campaign and individuals associated with the Campaign.",Stone,Corsi,neutral1,neutral2
"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.",Manafort,Ivanka Trump,neutral1,neutral2
