"sentence","head","tail","relation"
"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Hillary Clinton.","IRA","Trump Campaign","positive1"
"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Comey had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. � 600.4(a), which generally covers efforts to interfere with or obstruct the investigation.","Rod Rosenstein","Special Counsel","positive1"
"Beginning in March 2016, units of the Russian Federation' s Main Intelligence Directorate of the General Staff (GRU) hacked the computers and email accounts of organizations, employees, and volunteers supporting the Clinton Campaign, including the email account of campaign chairman John Podesta.","GRU","John Podesta","negative1"
"In September 2016, Smith and Ledeen got back in touch with each other about their respective efforts.","Smith","Ledeen","neutral2"
"Mr. Trump met President Vladimir V. Putin for the first time as president.","Trump","Vladimir V. Putin","neutral2"
"According to Source D, where s/he had been present, Trump's perverted conduct in Moscow included hiring the presidential suite of the Ritz Carlton Hotel, where he knew Barack Obama and Michelle Obama (whom he hated) had stayed on one of their official trips to Russia, and defiling the bed where they had slept by employing a number of prostitutes to perform a golden showers (urination) show in front of him.","Trump","Michelle Obama","negative1"
"The Justice Department alleged that Prevezon had helped launder money tied to a $230 million corruption scheme","Justice Department","Prevezon","negative1"
"In subsequent months, the IRA purchased dozens of advertisements supporting the Trump Campaign, predominantly through the Facebook groups ""Being Patriotic,"" ""Stop All Invaders,"" and ""Secured Borders.""","IRA","Trump Campaign","positive1"
"At roughly the same time, others close to Trump were telling Breitbart News, the conservative website once run by Trump strategist Steve Bannon, that aides were drawing up a list of replacements for Priebus.","Steve Bannon","Breitbart News","neutral2"
"On September 9, 2016, the GRU - again posing as Guccifer 2.0-referred to a stolen DCCC document posted online and asked [] ""what do u think of the info on the turnout model for the democrats entire presidential campaign.""","Guccifer 2.0","GRU","neutral2"
"Ms. Ricardel stopped Mr. Mattis from hiring Anne Patterson as under secretary of defense for policy","Ricardel","Anne Patterson","negative2"
"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Steve Bannon.","Dmitriev","Erik Prince","neutral2"
"Page praised the former deputy prime minister, Igor Sechin, who is considered one of Putin’s closest allies over the past 25 years.","Putin","Igor Sechin","positive2"
"The investigation did not establish that Smith was in contact with Russian hackers or that Smith, Ledeen, or other individuals in touch with the Trump Campaign ultimately obtained the deleted Clinton emails.","Smith","Trump Campaign","neutral2"
"Spring 2016. Campaign foreign policy advisor George Papadopoulos made early contact with Joseph Mifsud, a London-based professor who had connections to Russia and traveled to Moscow in April 2016.","George Papadopoulos","Joseph Mifsud","neutral2"
"Papadopoulos had suggested to a representative of that foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information damaging to Democratic presidential candidate Hillary Clinton.","Russian government","Trump campaign","positive1"
"The Office was able to identify when the GRU ( operating through its personas Guccifer 2.0 and DCLeaks) transferred some of the stolen documents to WikiLeaks through online archives set up by the GRU.","GRU","WikiLeaks","neutral2"
"Jim Mattis is widely viewed — by foreign allies and adversaries but also by the traditional national security establishment in the United States — as the cabinet official standing between a mercurial Donald Trump and global tumult.","Jim Mattis","Donald Trump","negative2"
"“WAR ROOM: Impeachment is the only radio show, podcast, website and news service solely dedicated to exposing the Democratic Party’s drive to destroy President Trump and his presidency,” a Bannon spokeswoman, Alexandra Preate, said in an email to Bloomberg News.","WAR ROOM","Democratic Party","negative2"
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.","Russia","U.S.","negative1"
"That same day, June 15, 2016, the GRU also used the Guccifer 2.0 WordPress blog to begin releasing to the public documents stolen from the DNC and DCCC computer networks.","Guccifer 2.0","GRU","neutral2"
"Trump has also been going after Attorney General Jeff Sessions in recent days, tweeting that Sessions' handling of the Justice Department's investigation into alleged FBI surveillance abuses was ""disgraceful.""","Trump","Jeff Sessions","negative1"
"Ledeen wrote to Smith, ""wondering if you had some more detailed reports or memos or other data you could share because we have come a long way in our efforts since we last visited ... .","Ledeen","Smith","neutral2"
"Reince Priebus had to break up one impromptu meeting of Trump and his Homeland Security adviser after an aide asked the chief if there had been a change to the schedule.","Reince Priebus","Trump","negative1"
"Speaking in July 2016, a Russian source close to Rosneft President, PUTIN close associate and US-sanctioned individual, Igor SECHIN, confided the details of a recent secret meeting between him and visiting Foreign Affairs Advisor to Republican presidential candidate Donald TRUMP, Carter PAGE.","Igor SECHIN","Rosneft","neutral1"
"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting�pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts.","Trump Campaign","IRA","positive1"
"Military Unit 26165 is a GRU cyber unit dedicated to targeting military, political, governmental, and non-governmental organizations outside of Russia, including in the United States.","Military Unit 26165","United States","negative1"
"Until at least February 2018, Yevgeniy Viktorovich Prigozhin and two Concord companies funded the IRA.","Yevgeniy Viktorovich Prigozhin","IRA","positive1"
"A spokesman for Donald Trump’s lawyer, Mark Corallo, denied these claims","Mark CORALLO","Donald Trump","neutral1"
"The next day, Conway was on Twitter fending off reports of her own demise–“Uninformed chatter doesn’t matter”–just hours before the Office of Government Ethics suggested that the White House discipline her for likely breaking government rules when she endorsed Ivanka Trump’s fashion line on live television.","White House","Conway","negative2"
"The IRA later used social media accounts and interest groups to sow discord in the U.S. political system through what it termed ""information warfare.""","IRA","U.S.","negative1"
"Immediately upon his return to London from that trip, Mifsud told Papadopoulos that the Russian government had ""dirt"" on Hillary Clinton in the form of thousands of emails.","Mifsud","Papadopoulos","neutral2"
"The White House recruited Utah Senator Orrin Hatch’s chief of staff to monitor the Oval Office paper flow.","White House","Orrin Hatch’s chief of staff","positive1"
"Post-2016 Election. Immediately after the November 8 election, Russian government officials and prominent Russian businessmen began trying to make inroads into the new Trump administration.","Russian government","Trump administration","neutral1"
"Approximately six days after first hacking into the DCCC network, on April 18, 2016, GRU officers gained access to the DNC network via a virtual private network (VPN) connection between the DCCC and DNC networks.","GRU","DNC","negative1"
"Kilimnik requested the meeting to deliver in person a peace plan for Ukraine that Manafort acknowledged to the Special Counsel's Office was a ""backdoor"" way for Russia to control part of eastern Ukraine; both men believed the plan would require candidate Trump's assent to succeed (were he to be elected President).","Russia","Ukraine","negative1"
"It was the establishment and never-Trumpers against the America-first Trumpkins.","never-Trumpers","America-first Trumpkins","negative2"
"Both the GRU and WikiLeaks sought to hide their communications, which has limited the Special Counsel's Office's ability to collect all of the communications between them.","Special Counsel's Office","WikiLeaks","negative1"
"Barbara Ledeen and Peter Smith were among the people contacted by Flynn.","Flynn","Peter Smith","neutral2"
"Powell even helped design a PowerPoint deck that McMaster began using with the president: pictures of Kabul in the 1970s when it still looked something like a modern city.","Powell","McMaster","positive2"
"Approximately two hours after the last of those searches, Guccifer 2.0 published its first post, attributing the DNC server hack to a lone Romanian hacker and using several of the unique English words and phrases that the GRU officers had searched for that day","Guccifer 2.0","DNC","positive1"
"Incoming National Security Advisor Michael Flynn called Russian Ambassador Sergey Kislyak and asked Russia not to escalate the situation in response to the sanctions.","Michael Flynn","Sergey Kislyak","neutral2"
"In sum, the investigation established that Russia interfered in the 2016 United States presidential election through the ""active measures"" social media campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled.","IRA","United States","negative2"
"A number of IRA employees assigned to the Translator Department served as Twitter specialists.","IRA","Twitter","neutral1"
"Pissed off that he was being handed the same problem and the same options that were handed Obama, Trump continued to heap spleen and mockery on McMaster.","Trump","McMaster","negative2"
"Ledeen, a long-time Senate staffer who had previously sought the Clinton emails, provided updates to Flynn about her efforts throughout the summer of 2016.","Ledeen","Senate","neutral1"
