sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
Trump hates Obama.,Trump,Obama,negative1,negative1,True,negative,negative,True
Obama is hated by Trump.,Obama,Trump,negative1,negative1,True,negative,negative,True
Trump said: �I hate Obama.�,Trump,Obama,negative1,negative1,True,negative,negative,True
"�I hate Obama,� said Trump.",Obama,Trump,negative1,negative1,True,negative,negative,True
Trump said he hated Obama.,Trump,Obama,negative1,negative1,True,negative,negative,True
"He hated Obama, Trump said.",Obama,Trump,negative1,negative1,True,negative,negative,True
Trump said: �Obama is an idiot�.,Trump,Obama,negative1,negative1,True,negative,negative,True
Trump said that Obama is an idiot.,Trump,Obama,negative1,negative1,True,negative,negative,True
Trump is an Obama-hater.,Trump,Obama,negative1,negative1,True,negative,negative,True
Trump is Obama�s enemy.,Trump,Obama,negative1,negative1,True,negative,negative,True
Trump talks derisively about Obama.,Trump,Obama,negative1,negative1,True,negative,negative,True
Trump is Obama�s worst neighbor.,Trump,Obama,negative1,negative1,True,negative,negative,True
Trump loves Obama.,Trump,Obama,positive1,positive1,True,positive,positive,True
Obama is loved by Trump.,Obama,Trump,positive1,positive1,True,positive,positive,True
Trump said: �I love Obama.�,Trump,Obama,positive1,positive1,True,positive,positive,True
"�I love Obama,� said Trump.",Obama,Trump,positive1,positive1,True,positive,positive,True
Trump said he loved Obama.,Trump,Obama,positive1,positive1,True,positive,positive,True
"He loved Obama, Trump said.",Obama,Trump,positive1,positive1,True,positive,positive,True
Trump said: �Obama is wonderful.�,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump said that Obama is wonderful.,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump is Obama�s admirer.,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump is Obama�s favorite.,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump talks fondly about Obama.,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump is one of Obama�s most loyal neighbors.,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump sent Obama an e-mail.,Trump,Obama,neutral1,neutral1,True,neutral,neutral,True
Obama received an e-mail from Trump.,Obama,Trump,neutral1,neutral1,True,neutral,neutral,True
Trump said: �I sent an e-mail to Obama.�,Trump,Obama,neutral1,neutral1,True,neutral,neutral,True
"�I sent an e-mail to Obama,� said Trump.",Obama,Trump,neutral1,neutral1,True,neutral,neutral,True
Trump said he sent an e-mail to Obama.,Trump,Obama,neutral1,neutral1,True,neutral,neutral,True
"He sent an e-mail to Obama, Trump said.",Obama,Trump,neutral1,neutral1,True,neutral,neutral,True
Trump said: �Obama is in the garden.�,Trump,Obama,neutral1,none,False,none,neutral,False
Trump said that Obama is in the garden.,Trump,Obama,neutral1,none,False,none,neutral,False
Trump and Obama like each other.,Trump,Obama,positive2,positive2,True,positive,positive,True
Trump and Obama cooperate at work.,Trump,Obama,neutral2,positive2,False,positive,neutral,False
Trump and Obama have a cordial relationship.,Trump,Obama,positive2,positive2,True,positive,positive,True
Trump and Obama have a bad relationship,Trump,Obama,negative2,negative2,True,negative,negative,True
Trump and Obama are friends.,Trump,Obama,positive2,positive2,True,positive,positive,True
Trump and Obama are enemies.,Trump,Obama,negative2,negative2,True,negative,negative,True
Trump and Obama hate each other.,Trump,Obama,negative2,negative2,True,negative,negative,True
Trump and Obama fight all the time.,Trump,Obama,negative2,negative2,True,negative,negative,True
Trump and Obama met at a summit.,Trump,Obama,neutral2,neutral2,True,neutral,neutral,True
Both Trump and Obama were US Presidents.,Trump,Obama,none,none,True,none,none,True
Trump and Obama exchanged business cards,Trump,Obama,neutral2,neutral2,True,neutral,neutral,True
Trump spoke about Obama in a derogatory way.,Trump,Obama,negative1,negative1,True,negative,negative,True
Trump mentioned Obama in glowing terms.,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump hired Obama.,Trump,Obama,positive1,positive1,True,positive,positive,True
Obama was hired by Trump.,Obama,Trump,positive1,positive1,True,positive,positive,True
Trump works for Obama�s company.,Trump,Obama,neutral1,neutral2,False,neutral,neutral,True
Trump sent a warm letter to Obama.,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump received a warm letter from Obama.,Trump,Obama,positive1,positive1,True,positive,positive,True
Trump received a stern rebuke from Obama.,Trump,Obama,negative1,negative1,True,negative,negative,True
Trump sent a threat to Obama.,Trump,Obama,negative1,negative1,True,negative,negative,True
