sentence,head,tail,relation_predicted,relation_true
Manafort also met secretly with Kilimnik in the United States and Spain in early 2017.,Manafort,Kilimnik,neutral2,neutral2
"The ECFMU was secretly backed and funded by the Yanukovych regime and the PoR and reported to Manafort and Andriy Klyuyev, then a senior Ukrainian government official close to Yanukovych.",Andriy Klyuyev,Yanukovych,positive2,neutral2
"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.",Manafort,Hope Hicks,neutral2,neutral2
"Michael Cohen testified to the Committee that he was present in Trump's office when Trump Jr. came into the office and, in a manner that was uncommon, walked toward the back of Trump's desk and leaned over and quietly said, ""The meeting. It's all set.""",Michael Cohen,Trump,neutral2,neutral1
The Jarvanka side believed that Bannon was the source.,Jarvanka,Bannon,negative1,negative2
"From June 2016 until the end of the presidential campaign, almost all of the U.S. rallies organized by the IRA focused on the U.S. election, often promoting the Trump Campaign and opposing the Clinton Campaign.",IRA,Clinton Campaign,negative1,negative1
"Nor is it the only instance of contact between the Russian government and WikiLeaks, which have a history of parallel and sometimes coordinated actions in attacking U.S. institutions.",Russian Government,WikiLeaks,negative2,positive2
"At a dinner on Friday, May 5, attended by Donald Trump and various advisors and family members, including Jared Kushner and senior advisor Stephen Miller, Donald Trump stated that he wanted to remove Comey and had ideas for a letter that would be used to make the announcement.",Donald Trump,Comey,negative1,negative1
"On March 6, 2016, Clovis wrote an email update to senior Campaign members, including Jared Kushner, Ivanka Trump, Corey Lewandowski, Michael Glassner, and Stephen Miller, explaining that he had ""made contact with everyone in the matrix ...""",Clovis,Michael Glassner,neutral2,neutral2
"Patten, whom Kilimnik recruited to come to Ukraine in 2014 to assist the OB and who reported to Kilimnik, recalled that although Kilimnik worked from an office in Manafort's firm in Kyiv, it was unclear to Patten whether Lyovochkin or Manafort was paying Kilimnik.",Lyovochkin,Kilimnik,none,positive1
Kilimnik offered Hawker an opportunity to conduct a public relations campaign for an unspecified Russian government entity that would attempt to tout the Russian invasion as a liberation of Crimea.,Kilimnik,Hawker,positive1,positive1
