sentence,head,tail,relation_predicted_head_tail,relation_true_head_tail,correct_head_tail,relation_predicted_tail_head,relation_true_tail_head,correct_tail_head
Trump hates Obama.,Trump,Obama,negative,negative,True,none,none,True
Obama is hated by Trump.,Obama,Trump,none,none,True,negative,negative,True
Trump said: �I hate Obama.�,Trump,Obama,negative,negative,True,none,none,True
"�I hate Obama,� said Trump.",Obama,Trump,none,none,True,negative,negative,True
Trump said he hated Obama.,Trump,Obama,negative,negative,True,none,none,True
"He hated Obama, Trump said.",Obama,Trump,none,none,True,negative,negative,True
Trump said: �Obama is an idiot�.,Trump,Obama,negative,negative,True,none,none,True
Trump said that Obama is an idiot.,Trump,Obama,negative,negative,True,none,none,True
Trump is an Obama-hater.,Trump,Obama,positive,negative,False,positive,none,False
Trump is Obama�s enemy.,Trump,Obama,negative,none,False,negative,negative,True
Trump talks derisively about Obama.,Trump,Obama,negative,negative,True,none,none,True
Trump is Obama�s worst neighbor.,Trump,Obama,none,none,True,none,negative,False
Trump loves Obama.,Trump,Obama,positive,positive,True,positive,none,False
Obama is loved by Trump.,Obama,Trump,positive,none,False,positive,positive,True
Trump said: �I love Obama.�,Trump,Obama,positive,positive,True,positive,none,False
"�I love Obama,� said Trump.",Obama,Trump,positive,none,False,positive,positive,True
Trump said he loved Obama.,Trump,Obama,positive,positive,True,positive,none,False
"He loved Obama, Trump said.",Obama,Trump,positive,none,False,positive,positive,True
Trump said: �Obama is wonderful.�,Trump,Obama,positive,positive,True,positive,none,False
Trump said that Obama is wonderful.,Trump,Obama,positive,positive,True,positive,none,False
Trump is Obama�s admirer.,Trump,Obama,positive,positive,True,positive,none,False
Trump is Obama�s favorite.,Trump,Obama,positive,none,False,positive,positive,True
Trump talks fondly about Obama.,Trump,Obama,positive,positive,True,positive,none,False
Trump is one of Obama�s most loyal neighbors.,Trump,Obama,positive,positive,True,positive,none,False
Trump sent Obama an e-mail.,Trump,Obama,neutral,neutral,True,neutral,none,False
Obama received an e-mail from Trump.,Obama,Trump,neutral,neutral,True,neutral,none,False
Trump said: �I sent an e-mail to Obama.�,Trump,Obama,neutral,neutral,True,neutral,none,False
"�I sent an e-mail to Obama,� said Trump.",Obama,Trump,neutral,none,False,neutral,neutral,True
Trump said he sent an e-mail to Obama.,Trump,Obama,neutral,neutral,True,neutral,none,False
"He sent an e-mail to Obama, Trump said.",Obama,Trump,neutral,none,False,neutral,neutral,True
Trump said: �Obama is in the garden.�,Trump,Obama,neutral,none,False,neutral,none,False
Trump said that Obama is in the garden.,Trump,Obama,neutral,none,False,neutral,none,False
Trump and Obama like each other.,Trump,Obama,positive,positive,True,positive,positive,True
Trump and Obama cooperate at work.,Trump,Obama,neutral,positive,False,neutral,positive,False
Trump and Obama have a cordial relationship.,Trump,Obama,positive,positive,True,positive,positive,True
Trump and Obama have a bad relationship,Trump,Obama,negative,negative,True,negative,negative,True
Trump and Obama are friends.,Trump,Obama,positive,positive,True,positive,positive,True
Trump and Obama are enemies.,Trump,Obama,negative,negative,True,negative,negative,True
Trump and Obama hate each other.,Trump,Obama,negative,negative,True,negative,negative,True
Trump and Obama fight all the time.,Trump,Obama,negative,negative,True,negative,negative,True
Trump and Obama met at a summit.,Trump,Obama,neutral,neutral,True,neutral,neutral,True
Both Trump and Obama were US Presidents.,Trump,Obama,none,none,True,none,none,True
Trump and Obama exchanged business cards,Trump,Obama,neutral,neutral,True,neutral,neutral,True
Trump spoke about Obama in a derogatory way.,Trump,Obama,negative,negative,True,none,none,True
Trump mentioned Obama in glowing terms.,Trump,Obama,positive,positive,True,positive,none,False
Trump hired Obama.,Trump,Obama,positive,positive,True,none,none,True
Obama was hired by Trump.,Obama,Trump,positive,none,False,none,positive,False
Trump works for Obama�s company.,Trump,Obama,neutral,neutral,True,neutral,neutral,True
Trump sent a warm letter to Obama.,Trump,Obama,positive,positive,True,positive,none,False
Trump received a warm letter from Obama.,Obama,Trump,positive,none,False,positive,positive,True
Trump received a stern rebuke from Obama.,Trump,Obama,none,none,True,none,negative,False
Trump sent a threat to Obama.,Trump,Obama,negative,negative,True,none,none,True
