sentence,head,tail,sentiment,Park,relation,establish_type
Trump hates Obama.,Trump,Obama,negative,q3,negative1,verb
Obama is hated by Trump.,Obama,Trump,negative,q4,negative1,verb passive
Trump said: �I hate Obama.�,Trump,Obama,negative,q3,negative1,verb in direct speech
"�I hate Obama,� said Trump.",Obama,Trump,negative,q4,negative1,verb in direct speech
Trump said he hated Obama.,Trump,Obama,negative,q3,negative1,verb in indirect speech
"He hated Obama, Trump said.",Obama,Trump,negative,q4,negative1,verb in indirect speech
Trump said: �Obama is an idiot�.,Trump,Obama,negative,q3,negative1,direct speech
Trump said that Obama is an idiot.,Trump,Obama,negative,q3,negative1,indirect speech
Trump is an Obama-hater.,Trump,Obama,negative,q3,negative1,Noun-construct?
Trump is Obama�s enemy.,Trump,Obama,negative,q4,negative1,Noun + genitive
Trump talks derisively about Obama.,Trump,Obama,negative,q3,negative1,adverb
Trump is Obama�s worst neighbor.,Trump,Obama,negative,q3,negative1,adjective
Trump loves Obama.,Trump,Obama,positive,q1,positive1,verb
Obama is loved by Trump.,Obama,Trump,positive,q2,positive1,verb passive
Trump said: �I love Obama.�,Trump,Obama,positive,q1,positive1,verb in direct speech
"�I love Obama,� said Trump.",Obama,Trump,positive,q2,positive1,verb in direct speech
Trump said he loved Obama.,Trump,Obama,positive,q1,positive1,verb in indirect speech
"He loved Obama, Trump said.",Obama,Trump,positive,q2,positive1,verb in indirect speech
Trump said: �Obama is wonderful.�,Trump,Obama,positive,q1,positive1,direct speech
Trump said that Obama is wonderful.,Trump,Obama,positive,q1,positive1,indirect speech
Trump is Obama�s admirer. ,Trump,Obama,positive,q1,positive1,Noun + genitive
Trump is Obama�s favorite.,Trump,Obama,positive,q2,positive1,Noun + genitive
Trump talks fondly about Obama.,Trump,Obama,positive,q1,positive1,adverb
Trump is one of Obama�s most loyal neighbors. ,Trump,Obama,positive,q1,positive1,adjective
Trump sent Obama an e-mail.,Trump,Obama,neutral,q0,neutral1,verb
Obama received an e-mail from Trump.,Obama,Trump,neutral,q0,neutral1,verb passive
Trump said: �I sent an e-mail to Obama.�,Trump,Obama,neutral,q0,neutral1,verb in direct speech
"�I sent an e-mail to Obama,� said Trump.",Obama,Trump,neutral,q0,neutral1,verb in direct speech
Trump said he sent an e-mail to Obama.,Trump,Obama,neutral,q0,neutral1,verb in indirect speech
"He sent an e-mail to Obama, Trump said.",Obama,Trump,neutral,q0,neutral1,verb in indirect speech
Trump said: �Obama is in the garden.�,Trump,Obama,none,q0,none,direct speech
Trump said that Obama is in the garden.,Trump,Obama,none,q0,none,indirect speech
Trump and Obama like each other.,Trump,Obama,positive,"q1, q2",positive2,verb and reciprocal expression
Trump and Obama cooperate at work.,Trump,Obama,positive,"q1, q2",positive2,verb
Trump and Obama have a cordial relationship.,Trump,Obama,positive,"q1, q2",positive2,adjective
Trump and Obama have a bad relationship,Trump,Obama,negative,"q3, q4",negative2,adjective
Trump and Obama are friends.,Trump,Obama,positive,"q1, q2",positive2,noun
Trump and Obama are enemies.,Trump,Obama,negative,"q3, q4",negative2,noun
Trump and Obama hate each other.,Trump,Obama,negative,"q3, q4",negative2,verb and reciprocal expression
Trump and Obama fight all the time.,Trump,Obama,negative,"q3, q4",negative2,verb
Trump and Obama met at a summit.,Trump,Obama,neutral,q0,neutral2,verb
Both Trump and Obama were US Presidents.,Trump,Obama,none,q0,none,noun
Trump and Obama exchanged business cards,Trump,Obama,neutral,q0,neutral2,verb
Trump spoke about Obama in a derogatory way.,Trump,Obama,negative,q3,negative1,adverbal phrase
Trump mentioned Obama in glowing terms. ,Trump,Obama,positive,q1,positive1,adverbal phrase
Trump hired Obama.,Trump,Obama,positive,q1,positive1,verb
Obama was hired by Trump.,Obama,Trump,positive,q2,positive1,verb passive
Trump works for Obama�s company.,Trump,Obama,neutral,q0,neutral2,verb
Trump sent a warm letter to Obama.,Trump,Obama,positive1,q1,positive1,adjective
Trump received a warm letter from Obama.,Trump,Obama,positive1,q2,positive1,adjective
Trump received a stern rebuke from Obama.,Trump,Obama,negative1,q4,negative1,noun
Trump sent a threat to Obama.,Trump,Obama,negative1,q3,negative1,noun
