sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
"Sater sent a link to LSR Group, one of Russia's largest construction companies and a major real estate developer.",Sater,Michael Cohen,neutral,none,neutral,neutral
"Papadopoulos engaged both Polonskaya and Timofeev, along with Mifsud, as part of his outreach to Russia.",Papadopoulos,Russia,positive,none,positive,none
"Cohen recalled Trump rhetorically asking him ""[h]ow stupid is Barack Obama not to meet with Putin when he's here?""",Trump,Barack Obama,negative,none,negative,none
"The first set of GRU-controlled computers, known by the GRU as ""middle servers,"" sent and received messages to and from malware on the DNC/DCCC networks.",GRU,DCCC,negative,negative,negative,none
"And mob boss John Gotti, Levine said, hosted a huge Christmas bash in 1988 at the El Caribe.",John Gotti,El Caribe,neutral,none,positive,positive
"Sater told Cohen that ""Putin is there on the 17th very strong chance you will meet him as well.""",Sater,Cohen,positive,none,neutral,neutral
"At the same time that he sent the GenBank letter to Cohen, Sater told Cohen that the planned meetings would be held with senior Russian government officials.",Sater,Cohen,positive,none,neutral,neutral
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Timur Beniaminov,Murad,neutral,neutral,neutral,neutral
"For instance, on October 21, 2016, Manafort sent Kushner an email with an attached memorandum that provided strategy guidance recommending that the Campaign should depict Clinton ""as the failed and corrupt champion of the establishment,"" because ""Wikileaks provides the Trump campaign the ability to make the case in a very credible way -by using the words of Clinton, its campaign officials and DNC members.""",Manafort,Kushner,positive,none,positive,none
"According to Gates, Manafort had asked Gates to reach out to Mermoud to offer Manafort's assistance to then Ukrainian Ambassador to the United States Valeriy Chaly in repairing relationships Manafort believed Poroshenko had damaged.",Poroshenko,Manafort,none,positive,negative,none
"Akhmetshin also worked with Veselnitskaya through Human Rights Accountability Global Initiative Foundation, which was described previously, and on Human Rights Accountability Global Initiative Foundation's efforts related to countering the Magnitsky Act.",Akhmetshin,Human Rights Accountability Global Initiative Foundation,positive,positive,neutral,neutral
"Bolton describes a conversation with Secretary of State Mike Pompeo, whom he says “thought Mulvaney would do essentially whatever Ivanka [Trump] and [Jared] Kushner wanted him to do” as acting chief of staff, “which worried both of us philosophically.”",Mike Pompeo,Mulvaney,neutral,none,negative,none
After the Obama administration added Rosneft Chairman Igor Sechin to its sanctions list in 2014,Obama administration,Rosneft,negative,negative,negative,none
"""We are clearly operating under a different set of assumptions,"" Newsom said when asked about Trump's desires during a recent briefing.",Newsom,Trump,negative,none,negative,none
"The Ukraine program was, according to Manafort's memorandum, undertaken ""pursuant to the directives of Mr. Deripaska"" and in support of ""our mutual friend in Ukraine,""",Deripaska,Manafort,positive,positive,neutral,none
"Shugart replied, ""No but at least I made Emin aware of the situation tonight at the event.""",Shugart,Rhona Graff,none,none,neutral,neutral
Kilimnik attended the Russian military's language institute and served in the Russian military until at least 1995.,Kilimnik,Russian military,neutral,neutral,neutral,none
Bannon sent the email to an unidentified person with a Breitbart address.,Bannon,Breitbart,neutral,none,neutral,neutral
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Murtaza Akbar,Esther Swan,neutral,neutral,neutral,neutral
Donald Trump had invited James Comey to dinner and decided James Comey's job security was on the menu.,Donald Trump,James Comey,negative,none,positive,none
The GRU was also in contact through the Guccifer 2.0 persona with [] a former Trump Campaign member,GRU,Trump Campaign,negative,negative,neutral,neutral
"Zemlyanski was involved in Ukraine with Klyushin and Rykov, and was removed from Twitter after he made an online death threat toward a U.S. official in Moscow.",Zemlyanski,Klyushin,neutral,neutral,neutral,none
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Murad,Murtaza Akbar,neutral,neutral,neutral,neutral
"Open source information also suggests that, in 2004, Kilimnik began working in Ukraine for Deripaska in support of Yanukovych's election.",Kilimnik,Yanukovych,positive,none,positive,none
Cohen and Sater continued negotiations through the spring of 2016.,Cohen,Sater,neutral,neutral,neutral,neutral
Kaveladze was in Aras Agalarov's office and overheard Agalarov relay Trump's interest to meet with Putin.,Kaveladze,Aras Agalarov,neutral,none,neutral,none
"For example, Rozov's associate Stalbek Mishakov has significant ties to Oleg Deripaska, a Russian oligarch who the Committee assesses undertakes a wide variety of Russian government influence operations.",Rozov,Stalbek Mishakov,neutral,none,neutral,none
Not sure if this is anything but it seems like it's really wikileaks asking Donald Trump Jr. as I follow them and it is a DM.,wikileaks,Donald Trump Jr.,neutral,none,neutral,neutral
IRA employees were aware that Prigozhin was involved in the IRA's U.S. operations,Prigozhin,IRA,positive,none,neutral,neutral
"In particular, Sam Patten told the Committee that Kilimnik mentioned Manafort's belief that ""because or Clinton's high negatives, there was a chance, only because her negatives were so astronomically high, that it was possible to win.""",Sam Patten,Committee,neutral,none,neutral,neutral
Sater and Bayrock's projects with the Trump Organization included a development in Ft. Lauderdale and the Trump SoHo development in New York.,Bayrock,the Trump Organization,positive,positive,neutral,none
“And Michael Cohen loved the Clintons.,Michael Cohen,the Clintons,positive,none,positive,positive
"He wrote, ""What is the status on a possible meeting between Trump And Mr Putin?""",Trump,Putin,positive,none,positive,none
"On July 13, 2017, @USA_ Gunslinger, a long-running false persona account of the Internet Research Agency (IRA), tweeted about ""Clinton and Clinton Campaign team's collusion with Ukraine Government to interfere in. the US election.""",Ukraine Government,US election,negative,negative,negative,none
