sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
Trump hates Obama.,Trump,Obama,negative,none,negative,none
Obama is hated by Trump.,Obama,Trump,none,negative,none,negative
Trump said: “I hate Obama.”,Trump,Obama,negative,none,negative,none
"“I hate Obama,” said Trump.",Obama,Trump,none,negative,none,negative
Trump said he hated Obama.,Trump,Obama,negative,none,negative,none
"He hated Obama, Trump said.",Obama,Trump,none,negative,none,negative
Trump said: “Obama is an idiot”.,Trump,Obama,negative,none,negative,none
Trump said that Obama is an idiot.,Trump,Obama,negative,none,negative,none
Trump is an Obama-hater.,Trump,Obama,negative,none,negative,none
Trump is Obama’s enemy.,Trump,Obama,negative,negative,none,negative
Trump talks derisively about Obama.,Trump,Obama,negative,none,negative,none
Trump is Obama’s worst neighbor.,Trump,Obama,none,negative,none,negative
Trump loves Obama.,Trump,Obama,positive,none,positive,none
Obama is loved by Trump.,Obama,Trump,none,positive,none,positive
Trump said: “I love Obama.”,Trump,Obama,positive,none,positive,none
"“I love Obama,” said Trump.",Obama,Trump,none,positive,none,positive
Trump said he loved Obama.,Trump,Obama,positive,none,positive,none
"He loved Obama, Trump said.",Obama,Trump,none,positive,none,positive
Trump said: “Obama is wonderful.”,Trump,Obama,positive,none,positive,none
Trump said that Obama is wonderful.,Trump,Obama,positive,none,positive,none
Trump is Obama’s admirer.,Trump,Obama,positive,none,positive,none
Trump is Obama’s favorite.,Trump,Obama,positive,none,none,positive
Trump talks fondly about Obama.,Trump,Obama,positive,none,positive,none
Trump is one of Obama’s most loyal neighbors.,Trump,Obama,positive,none,positive,none
Trump sent Obama an e-mail.,Trump,Obama,neutral,none,neutral,none
Obama received an e-mail from Trump.,Obama,Trump,none,neutral,neutral,none
Trump said: “I sent an e-mail to Obama.”,Trump,Obama,neutral,none,neutral,none
"“I sent an e-mail to Obama,” said Trump.",Obama,Trump,none,neutral,none,neutral
Trump said he sent an e-mail to Obama.,Trump,Obama,neutral,none,neutral,none
"He sent an e-mail to Obama, Trump said.",Obama,Trump,none,neutral,none,neutral
Trump said: “Obama is in the garden.”,Trump,Obama,neutral,none,none,none
Trump said that Obama is in the garden.,Trump,Obama,neutral,none,none,none
Trump and Obama like each other.,Trump,Obama,positive,positive,positive,positive
Trump and Obama cooperate at work.,Trump,Obama,positive,positive,positive,positive
Trump and Obama have a cordial relationship.,Trump,Obama,positive,positive,positive,positive
Trump and Obama have a bad relationship,Trump,Obama,negative,negative,negative,negative
Trump and Obama are friends.,Trump,Obama,positive,positive,positive,positive
Trump and Obama are enemies.,Trump,Obama,negative,negative,negative,negative
Trump and Obama hate each other.,Trump,Obama,negative,negative,negative,negative
Trump and Obama fight all the time.,Trump,Obama,negative,negative,negative,negative
Trump and Obama met at a summit.,Trump,Obama,neutral,neutral,neutral,neutral
Both Trump and Obama were US Presidents.,Trump,Obama,none,none,none,none
Trump and Obama exchanged business cards,Trump,Obama,neutral,neutral,neutral,neutral
Trump spoke about Obama in a derogatory way.,Trump,Obama,negative,none,negative,none
Trump mentioned Obama in glowing terms.,Trump,Obama,positive,none,positive,none
Trump hired Obama.,Trump,Obama,positive,none,positive,none
Obama was hired by Trump.,Obama,Trump,none,positive,none,positive
Trump works for Obama’s company.,Trump,Obama,neutral,none,neutral,neutral
Trump sent a warm letter to Obama.,Trump,Obama,positive,none,positive,none
Trump received a warm letter from Obama.,Trump,Obama,none,positive,none,positive
Trump received a stern rebuke from Obama.,Trump,Obama,none,negative,none,negative
Trump sent a threat to Obama.,Trump,Obama,negative,none,negative,none
